t_s,x_m,h_m,q_m2_per_s
3600,0.25,0.999926348,0.939627997
3600,0.75,0.99992628,0.939627991
3600,1.25,0.999926212,0.939627984
3600,1.75,0.999926144,0.939627978
3600,2.25,0.999926076,0.939627972
3600,2.75,0.999926008,0.939627965
3600,3.25,0.999925939,0.939627959
3600,3.75,0.999925871,0.939627953
3600,4.25,0.999925802,0.939627947
3600,4.75,0.999925734,0.93962794
3600,5.25,0.999925665,0.939627934
3600,5.75,0.999925597,0.939627928
3600,6.25,0.999925528,0.939627922
3600,6.75,0.999925459,0.939627915
3600,7.25,0.99992539,0.939627909
3600,7.75,0.999925321,0.939627903
3600,8.25,0.999925252,0.939627897
3600,8.75,0.999925183,0.939627891
3600,9.25,0.999925114,0.939627885
3600,9.75,0.999925045,0.939627878
3600,10.25,0.999924975,0.939627872
3600,10.75,0.999924906,0.939627866
3600,11.25,0.999924836,0.93962786
3600,11.75,0.999924767,0.939627854
3600,12.25,0.999924697,0.939627848
3600,12.75,0.999924627,0.939627842
3600,13.25,0.999924557,0.939627836
3600,13.75,0.999924487,0.93962783
3600,14.25,0.999924417,0.939627825
3600,14.75,0.999924347,0.939627819
3600,15.25,0.999924276,0.939627813
3600,15.75,0.999924206,0.939627807
3600,16.25,0.999924135,0.939627801
3600,16.75,0.999924065,0.939627795
3600,17.25,0.999923994,0.93962779
3600,17.75,0.999923923,0.939627784
3600,18.25,0.999923852,0.939627778
3600,18.75,0.999923781,0.939627772
3600,19.25,0.99992371,0.939627767
3600,19.75,0.999923639,0.939627761
3600,20.25,0.999923568,0.939627755
3600,20.75,0.999923497,0.93962775
3600,21.25,0.999923425,0.939627744
3600,21.75,0.999923354,0.939627738
3600,22.25,0.999923282,0.939627733
3600,22.75,0.99992321,0.939627727
3600,23.25,0.999923139,0.939627722
3600,23.75,0.999923067,0.939627716
3600,24.25,0.999922995,0.939627711
3600,24.75,0.999922923,0.939627705
3600,25.25,0.999922851,0.9396277
3600,25.75,0.999922779,0.939627695
3600,26.25,0.999922706,0.939627689
3600,26.75,0.999922634,0.939627684
3600,27.25,0.999922562,0.939627679
3600,27.75,0.999922489,0.939627673
3600,28.25,0.999922417,0.939627668
3600,28.75,0.999922345,0.939627663
3600,29.25,0.999922272,0.939627658
3600,29.75,0.999922199,0.939627653
3600,30.25,0.999922127,0.939627648
3600,30.75,0.999922054,0.939627643
3600,31.25,0.999921981,0.939627638
3600,31.75,0.999921909,0.939627633
3600,32.25,0.999921836,0.939627628
3600,32.75,0.999921763,0.939627623
3600,33.25,0.99992169,0.939627618
3600,33.75,0.999921617,0.939627613
3600,34.25,0.999921544,0.939627609
3600,34.75,0.999921471,0.939627604
3600,35.25,0.999921398,0.9396276
3600,35.75,0.999921324,0.939627595
3600,36.25,0.999921251,0.939627591
3600,36.75,0.999921178,0.939627586
3600,37.25,0.999921104,0.939627582
3600,37.75,0.999921031,0.939627578
3600,38.25,0.999920958,0.939627574
3600,38.75,0.999920884,0.93962757
3600,39.25,0.99992081,0.939627566
3600,39.75,0.999920737,0.939627562
3600,40.25,0.999920663,0.939627558
3600,40.75,0.999920589,0.939627554
3600,41.25,0.999920515,0.93962755
3600,41.75,0.999920441,0.939627547
3600,42.25,0.999920367,0.939627543
3600,42.75,0.999920293,0.939627539
3600,43.25,0.999920219,0.939627536
3600,43.75,0.999920145,0.939627532
3600,44.25,0.99992007,0.939627529
3600,44.75,0.999919996,0.939627525
3600,45.25,0.999919922,0.939627522
3600,45.75,0.999919847,0.939627519
3600,46.25,0.999919772,0.939627516
3600,46.75,0.999919698,0.939627512
