t_s,x_m,h_m,q_m2_per_s
3600,0.25,0.399866345,0.633891046
3600,0.75,0.399863343,0.633891057
3600,1.25,0.399860265,0.63389105
3600,1.75,0.399857123,0.633891028
3600,2.25,0.399853928,0.633890999
3600,2.75,0.399850678,0.633890975
3600,3.25,0.399847364,0.633890968
3600,3.75,0.399843972,0.633890982
3600,4.25,0.399840491,0.633891012
3600,4.75,0.39983692,0.633891044
3600,5.25,0.399833266,0.633891063
3600,5.75,0.39982954,0.633891059
3600,6.25,0.399825746,0.633891033
3600,6.75,0.399821878,0.633890996
3600,7.25,0.399817921,0.633890969
3600,7.75,0.399813856,0.633890967
3600,8.25,0.399809677,0.633890994
3600,8.75,0.399805387,0.633891036
3600,9.25,0.399801003,0.63389107
3600,9.75,0.399796541,0.633891074
3600,10.25,0.39979201,0.633891045
3600,10.75,0.399787401,0.633890996
3600,11.25,0.399782692,0.633890955
3600,11.75,0.399777859,0.633890949
3600,12.25,0.399772889,0.633890981
3600,12.75,0.399767786,0.633891034
3600,13.25,0.39976257,0.633891072
3600,13.75,0.399757258,0.633891063
3600,14.25,0.399751858,0.633891
3600,14.75,0.399746358,0.633890908
3600,15.25,0.399740729,0.633890828
3600,15.75,0.399734945,0.6338908
3600,16.25,0.399728993,0.633890838
3600,16.75,0.399722885,0.633890915
3600,17.25,0.399716649,0.633890986
3600,17.75,0.39971031,0.633891007
3600,18.25,0.399703872,0.633890973
3600,18.75,0.399697314,0.633890919
3600,19.25,0.399690593,0.633890903
3600,19.75,0.399683674,0.633890973
3600,20.25,0.399676546,0.63389112
3600,20.75,0.399669235,0.633891273
3600,21.25,0.39966179,0.63389133
3600,21.75,0.39965425,0.63389122
3600,22.25,0.399646616,0.633890956
3600,22.75,0.399638844,0.63389065
3600,23.25,0.39963086,0.633890462
3600,23.75,0.399622601,0.633890516
3600,24.25,0.399614056,0.633890813
3600,24.75,0.399605277,0.633891209
3600,25.25,0.39959635,0.63389148
3600,25.75,0.399587345,0.633891448
3600,26.25,0.399578267,0.633891101
3600,26.75,0.399569039,0.633890624
3600,27.25,0.399559534,0.633890318
3600,27.75,0.399549654,0.633890408
3600,28.25,0.399539391,0.633890887
3600,28.75,0.399528836,0.633891514
3600,29.25,0.399518124,0.633891934
3600,29.75,0.399507364,0.633891877
3600,30.25,0.399496569,0.633891329
