t_s,x_m,h_m,q_m2_per_s
1800,0,0.428051251,0.163232316
1800,1,0.417399265,0.172229042
1800,2,0.415135187,0.192333653
1800,3,0.38783622,0.192572205
1800,4,0.405516656,0.179695264
1800,5,0.405412946,0.195364799
1800,6,0.408243197,0.210196996
1800,7,0.392181829,0.184071207
1800,8,0.393418131,0.173993086
1800,9,0.218075789,0.17826663
1800,10,0.161019378,0.169763772
1800,11,0.209891373,0.184851263
1800,12,0.320214022,0.174630699
1800,13,0.298061365,0.15427412
1800,14,0.34766225,0.167307289
1800,15,0.348638233,0.143337016
1800,16,0.353428224,0.110480258
1800,17,0.34267941,0.149069753
1800,18,0.359739679,0.234397991
1800,19,0.360011933,0.258776513
1800,20,0.346595147,0.192639127
1800,21,0.346551737,0.181983485
1800,22,0.345530721,0.19712217
1800,23,0.353980015,0.181222547
1800,24,0.37935959,0.261680094
1800,25,0.330000013,0.339675952
