t_s,x_m,h_m,q_m2_per_s
1800,0,0.398697856,0.17980252
1800,1,0.398845044,0.180288073
1800,2,0.398556214,0.181357165
1800,3,0.399970971,0.181924353
1800,4,0.399639753,0.183060982
1800,5,0.39914942,0.183562157
1800,6,0.398953588,0.18132214
1800,7,0.399755,0.17808458
1800,8,0.400176633,0.178322642
1800,9,0.227381154,0.176478539
1800,10,0.147583813,0.185101894
1800,11,0.185137557,0.191098358
1800,12,0.309255837,0.173691882
1800,13,0.320821337,0.181237417
1800,14,0.333255022,0.200504832
1800,15,0.323305412,0.191391661
1800,16,0.323241954,0.186619203
1800,17,0.333907411,0.197759821
1800,18,0.332106641,0.194245561
1800,19,0.326652179,0.178999408
1800,20,0.334997409,0.183691448
1800,21,0.336999359,0.19777238
1800,22,0.332211331,0.193437218
1800,23,0.32693715,0.185761439
1800,24,0.335953146,0.184981536
1800,25,0.330000013,0.183759154
