t_s,x_m,h_m,q_m2_per_s
1800,0,0.388759297,0.188712605
1800,1,0.392300251,0.187673246
1800,2,0.399971933,0.17876097
1800,3,0.40479025,0.161039947
1800,4,0.412470691,0.153722455
1800,5,0.389910566,0.148604919
1800,6,0.410543276,0.153548441
1800,7,0.40170571,0.157864672
1800,8,0.386108208,0.162698428
1800,9,0.197583131,0.179038171
1800,10,0.146668821,0.17662434
1800,11,0.189505054,0.174651079
1800,12,0.350276323,0.186630596
1800,13,0.335217506,0.22339387
1800,14,0.343626402,0.248089614
1800,15,0.323102852,0.214303055
1800,16,0.343184275,0.197929543
1800,17,0.333400722,0.18983213
1800,18,0.362039266,0.163462411
1800,19,0.36354529,0.17978451
1800,20,0.33283139,0.196426176
1800,21,0.369685273,0.180597749
1800,22,0.348776712,0.153143248
1800,23,0.310743301,0.152773818
1800,24,0.344228372,0.191246594
1800,25,0.330000013,0.214163905
