t_s,x_m,h_m,q_m2_per_s
1800,0.5,0.329718322,0.179879854
1800,1.5,0.329720848,0.179887425
1800,2.5,0.329725834,0.179895418
1800,3.5,0.329733151,0.179903852
1800,4.5,0.329742607,0.179912724
1800,5.5,0.329753948,0.179922039
1800,6.5,0.329766873,0.179931768
1800,7.5,0.329781033,0.179941913
1800,8.5,0.242306891,0.179919656
1800,9.5,0.142402129,0.179853796
1800,10.5,0.142526075,0.179876667
1800,11.5,0.242609423,0.179969973
1800,12.5,0.330126506,0.180009125
1800,13.5,0.330132505,0.180019891
1800,14.5,0.330136495,0.180030648
1800,15.5,0.330138139,0.180041322
1800,16.5,0.330137114,0.180051885
1800,17.5,0.330133126,0.180062307
1800,18.5,0.330125911,0.180072579
1800,19.5,0.330115247,0.18008269
1800,20.5,0.330100947,0.180092638
1800,21.5,0.330082874,0.180102413
1800,22.5,0.330060923,0.180112006
1800,23.5,0.330035058,0.180121384
1800,24.5,0.330005271,0.180105946
