t_s,x_m,h_m,q_m2_per_s
1800,0.5,2.11318584,4.39877725
1800,1.5,2.07700256,4.41943178
1800,2.5,2.07833073,4.42175637
1800,3.5,2.07883554,4.42316904
1800,4.5,2.07610149,4.42052735
1800,5.5,2.07550347,4.41702715
1800,6.5,2.07762018,4.41863789
1800,7.5,2.07888612,4.42144091
1800,8.5,1.98959702,4.42207216
1800,9.5,1.88785266,4.41989156
1800,10.5,1.88949756,4.41801121
1800,11.5,1.99143474,4.41874802
1800,12.5,2.07761072,4.42160025
1800,13.5,2.07545001,4.4226173
1800,14.5,2.07622068,4.41958257
1800,15.5,2.07870224,4.41637698
1800,16.5,2.07855437,4.41881523
1800,17.5,2.07586634,4.42383264
1800,18.5,2.07532963,4.42337059
1800,19.5,2.07788227,4.41647224
1800,20.5,2.0797398,4.41456353
1800,21.5,2.07628769,4.42246365
1800,22.5,2.07554096,4.42599088
1800,23.5,2.07482284,4.42541377
1800,24.5,2.04009902,4.4006339
