t_s,x_m,h_m,q_m2_per_s
1800,0,3.24300003,-0.730835855
1800,1,3.24300003,-1.31083235
1800,2,3.24300003,-1.96359527
1800,3,3.24300003,-2.14030385
1800,4,3.24300003,-2.41844714
1800,5,3.24300003,-2.61620617
1800,6,3.24300003,-2.67769778
1800,7,3.24300003,-2.76661956
1800,8,3.24300003,-3.11445117
1800,9,3.08717772,-3.41130481
1800,10,3.03502426,-3.41133887
1800,11,3.08717821,-3.4113794
1800,12,3.24300003,-5.10664317
1800,13,3.24300003,-6.93760371
1800,14,3.24300003,-7.10758162
1800,15,3.24300003,-7.21525478
1800,16,3.24300003,-7.44121766
1800,17,3.24300003,-7.69795227
1800,18,3.24300003,-9.02673721
1800,19,3.24300003,-10.2928171
1800,20,3.24300003,-10.4192519
1800,21,3.24300003,-11.7031097
1800,22,3.24300003,-16.1172113
1800,23,3.24300003,-21.6799755
1800,24,3.24300003,-367971.648
1800,25,0.897456478,-735919.269
