t_s,x_m,h_m,q_m2_per_s
1800,0,0.653127602,1.6513364
1800,1,0.671610075,1.54994176
1800,2,0.630784329,1.44354023
1800,3,0.632782972,1.41225839
1800,4,0.662492264,1.4342274
1800,5,0.597352929,1.44800039
1800,6,0.581677198,1.43951151
1800,7,0.571893411,1.54188971
1800,8,0.65981803,1.59792594
1800,9,0.473645274,1.64844284
1800,10,0.441329737,1.71997168
1800,11,0.497976991,1.69814705
1800,12,0.610160228,1.66126029
1800,13,0.590598871,1.65198823
1800,14,0.593119804,1.6804685
1800,15,0.618835692,1.66701017
1800,16,0.549061255,1.55169927
1800,17,0.46757158,1.35766059
1800,18,0.43620323,1.23505114
1800,19,0.413688712,1.27301343
1800,20,0.410880938,1.30665413
1800,21,0.362101838,1.21897612
1800,22,0.355690682,1.16780371
1800,23,0.339463233,1.29777918
1800,24,0.320112092,1.52724373
1800,25,0.000254998718,1.65183572
