t_s,x_m,h_m,q_m2_per_s
1800,0,0.608053398,1.58131435
1800,1,0.654562377,1.56973521
1800,2,0.592486621,1.5626729
1800,3,0.685751897,1.5833443
1800,4,0.625670283,1.51445096
1800,5,0.651405009,1.39468604
1800,6,0.595398633,1.37612393
1800,7,0.64453356,1.50573864
1800,8,0.711676265,1.63074168
1800,9,0.512556839,1.66485352
1800,10,0.453773716,1.69083456
1800,11,0.491184681,1.73123486
1800,12,0.570928265,1.66629629
1800,13,0.508814537,1.56512711
1800,14,0.52165873,1.58279541
1800,15,0.511093408,1.57373524
1800,16,0.502975455,1.57417275
1800,17,0.50877654,1.54518442
1800,18,0.449953142,1.4181024
1800,19,0.402762018,1.32625338
1800,20,0.409993285,1.37363037
1800,21,0.440735841,1.51474717
1800,22,0.468708457,1.59755863
1800,23,0.427885688,1.55826486
1800,24,0.293147413,1.46038901
1800,25,0.000223053036,1.41104264
