t_s,x_m,h_m,q_m2_per_s
1800,0.5,1.0276029,1.53000079
1800,1.5,1.02760281,1.52999948
1800,2.5,1.02760334,1.52999991
1800,3.5,1.02760145,1.53000116
1800,4.5,1.02760583,1.52999666
1800,5.5,1.0275986,1.53000697
1800,6.5,1.02760672,1.52998907
1800,7.5,1.02760435,1.53001137
1800,8.5,0.919218441,1.52999136
1800,9.5,0.767570057,1.53014677
1800,10.5,0.391928369,1.52840048
1800,11.5,0.390862674,1.53347251
1800,12.5,0.662191765,1.5342493
1800,13.5,0.66282864,1.53059828
1800,14.5,0.66255664,1.53005018
1800,15.5,0.66254091,1.52980281
1800,16.5,0.662630084,1.53006624
1800,17.5,0.662597645,1.53003348
1800,18.5,0.662583452,1.52996514
1800,19.5,0.662597328,1.53002076
1800,20.5,0.474246618,1.53285621
1800,21.5,0.662044569,1.53197358
1800,22.5,0.662597554,1.52992218
1800,23.5,0.474257839,1.53432231
1800,24.5,0.473649392,1.53342838
