t_s,x_m,h_m,q_m2_per_s
1800,0.5,0.589789192,1.52999908
1800,1.5,0.589789217,1.53000097
1800,2.5,0.589788547,1.52999928
1800,3.5,0.589791203,1.52999941
1800,4.5,0.589784523,1.53000417
1800,5.5,0.589797307,1.52998858
1800,6.5,0.589778464,1.53002278
1800,7.5,0.589796349,1.52996521
1800,8.5,0.502298875,1.53004446
1800,9.5,0.402245941,1.52976084
1800,10.5,0.393806665,1.53056992
1800,11.5,0.393769803,1.53207216
1800,12.5,0.40660857,1.53033061
1800,13.5,0.406734621,1.53004248
1800,14.5,0.40669931,1.52998599
1800,15.5,0.406715219,1.53000464
1800,16.5,0.406708388,1.52999867
1800,17.5,0.406711415,1.53000026
1800,18.5,0.406709526,1.53000023
1800,19.5,0.406712089,1.52999888
1800,20.5,0.406706567,1.53000379
1800,21.5,0.406719386,1.52998948
1800,22.5,0.406669873,1.52995452
1800,23.5,0.406525629,1.52950995
1800,24.5,0.406096589,1.52944618
