t_s,x_m,h_m,q_m2_per_s
10,2.5,6,0
10,7.5,6,0
10,12.5,6,0
10,17.5,6,0
10,22.5,6,0
10,27.5,6,0
10,32.5,6,0
10,37.5,6,0
10,42.5,6,0
10,47.5,6,0
10,52.5,6,0
10,57.5,6,0
10,62.5,6,0
10,67.5,6,0
10,72.5,6,0
10,77.5,6,0
10,82.5,6,0
10,87.5,6,0
10,92.5,6,0
10,97.5,6,0
10,102.5,6,0
10,107.5,6,0
10,112.5,6,0
10,117.5,6,0
10,122.5,6,0
10,127.5,6,0
10,132.5,6,0
10,137.5,6,0
10,142.5,6,0
10,147.5,6,0
10,152.5,6,0
10,157.5,6,0
10,162.5,6,0
10,167.5,6,0
10,172.5,6,0
10,177.5,6,0
10,182.5,6,0
10,187.5,6,0
10,192.5,6,0
10,197.5,6,0
10,202.5,6,0
10,207.5,6,0
10,212.5,6,0
10,217.5,6,0
10,222.5,6,0
10,227.5,6,0
10,232.5,6,0
10,237.5,6,0
10,242.5,6,0
10,247.5,6,0
10,252.5,6,0
10,257.5,6,0
10,262.5,6,0
10,267.5,6,0
10,272.5,6,0
10,277.5,6,0
10,282.5,6,0
10,287.5,6,0
10,292.5,6,0
10,297.5,6,0
10,302.5,6,0
10,307.5,6,0
10,312.5,6,0
10,317.5,6,0
10,322.5,6,0
10,327.5,6,0
10,332.5,6,0
10,337.5,6,0
10,342.5,6,0
10,347.5,6,0
10,352.5,6,0
10,357.5,6,0
10,362.5,6,0
10,367.5,6,0
10,372.5,6,0
10,377.5,6,0
10,382.5,6,0
10,387.5,6,0
10,392.5,6,0
10,397.5,6,0
10,402.5,6,0
10,407.5,6,0
10,412.5,6,0
10,417.5,6,0
10,422.5,6,0
10,427.5,6,0
10,432.5,6,0
10,437.5,6,0
10,442.5,6,0
10,447.5,6,0
10,452.5,6,0
10,457.5,6,0
10,462.5,6,0
10,467.5,6,0
10,472.5,6,0
10,477.5,6,0
10,482.5,6,0
10,487.5,6,0
10,492.5,6,0
10,497.5,6,0
10,502.5,6,0
10,507.5,6,0
10,512.5,6,0
10,517.5,6,0
10,522.5,6,0
10,527.5,6,0
10,532.5,6,0
10,537.5,6,0
10,542.5,6,0
10,547.5,6,0
10,552.5,6,0
10,557.5,6,0
10,562.5,6,0
10,567.5,6,0
10,572.5,6,0
10,577.5,6,0
10,582.5,6,0
10,587.5,6,0
10,592.5,6,0
10,597.5,6,0
10,602.5,6,0
10,607.5,6,0
10,612.5,6,0
10,617.5,6,0
10,622.5,6,0
10,627.5,6,0
10,632.5,6,0
10,637.5,6,0
10,642.5,6,0
10,647.5,6,0
10,652.5,6,0
10,657.5,6,0
10,662.5,6,0
10,667.5,6,0
10,672.5,6,0
10,677.5,6,0
10,682.5,6,0
10,687.5,6,0
10,692.5,6,0
10,697.5,6,0
10,702.5,6,0
10,707.5,6,0
10,712.5,6,0
10,717.5,6,0
10,722.5,6,4.81436879e-150
10,727.5,6,2.911964e-144
10,732.5,6,1.52958827e-137
10,737.5,6,5.52459834e-132
10,742.5,6,5.14315237e-126
10,747.5,6,1.44373518e-120
10,752.5,6,4.25762337e-115
10,757.5,6,7.29847611e-110
10,762.5,6,5.21919307e-105
10,767.5,6,3.45025659e-100
10,772.5,6,2.78562921e-95
10,777.5,6,3.37150995e-90
10,782.5,6,2.6168735e-85
10,787.5,6,1.84758505e-80
10,792.5,6,8.19149942e-76
10,797.5,6,2.48663337e-71
10,802.5,6,6.33410935e-67
10,807.5,6,1.31331963e-62
10,812.5,6,2.38283293e-58
10,817.5,6,3.92456532e-54
10,822.5,6,5.9096885e-50
10,827.5,6,8.34100274e-46
10,832.5,6,1.5981572e-41
10,837.5,6,6.51088499e-37
10,842.5,6,5.60877964e-32
10,847.5,6,3.93748334e-27
10,852.5,6,1.92364102e-22
10,857.5,6,1.41697562e-17
10,862.5,6,1.06306212e-12
10,867.5,6,1.31793613e-10
10,872.5,6,4.81413867e-09
10,877.5,5.99999999,1.36764334e-07
10,882.5,5.99999972,3.01137215e-06
10,887.5,5.99999493,5.13221966e-05
10,892.5,5.99992963,0.000672003255
10,897.5,5.99928686,0.00636413952
10,902.5,5.99488476,0.0432118724
10,907.5,5.97312212,0.215615675
10,912.5,5.90124384,0.750512509
10,917.5,5.74964644,1.85246082
10,922.5,5.51246911,3.53175449
10,927.5,5.26002944,5.23603822
10,932.5,5.06349884,6.78430006
10,937.5,4.61612823,8.63788755
10,942.5,4.72197927,9.75848212
10,947.5,4.17349938,10.061589
10,952.5,4.46065351,10.207334
10,957.5,3.90518708,10.3803065
10,962.5,4.20736344,10.5228589
10,967.5,3.67647343,10.5950983
10,972.5,3.70406676,11.0355339
10,977.5,3.54723261,11.0355339
10,982.5,3.4640087,11.0355339
10,987.5,3.41071127,11.0355339
10,992.5,3.45475899,11.0355339
