t_s,x_m,h_m,q_m2_per_s
10,0.5,6,0
10,1.5,6,0
10,2.5,6,0
10,3.5,6,0
10,4.5,6,0
10,5.5,6,0
10,6.5,6,0
10,7.5,6,0
10,8.5,6,0
10,9.5,6,0
10,10.5,6,0
10,11.5,6,0
10,12.5,6,0
10,13.5,6,0
10,14.5,6,0
10,15.5,6,0
10,16.5,6,0
10,17.5,6,0
10,18.5,6,0
10,19.5,6,0
10,20.5,6,0
10,21.5,6,0
10,22.5,6,0
10,23.5,6,0
10,24.5,6,0
10,25.5,6,0
10,26.5,6,0
10,27.5,6,0
10,28.5,6,0
10,29.5,6,0
10,30.5,6,0
10,31.5,6,0
10,32.5,6,0
10,33.5,6,0
10,34.5,6,0
10,35.5,6,0
10,36.5,6,0
10,37.5,6,0
10,38.5,6,0
10,39.5,6,0
10,40.5,6,0
10,41.5,6,0
10,42.5,6,0
10,43.5,6,0
10,44.5,6,0
10,45.5,6,0
10,46.5,6,0
10,47.5,6,0
10,48.5,6,0
10,49.5,6,0
10,50.5,6,0
10,51.5,6,0
10,52.5,6,0
10,53.5,6,0
10,54.5,6,0
10,55.5,6,0
10,56.5,6,0
10,57.5,6,0
10,58.5,6,0
10,59.5,6,0
10,60.5,6,0
10,61.5,6,0
10,62.5,6,0
10,63.5,6,0
10,64.5,6,0
10,65.5,6,0
10,66.5,6,0
10,67.5,6,0
10,68.5,6,0
10,69.5,6,0
10,70.5,6,0
10,71.5,6,0
10,72.5,6,0
10,73.5,6,0
10,74.5,6,0
10,75.5,6,0
10,76.5,6,0
10,77.5,6,0
10,78.5,6,0
10,79.5,6,0
10,80.5,6,0
10,81.5,6,0
10,82.5,6,0
10,83.5,6,0
10,84.5,6,0
10,85.5,6,0
10,86.5,6,0
10,87.5,6,0
10,88.5,6,0
10,89.5,6,0
10,90.5,6,0
10,91.5,6,0
10,92.5,6,0
10,93.5,6,0
10,94.5,6,0
10,95.5,6,0
10,96.5,6,0
10,97.5,6,0
10,98.5,6,0
10,99.5,6,0
10,100.5,6,0
10,101.5,6,0
10,102.5,6,0
10,103.5,6,0
10,104.5,6,0
10,105.5,6,0
10,106.5,6,0
10,107.5,6,0
10,108.5,6,0
10,109.5,6,0
10,110.5,6,0
10,111.5,6,0
10,112.5,6,0
10,113.5,6,0
10,114.5,6,0
10,115.5,6,0
10,116.5,6,0
10,117.5,6,0
10,118.5,6,0
10,119.5,6,0
10,120.5,6,0
10,121.5,6,0
10,122.5,6,0
10,123.5,6,0
10,124.5,6,0
10,125.5,6,0
10,126.5,6,0
10,127.5,6,0
10,128.5,6,0
10,129.5,6,0
10,130.5,6,0
10,131.5,6,0
10,132.5,6,0
10,133.5,6,0
10,134.5,6,0
10,135.5,6,0
10,136.5,6,0
10,137.5,6,0
10,138.5,6,0
10,139.5,6,0
10,140.5,6,0
10,141.5,6,0
10,142.5,6,0
10,143.5,6,0
10,144.5,6,0
10,145.5,6,0
10,146.5,6,0
10,147.5,6,0
10,148.5,6,0
10,149.5,6,0
10,150.5,6,0
10,151.5,6,0
10,152.5,6,0
10,153.5,6,0
10,154.5,6,0
10,155.5,6,0
10,156.5,6,0
10,157.5,6,0
10,158.5,6,0
10,159.5,6,0
10,160.5,6,0
10,161.5,6,0
10,162.5,6,0
10,163.5,6,0
10,164.5,6,0
10,165.5,6,0
10,166.5,6,0
10,167.5,6,0
10,168.5,6,0
10,169.5,6,0
10,170.5,6,0
10,171.5,6,0
