t_s,x_m,h_m,q_m2_per_s
6000,0.5,0.572313581,2.00529256
6000,1.5,0.566974184,2.00186521
6000,2.5,0.566872068,2.00047852
6000,3.5,0.56759083,2.00099953
6000,4.5,0.569326918,2.00298406
6000,5.5,0.569912192,2.00350328
6000,6.5,0.569320954,2.00118671
6000,7.5,0.568986779,2.0001398
6000,8.5,0.569811464,2.00039313
6000,9.5,0.570263755,2.00083699
6000,10.5,0.570795537,2.00052216
6000,11.5,0.570851154,2.00079193
6000,12.5,0.571682059,2.00059012
6000,13.5,0.571705526,2.00046464
6000,14.5,0.572591491,2.00027024
6000,15.5,0.572696802,2.00051798
6000,16.5,0.573441151,2.0004632
6000,17.5,0.573576415,2.00104365
6000,18.5,0.574454244,2.00116316
6000,19.5,0.574622787,2.00172058
6000,20.5,0.575439045,2.00096458
6000,21.5,0.574954289,2.00059402
6000,22.5,0.575848882,1.99944307
6000,23.5,0.575672318,1.99981077
6000,24.5,0.576847524,1.99980302
6000,25.5,0.576553775,2.0004715
6000,26.5,0.577985165,2.00067597
6000,27.5,0.577280506,2.00024914
6000,28.5,0.578477217,2.00017644
6000,29.5,0.5781508,2.00025881
6000,30.5,0.57929544,1.99995543
6000,31.5,0.579019884,1.99988822
6000,32.5,0.579648021,1.99930502
6000,33.5,0.579318568,1.99859002
6000,34.5,0.579917764,1.99805877
6000,35.5,0.579516964,1.99774961
6000,36.5,0.580597564,1.99721045
6000,37.5,0.580039096,1.99699941
6000,38.5,0.581300732,1.99714943
6000,39.5,0.581169971,1.99776195
6000,40.5,0.582771659,1.99868759
6000,41.5,0.582825907,1.99940937
6000,42.5,0.58422178,2.0001212
6000,43.5,0.584025413,2.00021709
6000,44.5,0.584789304,1.99982657
6000,45.5,0.584228597,1.99906005
6000,46.5,0.585099189,1.99825421
6000,47.5,0.584441238,1.99728653
6000,48.5,0.585390526,1.99649455
6000,49.5,0.584606667,1.99640282
6000,50.5,0.58583917,1.99605395
6000,51.5,0.585173801,1.99510408
6000,52.5,0.585702491,1.994615
6000,53.5,0.58533897,1.99430512
6000,54.5,0.586269515,1.99454186
6000,55.5,0.585879658,1.9940805
6000,56.5,0.587090786,1.99391801
6000,57.5,0.586238227,1.99398402
6000,58.5,0.587732093,1.99383796
6000,59.5,0.586460728,1.99324085
6000,60.5,0.588235609,1.99315926
6000,61.5,0.587224881,1.99291312
6000,62.5,0.588630649,1.99273845
6000,63.5,0.587525707,1.9923734
6000,64.5,0.588835446,1.99172865
6000,65.5,0.587830822,1.99126438
6000,66.5,0.588864522,1.99073391
6000,67.5,0.588127956,1.98951814
6000,68.5,0.589142838,1.98876283
6000,69.5,0.58828049,1.98875841
6000,70.5,0.589445807,1.98836869
6000,71.5,0.588633092,1.98830444
6000,72.5,0.589892947,1.98827773
6000,73.5,0.589580627,1.98795294
6000,74.5,0.590738758,1.98813891
6000,75.5,0.590346334,1.98850188
6000,76.5,0.591617465,1.98880449
6000,77.5,0.591243974,1.98955685
6000,78.5,0.592483392,1.99007709
6000,79.5,0.592144925,1.99021478
6000,80.5,0.593116708,1.99035502
6000,81.5,0.592666805,1.99028553
6000,82.5,0.5935964,1.99014977
6000,83.5,0.59298147,1.99004486
6000,84.5,0.593901949,1.98959171
6000,85.5,0.593257405,1.98939838
6000,86.5,0.594442623,1.98917134
6000,87.5,0.593500341,1.98899948
6000,88.5,0.594579177,1.98868566
6000,89.5,0.593779747,1.98807891
6000,90.5,0.59455859,1.98728793
6000,91.5,0.593587122,1.98643693
6000,92.5,0.594159698,1.98535251
6000,93.5,0.593170735,1.98457651
6000,94.5,0.59381464,1.98418757
6000,95.5,0.593097104,1.98350306
6000,96.5,0.594221978,1.98347425
6000,97.5,0.59362426,1.98393852
6000,98.5,0.594989845,1.98481037
6000,99.5,0.595010006,1.98565545
6000,100.5,0.596299374,1.98675923
6000,101.5,0.596052352,1.98732928
6000,102.5,0.59723452,1.98808233
6000,103.5,0.59695714,1.98872138
6000,104.5,0.598289183,1.98951275
6000,105.5,0.598023376,1.99017981
6000,106.5,0.599295461,1.99116891
6000,107.5,0.599275359,1.99208145
6000,108.5,0.600853779,1.993374
6000,109.5,0.600694141,1.99474834
6000,110.5,0.602270452,1.99628899
6000,111.5,0.602161939,1.99761292
6000,112.5,0.603926385,1.9990802
6000,113.5,0.604029328,2.00048807
6000,114.5,0.605900298,2.00184661
6000,115.5,0.605457454,2.00287877
6000,116.5,0.607324268,2.00380897
6000,117.5,0.606500487,2.00390559
6000,118.5,0.608833956,2.00509846
6000,119.5,0.607476585,2.00567827
6000,120.5,0.609282296,2.00574927
6000,121.5,0.607798055,2.00489738
6000,122.5,0.609649699,2.00471583
6000,123.5,0.608020295,2.00401016
6000,124.5,0.609513774,2.00343586
6000,125.5,0.607797046,2.00239662
6000,126.5,0.609028136,2.0019581
6000,127.5,0.608030626,2.00072234
6000,128.5,0.608736255,2.0000297
6000,129.5,0.607772017,1.99893115
6000,130.5,0.608250412,1.99764584
6000,131.5,0.607584879,1.99636149
6000,132.5,0.608078968,1.99585122
6000,133.5,0.607417093,1.99534993
6000,134.5,0.608127847,1.99487814
6000,135.5,0.607615846,1.99400682
6000,136.5,0.608064296,1.99362413
6000,137.5,0.607600397,1.99327254
6000,138.5,0.607872174,1.9927116
6000,139.5,0.607276647,1.99153514
6000,140.5,0.60763645,1.99095543
6000,141.5,0.607425847,1.99075927
6000,142.5,0.607872961,1.99053223
6000,143.5,0.607938972,1.99052422
6000,144.5,0.608645165,1.99137134
6000,145.5,0.608870091,1.99307785
6000,146.5,0.609920714,1.99439032
6000,147.5,0.61112114,1.99614855
6000,148.5,0.612009748,1.9984631
6000,149.5,0.613259005,2.00066878
6000,150.5,0.614313851,2.00275278
6000,151.5,0.615174665,2.00476046
6000,152.5,0.615878303,2.00667106
6000,153.5,0.617119329,2.00830252
6000,154.5,0.617873045,2.00960963
6000,155.5,0.618467925,2.0112375
6000,156.5,0.619152601,2.01249522
6000,157.5,0.619500395,2.01328568
6000,158.5,0.620479988,2.01365917
6000,159.5,0.620425688,2.01404211
6000,160.5,0.621143683,2.01397396
6000,161.5,0.620843657,2.01382725
6000,162.5,0.621539291,2.01393201
6000,163.5,0.621913596,2.01448046
6000,164.5,0.622901739,2.01570963
6000,165.5,0.623485217,2.01720411
6000,166.5,0.624702117,2.01803052
6000,167.5,0.625235865,2.01931349
6000,168.5,0.626987037,2.0209472
6000,169.5,0.627421129,2.02296815
6000,170.5,0.629097203,2.02423895
6000,171.5,0.63003611,2.02723694
6000,172.5,0.630918176,2.02849757
6000,173.5,0.631942171,2.0302118
6000,174.5,0.633535353,2.03196175
6000,175.5,0.633696636,2.03327325
6000,176.5,0.635307161,2.03432071
6000,177.5,0.635309102,2.03545339
6000,178.5,0.63689902,2.03605589
6000,179.5,0.636403429,2.03559568
6000,180.5,0.637350603,2.03472233
6000,181.5,0.636611622,2.03426758
6000,182.5,0.638582476,2.03501377
6000,183.5,0.639102527,2.03660686
6000,184.5,0.641535261,2.04000479
6000,185.5,0.642327232,2.04270127
6000,186.5,0.645168665,2.04521713
6000,187.5,0.64547325,2.04678506
6000,188.5,0.648016012,2.04848514
6000,189.5,0.647692353,2.04809745
6000,190.5,0.648611527,2.04640932
6000,191.5,0.647461755,2.0439199
6000,192.5,0.648077645,2.04104865
6000,193.5,0.646153485,2.03796912
6000,194.5,0.646763404,2.03450058
6000,195.5,0.644492702,2.03225997
6000,196.5,0.646136596,2.03065752
6000,197.5,0.644143688,2.02956119
6000,198.5,0.645963461,2.02504122
6000,199.5,0.643595643,2.02179754
6000,200.5,0.644932432,2.02059942
6000,201.5,0.644072644,2.02097661
6000,202.5,0.645686286,2.02228105
6000,203.5,0.645753747,2.02414303
6000,204.5,0.647798796,2.02583229
6000,205.5,0.64829776,2.02759602
6000,206.5,0.651016162,2.02840452
6000,207.5,0.650611413,2.02940502
6000,208.5,0.653630139,2.02942402
6000,209.5,0.652218005,2.02946583
6000,210.5,0.653811008,2.02676874
6000,211.5,0.650289781,2.01968957
6000,212.5,0.649387823,2.01151645
6000,213.5,0.64546264,2.00500784
6000,214.5,0.6460991,2.00002107
6000,215.5,0.644076606,1.99502821
6000,216.5,0.647168621,1.9935663
6000,217.5,0.646372905,1.99386558
6000,218.5,0.649839484,1.99609263
6000,219.5,0.648684943,1.99969286
6000,220.5,0.652310641,2.00326535
6000,221.5,0.65138143,2.00602906
6000,222.5,0.654704465,2.00710386
6000,223.5,0.65328854,2.00745031
6000,224.5,0.65454883,2.00460494
6000,225.5,0.651893696,1.99964159
6000,226.5,0.652120516,1.99226776
6000,227.5,0.647839215,1.98522059
6000,228.5,0.645680533,1.97489392
6000,229.5,0.637821807,1.95685319
6000,230.5,0.63304965,1.9363211
6000,231.5,0.62701795,1.92718579
6000,232.5,0.625832446,1.92580231
6000,233.5,0.622652575,1.9248936
6000,234.5,0.623407791,1.92689868
6000,235.5,0.62401638,1.93151243
6000,236.5,0.627676797,1.93658304
6000,237.5,0.628495543,1.94071343
6000,238.5,0.631581898,1.94201517
6000,239.5,0.629885674,1.94252314
6000,240.5,0.631921102,1.94236413
6000,241.5,0.630108595,1.93438749
6000,242.5,0.625357942,1.92045588
6000,243.5,0.618581668,1.91321468
6000,244.5,0.619763746,1.91467921
6000,245.5,0.618957707,1.91668916
6000,246.5,0.623553175,1.91921375
6000,247.5,0.62499969,1.92074944
6000,248.5,0.627355512,1.92621277
6000,249.5,0.628773039,1.93065842
6000,250.5,0.631328316,1.93132943
6000,251.5,0.632520771,1.92968494
6000,252.5,0.634659187,1.92517453
6000,253.5,0.63194574,1.92593874
