# macdonald-long-jump — MacDonald 1000 m channel, hydraulic jump at x = 500 m
# SWASHES 3.2.1 (super-to-subcritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
6000,0,0.5437906726,2
6000,0.05,0.5438153879,2
6000,0.1,0.5438400983,2
6000,0.15,0.5438648037,2
6000,0.2,0.5438895041,2
6000,0.25,0.5439141997,2
6000,0.3,0.5439388902,2
6000,0.35,0.5439635759,2
6000,0.4,0.5439882566,2
6000,0.45,0.5440129324,2
6000,0.5,0.5440376032,2
6000,0.55,0.5440622691,2
6000,0.6,0.5440869301,2
6000,0.65,0.5441115861,2
6000,0.7,0.5441362372,2
6000,0.75,0.5441608834,2
6000,0.8,0.5441855247,2
6000,0.85,0.544210161,2
6000,0.9,0.5442347924,2
6000,0.95,0.5442594189,2
6000,1,0.5442840404,2
6000,1.05,0.544308657,2
6000,1.1,0.5443332687,2
6000,1.15,0.5443578755,2
6000,1.2,0.5443824774,2
6000,1.25,0.5444070743,2
6000,1.3,0.5444316663,2
6000,1.35,0.5444562534,2
6000,1.4,0.5444808356,2
6000,1.45,0.5445054129,2
6000,1.5,0.5445299852,2
6000,1.55,0.5445545527,2
6000,1.6,0.5445791152,2
6000,1.65,0.5446036728,2
6000,1.7,0.5446282255,2
6000,1.75,0.5446527733,2
6000,1.8,0.5446773162,2
6000,1.85,0.5447018541,2
6000,1.9,0.5447263872,2
6000,1.95,0.5447509154,2
6000,2,0.5447754386,2
6000,2.05,0.544799957,2
6000,2.1,0.5448244704,2
6000,2.15,0.544848979,2
6000,2.2,0.5448734826,2
6000,2.25,0.5448979814,2
6000,2.3,0.5449224752,2
6000,2.35,0.5449469642,2
6000,2.4,0.5449714482,2
6000,2.45,0.5449959274,2
6000,2.5,0.5450204016,2
6000,2.55,0.545044871,2
6000,2.6,0.5450693355,2
6000,2.65,0.5450937951,2
6000,2.7,0.5451182497,2
6000,2.75,0.5451426995,2
6000,2.8,0.5451671444,2
6000,2.85,0.5451915845,2
6000,2.9,0.5452160196,2
6000,2.95,0.5452404498,2
6000,3,0.5452648752,2
6000,3.05,0.5452892957,2
6000,3.1,0.5453137113,2
6000,3.15,0.545338122,2
6000,3.2,0.5453625278,2
6000,3.25,0.5453869288,2
6000,3.3,0.5454113248,2
6000,3.35,0.545435716,2
6000,3.4,0.5454601023,2
6000,3.45,0.5454844838,2
6000,3.5,0.5455088603,2
6000,3.55,0.545533232,2
6000,3.6,0.5455575988,2
6000,3.65,0.5455819607,2
6000,3.7,0.5456063178,2
6000,3.75,0.54563067,2
6000,3.8,0.5456550173,2
6000,3.85,0.5456793598,2
6000,3.9,0.5457036974,2
6000,3.95,0.5457280301,2
6000,4,0.5457523579,2
6000,4.05,0.5457766809,2
6000,4.1,0.545800999,2
6000,4.15,0.5458253123,2
6000,4.2,0.5458496207,2
6000,4.25,0.5458739242,2
6000,4.3,0.5458982229,2
