# macdonald-long-sub — MacDonald 1000 m channel, subcritical
# SWASHES 3.2.1 (subcritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
6000,0,0.7483235583,2
6000,0.05,0.7483289929,2
6000,0.1,0.7483344312,2
6000,0.15,0.7483398734,2
6000,0.2,0.7483453194,2
6000,0.25,0.7483507692,2
6000,0.3,0.7483562228,2
6000,0.35,0.7483616802,2
6000,0.4,0.7483671415,2
6000,0.45,0.7483726065,2
6000,0.5,0.7483780754,2
6000,0.55,0.7483835481,2
6000,0.6,0.7483890247,2
6000,0.65,0.748394505,2
6000,0.7,0.7483999892,2
6000,0.75,0.7484054772,2
6000,0.8,0.7484109691,2
6000,0.85,0.7484164648,2
6000,0.9,0.7484219643,2
6000,0.95,0.7484274677,2
6000,1,0.748432975,2
6000,1.05,0.748438486,2
6000,1.1,0.748444001,2
6000,1.15,0.7484495197,2
6000,1.2,0.7484550424,2
6000,1.25,0.7484605688,2
6000,1.3,0.7484660992,2
6000,1.35,0.7484716334,2
6000,1.4,0.7484771714,2
6000,1.45,0.7484827134,2
6000,1.5,0.7484882592,2
6000,1.55,0.7484938088,2
6000,1.6,0.7484993624,2
6000,1.65,0.7485049198,2
6000,1.7,0.748510481,2
6000,1.75,0.7485160462,2
6000,1.8,0.7485216152,2
6000,1.85,0.7485271881,2
6000,1.9,0.7485327649,2
6000,1.95,0.7485383456,2
6000,2,0.7485439302,2
6000,2.05,0.7485495187,2
6000,2.1,0.748555111,2
6000,2.15,0.7485607073,2
6000,2.2,0.7485663074,2
6000,2.25,0.7485719115,2
6000,2.3,0.7485775194,2
6000,2.35,0.7485831313,2
6000,2.4,0.7485887471,2
6000,2.45,0.7485943667,2
6000,2.5,0.7485999903,2
6000,2.55,0.7486056178,2
6000,2.6,0.7486112492,2
6000,2.65,0.7486168845,2
6000,2.7,0.7486225238,2
6000,2.75,0.7486281669,2
6000,2.8,0.748633814,2
6000,2.85,0.748639465,2
6000,2.9,0.74864512,2
6000,2.95,0.7486507788,2
6000,3,0.7486564416,2
6000,3.05,0.7486621084,2
6000,3.1,0.7486677791,2
6000,3.15,0.7486734537,2
6000,3.2,0.7486791322,2
6000,3.25,0.7486848147,2
6000,3.3,0.7486905012,2
6000,3.35,0.7486961916,2
6000,3.4,0.7487018859,2
6000,3.45,0.7487075842,2
6000,3.5,0.7487132865,2
6000,3.55,0.7487189927,2
6000,3.6,0.7487247028,2
6000,3.65,0.748730417,2
6000,3.7,0.7487361351,2
6000,3.75,0.7487418571,2
6000,3.8,0.7487475831,2
6000,3.85,0.7487533131,2
6000,3.9,0.7487590471,2
6000,3.95,0.7487647851,2
6000,4,0.748770527,2
6000,4.05,0.7487762729,2
6000,4.1,0.7487820228,2
6000,4.15,0.7487877766,2
6000,4.2,0.7487935345,2
6000,4.25,0.7487992963,2
6000,4.3,0.7488050622,2
6000,4.35,0.748810832,2
6000,4.4,0.7488166058,2
6000,4.45,0.7488223836,2
6000,4.5,0.7488281654,2
6000,4.55,0.7488339513,2
6000,4.6,0.7488397411,2
6000,4.65,0.7488455349,2
6000,4.7,0.7488513327,2
6000,4.75,0.7488571346,2
6000,4.8,0.7488629405,2
6000,4.85,0.7488687503,2
6000,4.9,0.7488745642,2
6000,4.95,0.7488803821,2
6000,5,0.7488862041,2
6000,5.05,0.74889203,2
6000,5.1,0.74889786,2
6000,5.15,0.748903694,2
6000,5.2,0.7489095321,2
6000,5.25,0.7489153742,2
6000,5.3,0.7489212203,2
6000,5.35,0.7489270704,2
6000,5.4,0.7489329246,2
6000,5.45,0.7489387829,2
6000,5.5,0.7489446451,2
6000,5.55,0.7489505115,2
6000,5.6,0.7489563818,2
6000,5.65,0.7489622563,2
6000,5.7,0.7489681347,2
6000,5.75,0.7489740173,2
6000,5.8,0.7489799039,2
6000,5.85,0.7489857945,2
6000,5.9,0.7489916892,2
6000,5.95,0.748997588,2
6000,6,0.7490034909,2
6000,6.05,0.7490093978,2
6000,6.1,0.7490153088,2
6000,6.15,0.7490212239,2
6000,6.2,0.749027143,2
6000,6.25,0.7490330662,2
6000,6.3,0.7490389935,2
6000,6.35,0.7490449249,2
6000,6.4,0.7490508604,2
6000,6.45,0.7490567999,2
6000,6.5,0.7490627436,2
6000,6.55,0.7490686913,2
6000,6.6,0.7490746432,2
6000,6.65,0.7490805991,2
6000,6.7,0.7490865591,2
6000,6.75,0.7490925233,2
6000,6.8,0.7490984915,2
6000,6.85,0.7491044638,2
6000,6.9,0.7491104403,2
6000,6.95,0.7491164209,2
6000,7,0.7491224055,2
6000,7.05,0.7491283943,2
6000,7.1,0.7491343872,2
6000,7.15,0.7491403843,2
6000,7.2,0.7491463854,2
