t_s,x_m,h_m,q_m2_per_s
6000,0.5,0.95084458,2
6000,1.5,0.950661586,2
6000,2.5,0.950477772,2
6000,3.5,0.950293134,2
6000,4.5,0.950107668,2
6000,5.5,0.949921372,2
6000,6.5,0.949734242,2
6000,7.5,0.949546275,2
6000,8.5,0.949357468,2
6000,9.5,0.949167818,2
6000,10.5,0.948977322,2
6000,11.5,0.948785976,2
6000,12.5,0.948593777,2
6000,13.5,0.948400722,2
6000,14.5,0.948206808,2
6000,15.5,0.948012032,2
6000,16.5,0.94781639,2
6000,17.5,0.947619878,2
6000,18.5,0.947422495,2
6000,19.5,0.947224236,2
6000,20.5,0.947025098,2
6000,21.5,0.946825078,2.00000001
6000,22.5,0.946624173,2.00000001
6000,23.5,0.94642238,2.00000001
6000,24.5,0.946219695,2.00000001
6000,25.5,0.946016114,2.00000001
6000,26.5,0.945811635,2.00000001
6000,27.5,0.945606254,2.00000001
6000,28.5,0.945399968,2.00000001
6000,29.5,0.945192774,2.00000001
6000,30.5,0.944984668,2.00000001
6000,31.5,0.944775647,2.00000001
6000,32.5,0.944565708,2.00000001
6000,33.5,0.944354847,2.00000001
6000,34.5,0.944143062,2.00000001
6000,35.5,0.943930347,2.00000001
6000,36.5,0.943716702,2.00000001
6000,37.5,0.943502121,2.00000001
6000,38.5,0.943286602,2.00000001
6000,39.5,0.94307014,2.00000001
6000,40.5,0.942852734,2.00000001
6000,41.5,0.94263438,2.00000001
6000,42.5,0.942415073,2.00000001
6000,43.5,0.942194811,2.00000001
6000,44.5,0.941973591,2.00000001
6000,45.5,0.941751408,2.00000001
6000,46.5,0.94152826,2.00000001
6000,47.5,0.941304143,2.00000001
6000,48.5,0.941079055,2.00000001
6000,49.5,0.94085299,2.00000001
6000,50.5,0.940625946,2.00000001
6000,51.5,0.94039792,2.00000001
6000,52.5,0.940168908,2.00000001
6000,53.5,0.939938907,2.00000001
6000,54.5,0.939707913,2.00000001
6000,55.5,0.939475923,2.00000001
6000,56.5,0.939242934,2.00000001
6000,57.5,0.939008941,2.00000002
6000,58.5,0.938773942,2.00000002
6000,59.5,0.938537933,2.00000002
6000,60.5,0.938300912,2.00000002
6000,61.5,0.938062873,2.00000002
6000,62.5,0.937823814,2.00000002
6000,63.5,0.937583731,2.00000002
6000,64.5,0.937342621,2.00000002
6000,65.5,0.937100481,2.00000002
6000,66.5,0.936857307,2.00000002
6000,67.5,0.936613095,2.00000002
6000,68.5,0.936367843,2.00000002
6000,69.5,0.936121545,2.00000002
6000,70.5,0.935874201,2.00000002
6000,71.5,0.935625805,2.00000002
6000,72.5,0.935376354,2.00000002
6000,73.5,0.935125846,2.00000002
6000,74.5,0.934874276,2.00000002
6000,75.5,0.934621641,2.00000002
6000,76.5,0.934367937,2.00000002
6000,77.5,0.934113161,2.00000002
6000,78.5,0.933857309,2.00000002
6000,79.5,0.933600379,2.00000002
6000,80.5,0.933342366,2.00000002
6000,81.5,0.933083268,2.00000002
6000,82.5,0.93282308,2.00000002
6000,83.5,0.932561799,2.00000002
6000,84.5,0.932299422,2.00000002
6000,85.5,0.932035946,2.00000002
6000,86.5,0.931771366,2.00000002
6000,87.5,0.931505679,2.00000003
6000,88.5,0.931238882,2.00000003
6000,89.5,0.930970972,2.00000003
6000,90.5,0.930701945,2.00000003
6000,91.5,0.930431797,2.00000003
6000,92.5,0.930160526,2.00000003
6000,93.5,0.929888127,2.00000003
6000,94.5,0.929614597,2.00000003
6000,95.5,0.929339933,2.00000003
6000,96.5,0.929064131,2.00000003
6000,97.5,0.928787188,2.00000003
6000,98.5,0.928509101,2.00000003
6000,99.5,0.928229865,2.00000003
6000,100.5,0.927949479,2.00000003
6000,101.5,0.927667937,2.00000003
6000,102.5,0.927385237,2.00000003
6000,103.5,0.927101375,2.00000003
6000,104.5,0.926816349,2.00000003
6000,105.5,0.926530154,2.00000003
6000,106.5,0.926242787,2.00000003
6000,107.5,0.925954244,2.00000003
6000,108.5,0.925664523,2.00000003
6000,109.5,0.92537362,2.00000003
6000,110.5,0.925081531,2.00000003
6000,111.5,0.924788253,2.00000003
6000,112.5,0.924493783,2.00000003
6000,113.5,0.924198117,2.00000003
6000,114.5,0.923901252,2.00000003
6000,115.5,0.923603185,2.00000003
6000,116.5,0.923303912,2.00000004
6000,117.5,0.92300343,2.00000004
6000,118.5,0.922701735,2.00000004
6000,119.5,0.922398825,2.00000004
6000,120.5,0.922094696,2.00000004
6000,121.5,0.921789344,2.00000004
6000,122.5,0.921482766,2.00000004
6000,123.5,0.921174959,2.00000004
6000,124.5,0.92086592,2.00000004
6000,125.5,0.920555646,2.00000004
6000,126.5,0.920244133,2.00000004
6000,127.5,0.919931377,2.00000004
6000,128.5,0.919617377,2.00000004
6000,129.5,0.919302127,2.00000004
6000,130.5,0.918985626,2.00000004
6000,131.5,0.918667869,2.00000004
