# macdonald-long-sub2sup — MacDonald 1000 m channel, subcritical to supercritical
# SWASHES 3.2.1 (sub-to-supercritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
6000,0,0.9652650889,2
6000,0.05,0.965258388,2
6000,0.1,0.9652516853,2
6000,0.15,0.9652449807,2
6000,0.2,0.9652382744,2
6000,0.25,0.9652315662,2
6000,0.3,0.9652248562,2
6000,0.35,0.9652181443,2
6000,0.4,0.9652114307,2
6000,0.45,0.9652047152,2
6000,0.5,0.9651979979,2
6000,0.55,0.9651912788,2
6000,0.6,0.9651845579,2
6000,0.65,0.9651778351,2
6000,0.7,0.9651711105,2
6000,0.75,0.9651643841,2
6000,0.8,0.9651576558,2
6000,0.85,0.9651509257,2
6000,0.9,0.9651441938,2
6000,0.95,0.9651374601,2
6000,1,0.9651307246,2
6000,1.05,0.9651239872,2
6000,1.1,0.965117248,2
6000,1.15,0.9651105069,2
6000,1.2,0.9651037641,2
6000,1.25,0.9650970194,2
6000,1.3,0.9650902728,2
6000,1.35,0.9650835245,2
6000,1.4,0.9650767743,2
6000,1.45,0.9650700222,2
6000,1.5,0.9650632684,2
6000,1.55,0.9650565127,2
6000,1.6,0.9650497552,2
6000,1.65,0.9650429958,2
6000,1.7,0.9650362346,2
6000,1.75,0.9650294716,2
6000,1.8,0.9650227068,2
6000,1.85,0.9650159401,2
6000,1.9,0.9650091715,2
6000,1.95,0.9650024012,2
6000,2,0.964995629,2
6000,2.05,0.9649888549,2
6000,2.1,0.964982079,2
6000,2.15,0.9649753013,2
6000,2.2,0.9649685218,2
6000,2.25,0.9649617404,2
6000,2.3,0.9649549572,2
6000,2.35,0.9649481721,2
6000,2.4,0.9649413852,2
6000,2.45,0.9649345964,2
6000,2.5,0.9649278058,2
6000,2.55,0.9649210134,2
6000,2.6,0.9649142191,2
6000,2.65,0.964907423,2
6000,2.7,0.964900625,2
6000,2.75,0.9648938252,2
6000,2.8,0.9648870236,2
6000,2.85,0.9648802201,2
6000,2.9,0.9648734148,2
6000,2.95,0.9648666076,2
6000,3,0.9648597986,2
6000,3.05,0.9648529877,2
6000,3.1,0.964846175,2
6000,3.15,0.9648393604,2
6000,3.2,0.964832544,2
6000,3.25,0.9648257257,2
6000,3.3,0.9648189056,2
6000,3.35,0.9648120837,2
6000,3.4,0.9648052599,2
6000,3.45,0.9647984342,2
6000,3.5,0.9647916067,2
6000,3.55,0.9647847773,2
6000,3.6,0.9647779461,2
6000,3.65,0.9647711131,2
6000,3.7,0.9647642782,2
6000,3.75,0.9647574414,2
6000,3.8,0.9647506028,2
6000,3.85,0.9647437623,2
6000,3.9,0.96473692,2
6000,3.95,0.9647300758,2
6000,4,0.9647232298,2
6000,4.05,0.9647163819,2
6000,4.1,0.9647095322,2
6000,4.15,0.9647026806,2
6000,4.2,0.9646958271,2
6000,4.25,0.9646889718,2
6000,4.3,0.9646821147,2
6000,4.35,0.9646752557,2
6000,4.4,0.9646683948,2
6000,4.45,0.964661532,2
6000,4.5,0.9646546674,2
6000,4.55,0.964647801,2
6000,4.6,0.9646409327,2
6000,4.65,0.9646340625,2
6000,4.7,0.9646271905,2
6000,4.75,0.9646203166,2
6000,4.8,0.9646134408,2
6000,4.85,0.9646065632,2
6000,4.9,0.9645996837,2
6000,4.95,0.9645928024,2
6000,5,0.9645859192,2
6000,5.05,0.9645790341,2
6000,5.1,0.9645721472,2
6000,5.15,0.9645652584,2
6000,5.2,0.9645583677,2
6000,5.25,0.9645514752,2
6000,5.3,0.9645445808,2
6000,5.35,0.9645376845,2
6000,5.4,0.9645307864,2
6000,5.45,0.9645238864,2
6000,5.5,0.9645169845,2
6000,5.55,0.9645100808,2
6000,5.6,0.9645031752,2
6000,5.65,0.9644962677,2
6000,5.7,0.9644893584,2
6000,5.75,0.9644824472,2
6000,5.8,0.9644755341,2
6000,5.85,0.9644686191,2
6000,5.9,0.9644617023,2
6000,5.95,0.9644547836,2
6000,6,0.964447863,2
6000,6.05,0.9644409406,2
6000,6.1,0.9644340163,2
6000,6.15,0.9644270901,2
6000,6.2,0.9644201621,2
6000,6.25,0.9644132321,2
6000,6.3,0.9644063003,2
6000,6.35,0.9643993666,2
6000,6.4,0.9643924311,2
6000,6.45,0.9643854936,2
6000,6.5,0.9643785543,2
6000,6.55,0.9643716131,2
6000,6.6,0.9643646701,2
6000,6.65,0.9643577251,2
6000,6.7,0.9643507783,2
6000,6.75,0.9643438296,2
6000,6.8,0.964336879,2
6000,6.85,0.9643299265,2
6000,6.9,0.9643229722,2
6000,6.95,0.964316016,2
6000,7,0.9643090579,2
6000,7.05,0.9643020979,2
6000,7.1,0.964295136,2
6000,7.15,0.9642881723,2
6000,7.2,0.9642812066,2
6000,7.25,0.9642742391,2
6000,7.3,0.9642672697,2
6000,7.35,0.9642602984,2
6000,7.4,0.9642533253,2
6000,7.45,0.9642463502,2
6000,7.5,0.9642393733,2
6000,7.55,0.9642323944,2
6000,7.6,0.9642254137,2
6000,7.65,0.9642184311,2
6000,7.7,0.9642114466,2
6000,7.75,0.9642044603,2
6000,7.8,0.964197472,2
6000,7.85,0.9641904819,2
6000,7.9,0.9641834898,2
6000,7.95,0.9641764959,2
6000,8,0.9641695001,2
6000,8.05,0.9641625023,2
6000,8.1,0.9641555027,2
6000,8.15,0.9641485012,2
6000,8.2,0.9641414979,2
6000,8.25,0.9641344926,2
6000,8.3,0.9641274854,2
6000,8.35,0.9641204763,2
6000,8.4,0.9641134654,2
6000,8.45,0.9641064525,2
6000,8.5,0.9640994378,2
6000,8.55,0.9640924211,2
6000,8.6,0.9640854026,2
6000,8.65,0.9640783822,2
6000,8.7,0.9640713598,2
6000,8.75,0.9640643356,2
6000,8.8,0.9640573095,2
6000,8.85,0.9640502815,2
6000,8.9,0.9640432515,2
6000,8.95,0.9640362197,2
6000,9,0.964029186,2
6000,9.05,0.9640221504,2
6000,9.1,0.9640151128,2
6000,9.15,0.9640080734,2
6000,9.2,0.9640010321,2
6000,9.25,0.9639939889,2
6000,9.3,0.9639869438,2
6000,9.35,0.9639798967,2
6000,9.4,0.9639728478,2
6000,9.45,0.963965797,2
6000,9.5,0.9639587442,2
6000,9.55,0.9639516896,2
6000,9.6,0.963944633,2
6000,9.65,0.9639375746,2
6000,9.7,0.9639305142,2
6000,9.75,0.963923452,2
6000,9.8,0.9639163878,2
6000,9.85,0.9639093217,2
6000,9.9,0.9639022537,2
6000,9.95,0.9638951838,2
6000,10,0.963888112,2
