# macdonald-long-sup — MacDonald 1000 m channel, supercritical
# SWASHES 3.2.1 (supercritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
6000,0,0.7415144329,2.5
6000,0.05,0.7415144,2.5
6000,0.1,0.7415143669,2.5
6000,0.15,0.7415143338,2.5
6000,0.2,0.7415143007,2.5
6000,0.25,0.7415142675,2.5
6000,0.3,0.7415142343,2.5
6000,0.35,0.7415142009,2.5
6000,0.4,0.7415141676,2.5
6000,0.45,0.7415141342,2.5
6000,0.5,0.7415141007,2.5
6000,0.55,0.7415140671,2.5
6000,0.6,0.7415140335,2.5
6000,0.65,0.7415139999,2.5
6000,0.7,0.7415139662,2.5
6000,0.75,0.7415139324,2.5
6000,0.8,0.7415138986,2.5
6000,0.85,0.7415138647,2.5
6000,0.9,0.7415138308,2.5
6000,0.95,0.7415137968,2.5
6000,1,0.7415137627,2.5
6000,1.05,0.7415137286,2.5
6000,1.1,0.7415136944,2.5
6000,1.15,0.7415136602,2.5
6000,1.2,0.7415136259,2.5
6000,1.25,0.7415135916,2.5
6000,1.3,0.7415135572,2.5
6000,1.35,0.7415135227,2.5
6000,1.4,0.7415134882,2.5
6000,1.45,0.7415134536,2.5
6000,1.5,0.741513419,2.5
6000,1.55,0.7415133843,2.5
6000,1.6,0.7415133495,2.5
6000,1.65,0.7415133147,2.5
6000,1.7,0.7415132799,2.5
6000,1.75,0.7415132449,2.5
6000,1.8,0.7415132099,2.5
6000,1.85,0.7415131749,2.5
6000,1.9,0.7415131398,2.5
6000,1.95,0.7415131046,2.5
6000,2,0.7415130694,2.5
6000,2.05,0.7415130341,2.5
6000,2.1,0.7415129988,2.5
6000,2.15,0.7415129633,2.5
6000,2.2,0.7415129279,2.5
6000,2.25,0.7415128924,2.5
6000,2.3,0.7415128568,2.5
6000,2.35,0.7415128211,2.5
6000,2.4,0.7415127854,2.5
6000,2.45,0.7415127496,2.5
6000,2.5,0.7415127138,2.5
6000,2.55,0.7415126779,2.5
6000,2.6,0.741512642,2.5
6000,2.65,0.741512606,2.5
6000,2.7,0.7415125699,2.5
6000,2.75,0.7415125338,2.5
6000,2.8,0.7415124976,2.5
6000,2.85,0.7415124613,2.5
6000,2.9,0.741512425,2.5
6000,2.95,0.7415123886,2.5
6000,3,0.7415123522,2.5
6000,3.05,0.7415123157,2.5
6000,3.1,0.7415122791,2.5
6000,3.15,0.7415122425,2.5
6000,3.2,0.7415122058,2.5
6000,3.25,0.7415121691,2.5
6000,3.3,0.7415121323,2.5
6000,3.35,0.7415120954,2.5
6000,3.4,0.7415120584,2.5
6000,3.45,0.7415120214,2.5
6000,3.5,0.7415119844,2.5
6000,3.55,0.7415119473,2.5
6000,3.6,0.7415119101,2.5
6000,3.65,0.7415118728,2.5
6000,3.7,0.7415118355,2.5
6000,3.75,0.7415117982,2.5
6000,3.8,0.7415117607,2.5
6000,3.85,0.7415117232,2.5
6000,3.9,0.7415116857,2.5
6000,3.95,0.741511648,2.5
6000,4,0.7415116103,2.5
6000,4.05,0.7415115726,2.5
6000,4.1,0.7415115348,2.5
6000,4.15,0.7415114969,2.5
6000,4.2,0.7415114589,2.5
6000,4.25,0.7415114209,2.5
6000,4.3,0.7415113829,2.5
6000,4.35,0.7415113447,2.5
6000,4.4,0.7415113065,2.5
6000,4.45,0.7415112683,2.5
6000,4.5,0.7415112299,2.5
6000,4.55,0.7415111915,2.5
6000,4.6,0.7415111531,2.5
6000,4.65,0.7415111146,2.5
6000,4.7,0.741511076,2.5
6000,4.75,0.7415110373,2.5
6000,4.8,0.7415109986,2.5
6000,4.85,0.7415109598,2.5
6000,4.9,0.741510921,2.5
6000,4.95,0.7415108821,2.5
6000,5,0.7415108431,2.5
6000,5.05,0.741510804,2.5
6000,5.1,0.7415107649,2.5
6000,5.15,0.7415107257,2.5
6000,5.2,0.7415106865,2.5
6000,5.25,0.7415106472,2.5
6000,5.3,0.7415106078,2.5
6000,5.35,0.7415105684,2.5
6000,5.4,0.7415105289,2.5
6000,5.45,0.7415104893,2.5
6000,5.5,0.7415104497,2.5
6000,5.55,0.74151041,2.5
6000,5.6,0.7415103702,2.5
6000,5.65,0.7415103303,2.5
6000,5.7,0.7415102904,2.5
6000,5.75,0.7415102505,2.5
6000,5.8,0.7415102104,2.5
6000,5.85,0.7415101703,2.5
6000,5.9,0.7415101301,2.5
6000,5.95,0.7415100899,2.5
6000,6,0.7415100496,2.5
6000,6.05,0.7415100092,2.5
6000,6.1,0.7415099688,2.5
6000,6.15,0.7415099282,2.5
6000,6.2,0.7415098877,2.5
6000,6.25,0.741509847,2.5
6000,6.3,0.7415098063,2.5
6000,6.35,0.7415097655,2.5
6000,6.4,0.7415097247,2.5
6000,6.45,0.7415096837,2.5
6000,6.5,0.7415096427,2.5
6000,6.55,0.7415096017,2.5
