# macdonald-periodic — MacDonald 5000 m periodic channel, subcritical
# SWASHES 3.2.3; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 100001 stations (20x model resolution nx=5000)
t_s,x_m,h_m,q_m2_per_s
12000,0,1.125,2
12000,0.05,1.12507854,2
12000,0.1,1.12515708,2
12000,0.15,1.125235619,2
12000,0.2,1.125314159,2
12000,0.25,1.125392699,2
12000,0.3,1.125471239,2
12000,0.35,1.125549778,2
12000,0.4,1.125628318,2
12000,0.45,1.125706857,2
12000,0.5,1.125785397,2
12000,0.55,1.125863936,2
12000,0.6,1.125942476,2
12000,0.65,1.126021015,2
12000,0.7,1.126099554,2
12000,0.75,1.126178093,2
12000,0.8,1.126256632,2
12000,0.85,1.126335171,2
12000,0.9,1.126413709,2
12000,0.95,1.126492248,2
12000,1,1.126570786,2
12000,1.05,1.126649324,2
12000,1.1,1.126727862,2
12000,1.15,1.1268064,2
12000,1.2,1.126884938,2
12000,1.25,1.126963475,2
12000,1.3,1.127042013,2
12000,1.35,1.12712055,2
12000,1.4,1.127199086,2
12000,1.45,1.127277623,2
12000,1.5,1.12735616,2
12000,1.55,1.127434696,2
12000,1.6,1.127513232,2
12000,1.65,1.127591768,2
12000,1.7,1.127670303,2
12000,1.75,1.127748838,2
12000,1.8,1.127827373,2
12000,1.85,1.127905908,2
12000,1.9,1.127984442,2
12000,1.95,1.128062976,2
12000,2,1.12814151,2
12000,2.05,1.128220043,2
12000,2.1,1.128298577,2
12000,2.15,1.128377109,2
12000,2.2,1.128455642,2
12000,2.25,1.128534174,2
12000,2.3,1.128612706,2
12000,2.35,1.128691237,2
12000,2.4,1.128769768,2
12000,2.45,1.128848299,2
12000,2.5,1.128926829,2
12000,2.55,1.129005359,2
12000,2.6,1.129083889,2
12000,2.65,1.129162418,2
12000,2.7,1.129240947,2
12000,2.75,1.129319475,2
12000,2.8,1.129398003,2
12000,2.85,1.12947653,2
12000,2.9,1.129555057,2
12000,2.95,1.129633584,2
12000,3,1.12971211,2
12000,3.05,1.129790636,2
12000,3.1,1.129869161,2
12000,3.15,1.129947685,2
12000,3.2,1.13002621,2
12000,3.25,1.130104733,2
12000,3.3,1.130183256,2
12000,3.35,1.130261779,2
12000,3.4,1.130340301,2
12000,3.45,1.130418823,2
12000,3.5,1.130497344,2
12000,3.55,1.130575865,2
12000,3.6,1.130654385,2
12000,3.65,1.130732904,2
12000,3.7,1.130811423,2
12000,3.75,1.130889941,2
12000,3.8,1.130968459,2
