# macdonald-rain-sup — MacDonald 1000 m channel, supercritical with rain
# SWASHES 3.3.2; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
12000,0,0.7415144329,2.5
12000,0.05,0.7415144,2.50005
12000,0.1,0.7415143669,2.5001
12000,0.15,0.7415143338,2.50015
12000,0.2,0.7415143007,2.5002
12000,0.25,0.7415142675,2.50025
12000,0.3,0.7415142343,2.5003
12000,0.35,0.7415142009,2.50035
12000,0.4,0.7415141676,2.5004
12000,0.45,0.7415141342,2.50045
12000,0.5,0.7415141007,2.5005
12000,0.55,0.7415140671,2.50055
12000,0.6,0.7415140335,2.5006
12000,0.65,0.7415139999,2.50065
12000,0.7,0.7415139662,2.5007
12000,0.75,0.7415139324,2.50075
12000,0.8,0.7415138986,2.5008
12000,0.85,0.7415138647,2.50085
12000,0.9,0.7415138308,2.5009
12000,0.95,0.7415137968,2.50095
12000,1,0.7415137627,2.501
12000,1.05,0.7415137286,2.50105
12000,1.1,0.7415136944,2.5011
12000,1.15,0.7415136602,2.50115
12000,1.2,0.7415136259,2.5012
12000,1.25,0.7415135916,2.50125
12000,1.3,0.7415135572,2.5013
12000,1.35,0.7415135227,2.50135
12000,1.4,0.7415134882,2.5014
12000,1.45,0.7415134536,2.50145
12000,1.5,0.741513419,2.5015
12000,1.55,0.7415133843,2.50155
12000,1.6,0.7415133495,2.5016
12000,1.65,0.7415133147,2.50165
12000,1.7,0.7415132799,2.5017
12000,1.75,0.7415132449,2.50175
12000,1.8,0.7415132099,2.5018
12000,1.85,0.7415131749,2.50185
12000,1.9,0.7415131398,2.5019
12000,1.95,0.7415131046,2.50195
12000,2,0.7415130694,2.502
12000,2.05,0.7415130341,2.50205
12000,2.1,0.7415129988,2.5021
12000,2.15,0.7415129633,2.50215
12000,2.2,0.7415129279,2.5022
12000,2.25,0.7415128924,2.50225
12000,2.3,0.7415128568,2.5023
12000,2.35,0.7415128211,2.50235
12000,2.4,0.7415127854,2.5024
12000,2.45,0.7415127496,2.50245
12000,2.5,0.7415127138,2.5025
12000,2.55,0.7415126779,2.50255
12000,2.6,0.741512642,2.5026
12000,2.65,0.741512606,2.50265
12000,2.7,0.7415125699,2.5027
12000,2.75,0.7415125338,2.50275
12000,2.8,0.7415124976,2.5028
12000,2.85,0.7415124613,2.50285
12000,2.9,0.741512425,2.5029
12000,2.95,0.7415123886,2.50295
12000,3,0.7415123522,2.503
12000,3.05,0.7415123157,2.50305
12000,3.1,0.7415122791,2.5031
12000,3.15,0.7415122425,2.50315
12000,3.2,0.7415122058,2.5032
12000,3.25,0.7415121691,2.50325
12000,3.3,0.7415121323,2.5033
12000,3.35,0.7415120954,2.50335
12000,3.4,0.7415120584,2.5034
12000,3.45,0.7415120214,2.50345
12000,3.5,0.7415119844,2.5035
12000,3.55,0.7415119473,2.50355
12000,3.6,0.7415119101,2.5036
12000,3.65,0.7415118728,2.50365
12000,3.7,0.7415118355,2.5037
12000,3.75,0.7415117982,2.50375
12000,3.8,0.7415117607,2.5038
12000,3.85,0.7415117232,2.50385
12000,3.9,0.7415116857,2.5039
12000,3.95,0.741511648,2.50395
12000,4,0.7415116103,2.504
12000,4.05,0.7415115726,2.50405
12000,4.1,0.7415115348,2.5041
12000,4.15,0.7415114969,2.50415
12000,4.2,0.7415114589,2.5042
12000,4.25,0.7415114209,2.50425
12000,4.3,0.7415113829,2.5043
12000,4.35,0.7415113447,2.50435
12000,4.4,0.7415113065,2.5044
12000,4.45,0.7415112683,2.50445
12000,4.5,0.7415112299,2.5045
12000,4.55,0.7415111915,2.50455
12000,4.6,0.7415111531,2.5046
12000,4.65,0.7415111146,2.50465
12000,4.7,0.741511076,2.5047
12000,4.75,0.7415110373,2.50475
12000,4.8,0.7415109986,2.5048
12000,4.85,0.7415109598,2.50485
12000,4.9,0.741510921,2.5049
12000,4.95,0.7415108821,2.50495
12000,5,0.7415108431,2.505
12000,5.05,0.741510804,2.50505
12000,5.1,0.7415107649,2.5051
12000,5.15,0.7415107257,2.50515
12000,5.2,0.7415106865,2.5052
12000,5.25,0.7415106472,2.50525
12000,5.3,0.7415106078,2.5053
12000,5.35,0.7415105684,2.50535
12000,5.4,0.7415105289,2.5054
12000,5.45,0.7415104893,2.50545
12000,5.5,0.7415104497,2.5055
12000,5.55,0.74151041,2.50555
12000,5.6,0.7415103702,2.5056
12000,5.65,0.7415103303,2.50565
12000,5.7,0.7415102904,2.5057
12000,5.75,0.7415102505,2.50575
