t_s,x_m,h_m,q_m2_per_s
1800,0,1.10903799,2.00005782
1800,0.5,1.10942487,2.0000668
1800,1,1.1097904,2.00009638
1800,1.5,1.11013289,2.00011003
1800,2,1.11050695,2.00003839
1800,2.5,1.1108283,1.99997736
1800,3,1.11108317,2.00000435
1800,3.5,1.11128141,2.00007851
1800,4,1.11145907,2.00014438
1800,4.5,1.11161471,2.00018387
1800,5,1.11181109,2.00014959
1800,5.5,1.11198896,2.00008798
1800,6,1.11210794,2.00010864
1800,6.5,1.1121962,2.00015324
1800,7,1.11233354,2.00010166
1800,7.5,1.11247939,2.00000055
1800,8,1.11259703,1.99989304
1800,8.5,1.11270565,1.99980882
1800,9,1.11275277,1.9997937
1800,9.5,1.11280444,1.99980794
1800,10,1.11279907,1.99987275
1800,10.5,1.11282,1.99988829
1800,11,1.11290998,1.99983157
1800,11.5,1.11290269,1.99984959
1800,12,1.11280703,2.00001692
1800,12.5,1.1124819,2.00022364
1800,13,1.11194837,2.00029454
1800,13.5,1.11111851,2.00043657
1800,14,1.1101131,2.00101402
1800,14.5,1.10872453,2.00167132
1800,15,1.10736284,2.00071176
1800,15.5,1.105668,1.99985958
1800,16,1.10375183,2.00067174
1800,16.5,1.10170674,2.00082197
1800,17,1.09958391,1.99992654
1800,17.5,1.09698154,1.99984693
1800,18,1.09420069,2.00127461
1800,18.5,1.09140443,2.00100196
1800,19,1.0882956,1.99909484
1800,19.5,1.0844913,1.99801858
1800,20,1.08071211,1.9967035
1800,20.5,1.07650548,1.99540253
1800,21,1.07217998,1.99567535
1800,21.5,1.06764654,1.9979297
1800,22,1.06313282,1.99967134
1800,22.5,1.0579716,1.99812462
1800,23,1.05320561,1.99621343
1800,23.5,1.04862955,1.99793917
1800,24,1.04287781,2.0013847
1800,24.5,1.03660755,2.00147715
1800,25,1.03063751,1.99864298
1800,25.5,1.0245568,1.99726144
1800,26,1.01940701,1.99646508
1800,26.5,1.01314878,1.9931092
1800,27,1.00646726,1.99252143
1800,27.5,0.999414639,1.99397277
1800,28,0.992476491,1.99728158
1800,28.5,0.985568882,1.999738
1800,29,0.979332515,1.99775014
1800,29.5,0.970271376,1.99673248
1800,30,0.963733555,1.99589172
1800,30.5,0.957622351,1.99541793
1800,31,0.949596264,1.99778915
1800,31.5,0.94149655,1.99750415
1800,32,0.933922645,1.99740382
1800,32.5,0.925676697,2.00089245
1800,33,0.918318003,2.00234738
1800,33.5,0.910830681,2.0022112
1800,34,0.903598826,2.00316075
1800,34.5,0.894844314,2.00626177
1800,35,0.886936614,2.00514884
1800,35.5,0.880349974,2.00235276
1800,36,0.871793166,2.00127151
1800,36.5,0.863453139,1.99897237
1800,37,0.854941596,1.99823797
1800,37.5,0.846228584,1.99926156
1800,38,0.838321706,2.00075738
1800,38.5,0.82995162,2.00190881
1800,39,0.821568208,2.00307822
1800,39.5,0.813200112,2.00068438
1800,40,0.804027136,1.99867797
1800,40.5,0.795978542,1.99841893
1800,41,0.788414107,2.00061424
1800,41.5,0.780788374,2.00392482
1800,42,0.77225457,2.00316292
1800,42.5,0.764356451,2.00283219
1800,43,0.755829672,2.00148745
1800,43.5,0.746726314,2.00100406
1800,44,0.738594374,2.000607
1800,44.5,0.730573129,2.00046843
1800,45,0.723494237,2.00090911
1800,45.5,0.715500711,2.00085762
