t_s,x_m,h_m,q_m2_per_s
1800,0,1.1088185,1.99989486
1800,0.5,1.10925123,1.99986113
1800,1,1.10960015,1.99981425
1800,1.5,1.10994004,1.99982269
1800,2,1.11022384,1.99987968
1800,2.5,1.11054825,1.99988356
1800,3,1.11084437,1.99982774
1800,3.5,1.11113383,1.99979422
1800,4,1.11136626,1.9998354
1800,4.5,1.11154282,1.99990527
1800,5,1.11173784,1.99991319
1800,5.5,1.11191666,1.9999257
1800,6,1.11208037,1.99992743
1800,6.5,1.1122481,1.99991623
1800,7,1.11235655,2.00000287
1800,7.5,1.11239463,2.00012197
1800,8,1.11247023,2.00020076
1800,8.5,1.1124541,2.00029666
1800,9,1.11252502,2.00027286
1800,9.5,1.11262429,2.00017102
1800,10,1.11267435,2.00013693
1800,10.5,1.11269192,2.00011861
1800,11,1.11270899,2.00008819
1800,11.5,1.11278097,1.99995699
1800,12,1.11276278,1.99976405
1800,12.5,1.11247483,1.9996038
1800,13,1.11192636,1.99939439
1800,13.5,1.11126093,1.99926844
1800,14,1.11028977,1.99946905
1800,14.5,1.10902076,2.00000141
1800,15,1.10754554,2.00038306
1800,15.5,1.10582323,2.00043172
1800,16,1.10379739,2.00097753
1800,16.5,1.10165952,2.00102959
1800,17,1.09911618,2.00038186
1800,17.5,1.09625722,2.00077846
1800,18,1.09337394,2.00185422
1800,18.5,1.09013917,2.00234682
1800,19,1.08653888,2.00130834
1800,19.5,1.08359114,1.99926345
1800,20,1.08000424,1.9988416
1800,20.5,1.07574816,1.99806443
1800,21,1.07179799,1.998947
1800,21.5,1.06786401,2.00073286
1800,22,1.06297114,2.00028527
1800,22.5,1.05841298,2.00036749
1800,23,1.05353465,2.00018144
1800,23.5,1.04808628,2.00086834
1800,24,1.04238241,2.00202615
1800,24.5,1.03624697,2.00257054
1800,25,1.03019127,2.0000586
1800,25.5,1.02361475,1.99700578
1800,26,1.01706673,1.99595364
1800,26.5,1.01147302,1.99310919
1800,27,1.00524458,1.99242731
1800,27.5,0.997255468,1.99341808
1800,28,0.990779165,1.99442495
1800,28.5,0.985010839,1.99870232
1800,29,0.978017155,2.00141921
1800,29.5,0.971134847,1.99951679
1800,30,0.964291349,1.99746904
1800,30.5,0.957373351,1.99779732
1800,31,0.949473098,1.99878922
1800,31.5,0.941977238,2.00124992
1800,32,0.934102908,2.00202362
1800,32.5,0.926313061,2.00020367
1800,33,0.918100021,1.99969034
1800,33.5,0.910359386,1.99924358
1800,34,0.902762316,1.99799684
1800,34.5,0.894463172,1.99756947
1800,35,0.886835791,1.99820039
1800,35.5,0.879186298,1.99941881
1800,36,0.871187175,2.00140101
1800,36.5,0.863510833,2.00255235
1800,37,0.854921182,2.00148693
1800,37.5,0.846518202,1.9997201
1800,38,0.838408605,1.99596666
1800,38.5,0.829209212,1.99458767
1800,39,0.82092135,1.99423029
1800,39.5,0.811474311,1.99135005
1800,40,0.803324788,1.99166293
1800,40.5,0.795323532,1.99239078
1800,41,0.787916372,1.99529386
1800,41.5,0.780984865,2.00056658
1800,42,0.77158268,2.00260553
1800,42.5,0.76272343,2.00166108
1800,43,0.754810707,2.00138905
1800,43.5,0.747027656,2.00205565
1800,44,0.739550269,2.00290847
1800,44.5,0.731433089,2.00236165
1800,45,0.722942955,2.00223154
1800,45.5,0.71571078,2.00374909
1800,46,0.707523125,2.00320422
1800,46.5,0.698953601,2.00224086
1800,47,0.691340296,2.00091559
1800,47.5,0.683963752,1.99973539
1800,48,0.676706774,2.00036423
1800,48.5,0.669206684,2.00124138
1800,49,0.660779954,2.00054024
1800,49.5,0.653646562,1.99911142
1800,50,0.64649036,1.99835611
1800,50.5,0.639548048,1.99823613
1800,51,0.6332554,1.99791249
1800,51.5,0.627494265,1.99823616
1800,52,0.622358186,1.99944479
1800,52.5,0.618055473,1.99995743
1800,53,0.615243418,2.00061422
1800,53.5,0.613088928,2.00149507
1800,54,0.612576756,2.00330372
1800,54.5,0.613862221,2.00574111
1800,55,0.615402209,2.00672972
1800,55.5,0.617799746,2.00664338
1800,56,0.621281246,2.00641679
1800,56.5,0.62541486,2.00552319
1800,57,0.630430059,2.00406888
1800,57.5,0.636292435,2.00215804
1800,58,0.642625645,1.99951977
1800,58.5,0.649737208,1.99671663
1800,59,0.657701517,1.99426771
1800,59.5,0.666689899,1.99247839
1800,60,0.67725175,1.99209896
1800,60.5,0.6898132,1.99354172
