t_s,x_m,h_m,q_m2_per_s
1800,0.25,0.902784284,2
1800,0.75,0.901561273,2
1800,1.25,0.900305149,2
1800,1.75,0.899015959,2
1800,2.25,0.897693757,2
1800,2.75,0.8963386,2
1800,3.25,0.894950554,2
1800,3.75,0.89352969,2
1800,4.25,0.892076084,2
1800,4.75,0.890589821,2
1800,5.25,0.889070993,2
1800,5.75,0.887519697,2
1800,6.25,0.885936039,2
1800,6.75,0.884320131,2
1800,7.25,0.882672094,2
1800,7.75,0.88099206,2
1800,8.25,0.879280164,2
1800,8.75,0.877536554,2
1800,9.25,0.875761386,2
1800,9.75,0.873954827,2
1800,10.25,0.872117052,2
1800,10.75,0.870248248,2
1800,11.25,0.868348614,2
1800,11.75,0.866418357,2
1800,12.25,0.864457701,2
1800,12.75,0.86246688,2
1800,13.25,0.860446141,2
1800,13.75,0.858395747,2
1800,14.25,0.856315974,2
1800,14.75,0.854207114,2
1800,15.25,0.852069476,2
1800,15.75,0.849903387,2
1800,16.25,0.84770919,2
1800,16.75,0.845487248,2
1800,17.25,0.843237945,2
1800,17.75,0.840961687,2
1800,18.25,0.838658899,2
1800,18.75,0.836330035,2
1800,19.25,0.833975571,2
1800,19.75,0.83159601,2
1800,20.25,0.829191886,2
1800,20.75,0.82676376,2
1800,21.25,0.824312228,2
1800,21.75,0.821837919,2
1800,22.25,0.819341497,2
1800,22.75,0.816823667,2
1800,23.25,0.814285174,2
1800,23.75,0.811726807,2
1800,24.25,0.809149401,2
1800,24.75,0.806553843,2
1800,25.25,0.803941072,2
1800,25.75,0.801312085,2
1800,26.25,0.798667937,2
1800,26.75,0.796009753,2
1800,27.25,0.793338725,2
1800,27.75,0.79065612,2
1800,28.25,0.787963287,2
1800,28.75,0.785261659,2
1800,29.25,0.782552763,2
1800,29.75,0.779838225,2
1800,30.25,0.777119777,2
1800,30.75,0.774399268,2
1800,31.25,0.771678668,2
1800,31.75,0.768960081,2
1800,32.25,0.766245754,2
1800,32.75,0.763538087,2
1800,33.25,0.760839649,2
1800,33.75,0.758153186,2
1800,34.25,0.755481637,2
1800,34.75,0.752828151,2
1800,35.25,0.750196099,2
1800,35.75,0.747589097,2
1800,36.25,0.745011021,2
1800,36.75,0.742466032,2
1800,37.25,0.739958593,2
1800,37.75,0.737493496,2
1800,38.25,0.73507589,2
1800,38.75,0.732711306,2
1800,39.25,0.730405687,2
1800,39.75,0.728165422,2
1800,40.25,0.725997377,2
1800,40.75,0.723908935,2
1800,41.25,0.721908034,2
1800,41.75,0.720003204,2
1800,42.25,0.718203613,2
1800,42.75,0.716519115,2
1800,43.25,0.714960291,2
1800,43.75,0.713538503,2
1800,44.25,0.712265942,2
1800,44.75,0.711155676,2
1800,45.25,0.710221709,2
1800,45.75,0.709479027,2
1800,46.25,0.708943647,2
1800,46.75,0.708632673,2
1800,47.25,0.708564335,2
1800,47.75,0.708758032,2
1800,48.25,0.709234377,2
1800,48.75,0.710015216,2
1800,49.25,0.711123661,2
1800,49.75,0.7125841,2
1800,50.25,0.714422199,2
1800,50.75,0.716664905,2
1800,51.25,0.719340421,2
1800,51.75,0.722478178,2
1800,52.25,0.726108797,2
1800,52.75,0.730264032,2
1800,53.25,0.73497672,2
1800,53.75,0.740280705,2
1800,54.25,0.746210778,2
1800,54.75,0.752802603,2
1800,55.25,0.760092657,2
1800,55.75,0.768118177,2
1800,56.25,0.77691713,2
1800,56.75,0.786528198,2
1800,57.25,0.79699079,2
1800,57.75,0.808345099,2
1800,58.25,0.82063218,2
1800,58.75,0.833894085,2
1800,59.25,0.848174028,2
1800,59.75,0.86351661,2
1800,60.25,0.879968077,2
1800,60.75,0.897576635,2
1800,61.25,0.916392806,2
1800,61.75,0.936469834,2
1800,62.25,0.957864127,2
1800,62.75,0.980635754,2
1800,63.25,1.00484897,2
1800,63.75,1.03057281,2
1800,64.25,1.0578817,2
1800,64.75,1.08685614,2
1800,65.25,1.1175834,2
1800,65.75,1.15015836,2
1800,66.25,1.18468433,2
1800,66.75,1.22105568,2
1800,67.25,1.25827353,2
1800,67.75,1.29694721,2
1800,68.25,1.3366674,2
1800,68.75,1.37711419,2
1800,69.25,1.41803437,2
1800,69.75,1.45922534,2
1800,70.25,1.50052348,2
1800,70.75,1.54179548,2
1800,71.25,1.58293183,2
1800,71.75,1.62384195,2
1800,72.25,1.66445038,2
1800,72.75,1.70469389,2
1800,73.25,1.74451917,2
1800,73.75,1.78388104,2
1800,74.25,1.82274103,2
1800,74.75,1.8610662,2
1800,75.25,1.89882828,2
1800,75.75,1.93600284,2
1800,76.25,1.97256878,2
1800,76.75,2.00850771,2
1800,77.25,2.04380364,2
1800,77.75,2.07844259,2
1800,78.25,2.1124123,2
1800,78.75,2.145702,2
1800,79.25,2.17830222,2
1800,79.75,2.21020459,2
1800,80.25,2.24140174,2
1800,80.75,2.27188713,2
1800,81.25,2.30165498,2
1800,81.75,2.33070015,2
1800,82.25,2.35901811,2
1800,82.75,2.38660481,2
1800,83.25,2.41345667,2
1800,83.75,2.43957052,2
1800,84.25,2.46494355,2
1800,84.75,2.48957326,2
1800,85.25,2.51345745,2
1800,85.75,2.53659419,2
1800,86.25,2.55898177,2
1800,86.75,2.5806187,2
1800,87.25,2.60150368,2
1800,87.75,2.62163559,2
1800,88.25,2.64101346,2
1800,88.75,2.65963648,2
1800,89.25,2.67750396,2
1800,89.75,2.69461533,2
1800,90.25,2.71097015,2
1800,90.75,2.72656808,2
1800,91.25,2.74140885,2
1800,91.75,2.75549231,2
1800,92.25,2.76881837,2
1800,92.75,2.78138704,2
1800,93.25,2.79319839,2
1800,93.75,2.80425254,2
1800,94.25,2.81454971,2
1800,94.75,2.82409015,2
1800,95.25,2.83287418,2
1800,95.75,2.84090217,2
1800,96.25,2.84817454,2
1800,96.75,2.85469176,2
1800,97.25,2.86045434,2
1800,97.75,2.86546287,2
1800,98.25,2.86971792,2
1800,98.75,2.87322017,2
1800,99.25,2.87597029,2
1800,99.75,2.87796902,2
