# macdonald-short-shock — MacDonald 100 m channel, transonic then shock at x = 66.7 m
# SWASHES 3.2.2 (smooth transition and shock); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 4001 stations (20x model resolution nx=200)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.9887103139,2
1800,0.025,0.9886748745,2
1800,0.05,0.9886393225,2
1800,0.075,0.9886036581,2
1800,0.1,0.9885678812,2
1800,0.125,0.9885319917,2
1800,0.15,0.9884959898,2
1800,0.175,0.9884598754,2
1800,0.2,0.9884236484,2
1800,0.225,0.988387309,2
1800,0.25,0.988350857,2
1800,0.275,0.9883142926,2
1800,0.3,0.9882776157,2
1800,0.325,0.9882408262,2
1800,0.35,0.9882039243,2
1800,0.375,0.9881669099,2
1800,0.4,0.9881297829,2
1800,0.425,0.9880925435,2
1800,0.45,0.9880551916,2
1800,0.475,0.9880177271,2
1800,0.5,0.9879801502,2
1800,0.525,0.9879424608,2
1800,0.55,0.9879046588,2
1800,0.575,0.9878667444,2
1800,0.6,0.9878287175,2
1800,0.625,0.987790578,2
1800,0.65,0.9877523261,2
1800,0.675,0.9877139617,2
1800,0.7,0.9876754847,2
1800,0.725,0.9876368953,2
1800,0.75,0.9875981934,2
1800,0.775,0.9875593789,2
1800,0.8,0.987520452,2
1800,0.825,0.9874814126,2
1800,0.85,0.9874422606,2
1800,0.875,0.9874029962,2
1800,0.9,0.9873636193,2
1800,0.925,0.9873241298,2
1800,0.95,0.9872845279,2
1800,0.975,0.9872448135,2
1800,1,0.9872049865,2
1800,1.025,0.9871650471,2
1800,1.05,0.9871249952,2
1800,1.075,0.9870848307,2
1800,1.1,0.9870445538,2
1800,1.125,0.9870041644,2
1800,1.15,0.9869636624,2
1800,1.175,0.986923048,2
1800,1.2,0.9868823211,2
1800,1.225,0.9868414816,2
1800,1.25,0.9868005297,2
1800,1.275,0.9867594653,2
1800,1.3,0.9867182883,2
1800,1.325,0.9866769989,2
1800,1.35,0.986635597,2
1800,1.375,0.9865940825,2
1800,1.4,0.9865524556,2
1800,1.425,0.9865107162,2
1800,1.45,0.9864688642,2
1800,1.475,0.9864268998,2
1800,1.5,0.9863848229,2
1800,1.525,0.9863426334,2
1800,1.55,0.9863003315,2
1800,1.575,0.9862579171,2
1800,1.6,0.9862153901,2
1800,1.625,0.9861727507,2
1800,1.65,0.9861299988,2
1800,1.675,0.9860871343,2
1800,1.7,0.9860441574,2
1800,1.725,0.986001068,2
1800,1.75,0.985957866,2
1800,1.775,0.9859145516,2
1800,1.8,0.9858711246,2
1800,1.825,0.9858275852,2
1800,1.85,0.9857839333,2
1800,1.875,0.9857401688,2
1800,1.9,0.9856962919,2
1800,1.925,0.9856523025,2
1800,1.95,0.9856082005,2
1800,1.975,0.9855639861,2
1800,2,0.9855196592,2
1800,2.025,0.9854752197,2
1800,2.05,0.9854306678,2
1800,2.075,0.9853860034,2
1800,2.1,0.9853412264,2
1800,2.125,0.985296337,2
1800,2.15,0.9852513351,2
1800,2.175,0.9852062206,2
1800,2.2,0.9851609937,2
1800,2.225,0.9851156543,2
1800,2.25,0.9850702023,2
1800,2.275,0.9850246379,2
1800,2.3,0.984978961,2
1800,2.325,0.9849331715,2
1800,2.35,0.9848872696,2
1800,2.375,0.9848412552,2
1800,2.4,0.9847951282,2
1800,2.425,0.9847488888,2
1800,2.45,0.9847025369,2
1800,2.475,0.9846560724,2
1800,2.5,0.9846094955,2
1800,2.525,0.9845628061,2
1800,2.55,0.9845160041,2
1800,2.575,0.9844690897,2
1800,2.6,0.9844220628,2
1800,2.625,0.9843749233,2
1800,2.65,0.9843276714,2
1800,2.675,0.984280307,2
1800,2.7,0.98423283,2
1800,2.725,0.9841852406,2
1800,2.75,0.9841375387,2
1800,2.775,0.9840897242,2
1800,2.8,0.9840417973,2
1800,2.825,0.9839937579,2
1800,2.85,0.9839456059,2
1800,2.875,0.9838973415,2
1800,2.9,0.9838489646,2
1800,2.925,0.9838004751,2
1800,2.95,0.9837518732,2
1800,2.975,0.9837031588,2
1800,3,0.9836543318,2
1800,3.025,0.9836053924,2
1800,3.05,0.9835563405,2
1800,3.075,0.983507176,2
1800,3.1,0.9834578991,2
1800,3.125,0.9834085097,2
1800,3.15,0.9833590077,2
1800,3.175,0.9833093933,2
1800,3.2,0.9832596664,2
1800,3.225,0.9832098269,2
1800,3.25,0.983159875,2
1800,3.275,0.9831098106,2
1800,3.3,0.9830596336,2
1800,3.325,0.9830093442,2
1800,3.35,0.9829589423,2
1800,3.375,0.9829084278,2
1800,3.4,0.9828578009,2
1800,3.425,0.9828070614,2
1800,3.45,0.9827562095,2
1800,3.475,0.9827052451,2
1800,3.5,0.9826541681,2
1800,3.525,0.9826029787,2
1800,3.55,0.9825516768,2
1800,3.575,0.9825002623,2
1800,3.6,0.9824487354,2
1800,3.625,0.982397096,2
1800,3.65,0.982345344,2
1800,3.675,0.9822934796,2
1800,3.7,0.9822415027,2
