t_s,x_m,h_m,q_m2_per_s
1800,0,1.39257245,2.00338082
1800,0.5,1.37279523,2.00828282
1800,1,1.35659426,2.01163375
1800,1.5,1.33907726,2.01153517
1800,2,1.31989673,2.00762192
1800,2.5,1.30172367,2.01064858
1800,3,1.28583819,2.00986993
1800,3.5,1.26904124,1.99842716
1800,4,1.25476563,1.9958783
1800,4.5,1.24008336,1.99484407
1800,5,1.22700051,1.99820146
1800,5.5,1.21156392,2.00140829
1800,6,1.19745438,1.99831046
1800,6.5,1.18573149,1.99521969
1800,7,1.17376526,1.99503968
1800,7.5,1.16187971,1.99561518
1800,8,1.14959315,1.99210894
1800,8.5,1.1382615,1.98899859
1800,9,1.12716441,1.99053595
1800,9.5,1.11797481,1.99735162
1800,10,1.10748582,2.00504232
1800,10.5,1.09803952,2.00396024
1800,11,1.08904836,1.99924727
1800,11.5,1.08006594,1.99791913
1800,12,1.07113671,1.99754926
1800,12.5,1.06301393,1.99875714
1800,13,1.05466931,2.00131324
1800,13.5,1.04705131,2.00240244
1800,14,1.0388115,2.00078185
1800,14.5,1.02940722,1.99775028
1800,15,1.02175144,1.99519593
1800,15.5,1.01426447,1.99371389
1800,16,1.00840849,1.9943458
1800,16.5,1.00179077,1.99565428
1800,17,0.994658611,1.99742502
1800,17.5,0.987385946,1.99847706
1800,18,0.980518256,1.99805859
1800,18.5,0.974053047,1.99701191
1800,19,0.968220529,1.99782274
1800,19.5,0.962343701,2.00005627
1800,20,0.956582552,2.0018495
1800,20.5,0.951008087,2.0043142
1800,21,0.944950534,2.00412659
1800,21.5,0.939131008,2.00096013
1800,22,0.933427958,1.99873618
1800,22.5,0.92799313,1.99954819
1800,23,0.922895727,1.99972469
1800,23.5,0.917003869,1.99739783
1800,24,0.912486516,1.99699528
1800,24.5,0.90748121,1.99643278
1800,25,0.902804009,1.99516841
1800,25.5,0.897917069,1.99556153
1800,26,0.893475207,1.99718365
1800,26.5,0.888284306,1.99872192
1800,27,0.883500233,1.99948833
1800,27.5,0.879375772,1.99988804
1800,28,0.87497087,2.00060981
1800,28.5,0.870522998,2.00036012
1800,29,0.8660385,1.99910537
1800,29.5,0.861899508,1.99884649
1800,30,0.858060157,1.99813797
1800,30.5,0.854429911,1.99726546
1800,31,0.850330331,1.99653668
1800,31.5,0.846466618,1.9962555
1800,32,0.84261352,1.99736772
1800,32.5,0.839469687,1.99884594
1800,33,0.835354325,2.000106
1800,33.5,0.831799124,2.00097791
1800,34,0.827969101,1.99939201
1800,34.5,0.824020081,1.9969132
1800,35,0.819959977,1.99642509
1800,35.5,0.816582606,1.99664941
1800,36,0.813606679,1.99596914
1800,36.5,0.81008199,1.99522108
1800,37,0.806601069,1.99587469
1800,37.5,0.803460031,1.99728265
1800,38,0.800778494,1.99808015
1800,38.5,0.797492135,1.99814225
1800,39,0.794193096,1.99843803
1800,39.5,0.790921005,1.99855984
1800,40,0.787767853,1.99886466
1800,40.5,0.784655837,1.99958485
1800,41,0.781602395,1.99977646
1800,41.5,0.778721448,1.99980039
1800,42,0.775940145,1.99991901
1800,42.5,0.772997164,2.00092524
1800,43,0.770561187,2.0014413
1800,43.5,0.768149242,2.00098507
1800,44,0.765323086,2.0012415
1800,44.5,0.762672748,2.00112705
1800,45,0.75977143,2.00069606
1800,45.5,0.757307312,2.00101694
1800,46,0.754466218,2.00161348
1800,46.5,0.751743662,2.00086807
1800,47,0.749167198,1.99945807
1800,47.5,0.746693195,1.9988575
1800,48,0.743953639,1.99881358
1800,48.5,0.7416033,1.99872939
1800,49,0.739372122,1.99846028
1800,49.5,0.736942672,1.99835937
1800,50,0.734669607,1.99802995
1800,50.5,0.73232488,1.99753161
1800,51,0.730046436,1.99790237
1800,51.5,0.727709764,1.99893759
1800,52,0.725756092,2.00006927
1800,52.5,0.723645259,2.00050865
1800,53,0.721720778,2.00006034
1800,53.5,0.719572944,2.0000967
1800,54,0.717566244,2.00051558
1800,54.5,0.715304182,2.00087464
1800,55,0.713546089,2.00043333
1800,55.5,0.711557625,2.00024332
1800,56,0.709673777,2.00109139
1800,56.5,0.707909454,2.00196476
1800,57,0.706259137,2.00264398
1800,57.5,0.704378559,2.0033051
1800,58,0.702582806,2.00372153
1800,58.5,0.700625792,2.00320978
1800,59,0.698727785,2.00238057
1800,59.5,0.696814013,2.00205812
1800,60,0.694973658,2.00189309
1800,60.5,0.693050649,2.00194384
1800,61,0.691291377,2.0021042
1800,61.5,0.689721575,2.00186669
1800,62,0.687980886,2.00114443
1800,62.5,0.6862431,1.99990244
1800,63,0.684341623,1.998924
1800,63.5,0.682444098,1.99818776
1800,64,0.680737086,1.99823285
1800,64.5,0.679189563,1.99864762
1800,65,0.677508971,1.99846698
1800,65.5,0.675770002,1.99821374
1800,66,0.674037441,1.99791232
1800,66.5,0.672574395,1.99774315
1800,67,0.671309861,1.9980263
1800,67.5,0.66990083,1.99850811
1800,68,0.668562296,1.99851682
1800,68.5,0.667131287,1.99832941
1800,69,0.665856857,1.99829695
1800,69.5,0.664259248,1.99814521
1800,70,0.662948731,1.9981945
1800,70.5,0.661603534,1.99853486
1800,71,0.660400716,1.99878712
1800,71.5,0.659087522,1.99885985
1800,72,0.657884494,1.99899431
1800,72.5,0.656618801,1.99915397
1800,73,0.655221644,1.99903283
1800,73.5,0.654078768,1.99901811
1800,74,0.652903721,1.99949617
1800,74.5,0.651853232,1.99990093
1800,75,0.650750457,2.00052844
1800,75.5,0.649782274,2.00128484
1800,76,0.648766788,2.00154893
1800,76.5,0.647763383,2.00168388
1800,77,0.646489043,2.00159963
1800,77.5,0.645407136,2.00128787
1800,78,0.644234002,2.00116223
1800,78.5,0.643058133,2.00105301
1800,79,0.641840982,2.0005012
1800,79.5,0.640574647,1.99995742
1800,80,0.639492835,1.99969675
1800,80.5,0.638555446,1.99958658
1800,81,0.637462772,1.99955794
1800,81.5,0.636551129,1.99955486
1800,82,0.635631037,1.99964119
1800,82.5,0.63472079,1.99973479
1800,83,0.633715149,1.99983867
1800,83.5,0.632858519,1.99992035
1800,84,0.631947478,1.99981866
1800,84.5,0.630954947,1.99984369
1800,85,0.630280325,2.00016001
1800,85.5,0.629610498,2.00052475
1800,86,0.628891654,2.00093305
1800,86.5,0.628138624,2.00120053
1800,87,0.627327981,2.00133169
1800,87.5,0.626698464,2.00149403
1800,88,0.626073817,2.00172241
1800,88.5,0.625324659,2.00161907
1800,89,0.624509822,2.00135703
1800,89.5,0.6237448,2.00117014
1800,90,0.623012948,2.001079
1800,90.5,0.622366383,2.00140529
1800,91,0.621831032,2.00173089
1800,91.5,0.621295577,2.00185099
1800,92,0.620535578,2.00183028
1800,92.5,0.619747051,2.00170167
1800,93,0.619125706,2.00165954
1800,93.5,0.618574419,2.00161552
1800,94,0.61796626,2.00147628
1800,94.5,0.617345093,2.00119642
1800,95,0.616626475,2.00062515
1800,95.5,0.615966802,2.00027645
1800,96,0.615516854,2.00033899
1800,96.5,0.614957347,2.00015426
1800,97,0.614273499,1.99952391
1800,97.5,0.613590391,1.99882058
1800,98,0.613089178,1.99852797
1800,98.5,0.612645981,1.99860097
1800,99,0.612247211,1.99908336
1800,99.5,0.611792997,1.99956461
1800,100,0.611023834,1.99960759
