t_s,x_m,h_m,q_m2_per_s
1800,0,1.4035538,1.99797218
1800,0.5,1.37959487,1.9985494
1800,1,1.35701243,1.98970553
1800,1.5,1.33796439,1.98211995
1800,2,1.31768685,1.9818361
1800,2.5,1.29915954,1.97831117
1800,3,1.28340752,1.98481315
1800,3.5,1.26931534,1.9963142
1800,4,1.25384161,2.00377566
1800,4.5,1.23927726,2.00729614
1800,5,1.22539642,2.01113094
1800,5.5,1.21135835,2.01185397
1800,6,1.1993215,2.00931082
1800,6.5,1.18800256,2.01073031
1800,7,1.17590836,2.01014971
1800,7.5,1.16290942,2.0079616
1800,8,1.1488566,2.00395871
1800,8.5,1.1378744,2.00229313
1800,9,1.12712277,2.00153597
1800,9.5,1.11668517,2.00067948
1800,10,1.10661045,2.00450867
1800,10.5,1.09819731,2.00703957
1800,11,1.08843739,2.00337146
1800,11.5,1.07870924,1.99904134
1800,12,1.07065939,1.9988997
1800,12.5,1.06112881,2.00199981
1800,13,1.05304523,2.00198289
1800,13.5,1.04512063,1.99949631
1800,14,1.03762994,2.00006014
1800,14.5,1.03066682,2.00148041
1800,15,1.02299382,2.00231453
1800,15.5,1.01550551,2.00139201
1800,16,1.00801098,2.00131351
1800,16.5,1.00002376,2.00173995
1800,17,0.993498096,2.00177567
1800,17.5,0.987238778,2.00139777
1800,18,0.981065598,2.00163396
1800,18.5,0.974543431,2.00155888
1800,19,0.967785506,1.99949958
1800,19.5,0.961402724,1.99912525
1800,20,0.955922342,2.00078465
1800,20.5,0.95016337,2.00052669
1800,21,0.94412905,1.99903493
1800,21.5,0.938988329,1.99999844
1800,22,0.933676352,2.00153402
1800,22.5,0.92868568,2.00305399
1800,23,0.923424001,2.00312805
1800,23.5,0.917551855,2.00148281
1800,24,0.912177103,1.99948019
1800,24.5,0.906808111,1.99816462
1800,25,0.901496428,1.99787407
1800,25.5,0.896802015,1.99887329
1800,26,0.89305571,1.99954586
1800,26.5,0.88859784,1.99954175
1800,27,0.883855908,2.00084223
1800,27.5,0.879398768,1.99936724
1800,28,0.874964184,1.99828571
1800,28.5,0.870751732,1.99898292
1800,29,0.866439063,1.99903151
1800,29.5,0.862240147,1.9991769
1800,30,0.858397628,1.998345
1800,30.5,0.854732996,1.99827164
1800,31,0.85096824,1.99956994
1800,31.5,0.847122962,2.00069663
1800,32,0.843036943,2.00275803
1800,32.5,0.839313667,2.00477072
1800,33,0.835713823,2.00423574
1800,33.5,0.83176155,2.00312323
1800,34,0.828023739,2.00253484
1800,34.5,0.824084957,2.0022214
1800,35,0.820865357,2.00198628
1800,35.5,0.817104848,2.00142976
1800,36,0.813707512,2.00033981
1800,36.5,0.810298687,2.00008488
1800,37,0.807026739,2.00014036
1800,37.5,0.8038594,1.99951978
1800,38,0.800843877,1.99995326
1800,38.5,0.797767099,2.00140651
1800,39,0.794362062,2.00215024
1800,39.5,0.791129031,2.00159771
1800,40,0.78808141,2.00093171
1800,40.5,0.78451917,2.00024233
1800,41,0.781378655,2.00007498
1800,41.5,0.778114227,2.00065962
1800,42,0.775505915,2.00129183
1800,42.5,0.773107164,2.00151536
1800,43,0.770358832,2.00139088
1800,43.5,0.767836165,2.00088871
1800,44,0.764932978,1.99995234
1800,44.5,0.761989639,1.99909064
1800,45,0.759067014,1.99840233
1800,45.5,0.756321851,1.99814602
1800,46,0.754101258,1.99777158
1800,46.5,0.751377094,1.99770035
1800,47,0.748573995,1.99739441
1800,47.5,0.745863414,1.99724776
1800,48,0.743578437,1.99773169
1800,48.5,0.741109978,1.99837036
1800,49,0.738638455,1.99921583
1800,49.5,0.736519761,1.99897315
1800,50,0.734308979,1.99831108
1800,50.5,0.731901719,1.99851466
1800,51,0.729875341,1.99877944
1800,51.5,0.727685066,1.99893037
1800,52,0.725561293,1.99894764
1800,52.5,0.723353744,1.99832143
1800,53,0.721183554,1.9976723
1800,53.5,0.719201714,1.99763667
1800,54,0.717178861,1.99817067
1800,54.5,0.715102035,1.99910601
1800,55,0.713156731,1.99935895
1800,55.5,0.711041694,1.99950686
1800,56,0.709102099,2.00012165
1800,56.5,0.707282468,2.00053139
1800,57,0.705415038,2.00100681
1800,57.5,0.70341253,2.0011572
1800,58,0.701411752,2.00108078
1800,58.5,0.699914544,2.00084472
1800,59,0.698188423,2.00014273
1800,59.5,0.696266641,1.99967272
1800,60,0.694563523,1.99946017
1800,60.5,0.692580544,1.99943205
1800,61,0.690825862,1.99938244
1800,61.5,0.688964997,1.99899988
