t_s,x_m,h_m,q_m2_per_s
1800,0.25,0.89556464,2
1800,0.75,0.892941307,2
1800,1.25,0.890330368,2
1800,1.75,0.88773181,2
1800,2.25,0.885145615,2
1800,2.75,0.882571772,2
1800,3.25,0.880010264,2
1800,3.75,0.877461078,2
1800,4.25,0.874924199,2
1800,4.75,0.872399612,2
1800,5.25,0.869887302,2
1800,5.75,0.867387256,2
1800,6.25,0.864899459,2
1800,6.75,0.862423897,2
1800,7.25,0.859960556,2
1800,7.75,0.857509421,2
1800,8.25,0.855070478,2
1800,8.75,0.852643713,2
1800,9.25,0.850229113,2
1800,9.75,0.847826662,2
1800,10.25,0.845436348,2
1800,10.75,0.843058156,2
1800,11.25,0.840692072,2
1800,11.75,0.838338083,2
1800,12.25,0.835996176,2
1800,12.75,0.833666335,2
1800,13.25,0.831348549,2
1800,13.75,0.829042803,2
1800,14.25,0.826749085,2
1800,14.75,0.824467382,2
1800,15.25,0.822197679,2
1800,15.75,0.819939965,2
1800,16.25,0.817694226,2
1800,16.75,0.81546045,2
1800,17.25,0.813238625,2
1800,17.75,0.811028736,2
1800,18.25,0.808830773,2
1800,18.75,0.806644722,2
1800,19.25,0.804470572,2
1800,19.75,0.802308311,2
1800,20.25,0.800157926,2
1800,20.75,0.798019406,2
1800,21.25,0.795892739,2
1800,21.75,0.793777912,2
1800,22.25,0.791674917,2
1800,22.75,0.78958374,2
1800,23.25,0.787504372,2
1800,23.75,0.785436801,2
1800,24.25,0.783381017,2
1800,24.75,0.781337007,2
1800,25.25,0.779304763,2
1800,25.75,0.777284274,2
1800,26.25,0.775275529,2
1800,26.75,0.773278518,2
1800,27.25,0.771293234,2
1800,27.75,0.769319665,2
1800,28.25,0.767357801,2
1800,28.75,0.765407635,2
1800,29.25,0.763469157,2
1800,29.75,0.761542358,2
1800,30.25,0.759627229,2
1800,30.75,0.757723762,2
1800,31.25,0.755831949,2
1800,31.75,0.753951781,2
1800,32.25,0.752083252,2
1800,32.75,0.750226354,2
1800,33.25,0.748381079,2
1800,33.75,0.746547419,2
1800,34.25,0.744725368,2
1800,34.75,0.742914919,2
1800,35.25,0.741116065,2
1800,35.75,0.739328801,2
1800,36.25,0.737553121,2
1800,36.75,0.735789019,2
1800,37.25,0.734036488,2
1800,37.75,0.732295524,2
1800,38.25,0.730566123,2
1800,38.75,0.728848279,2
1800,39.25,0.727141988,2
1800,39.75,0.725447246,2
1800,40.25,0.723764049,2
1800,40.75,0.722092393,2
1800,41.25,0.720432275,2
1800,41.75,0.718783692,2
1800,42.25,0.717146642,2
1800,42.75,0.715521121,2
1800,43.25,0.713907128,2
1800,43.75,0.712304662,2
1800,44.25,0.71071372,2
1800,44.75,0.709134302,2
1800,45.25,0.707566407,2
1800,45.75,0.706010035,2
1800,46.25,0.704465185,2
1800,46.75,0.702931859,2
1800,47.25,0.701410056,2
1800,47.75,0.699899779,2
1800,48.25,0.698401028,2
1800,48.75,0.696913805,2
1800,49.25,0.695438114,2
1800,49.75,0.693973957,2
1800,50.25,0.692521337,2
1800,50.75,0.691080258,2
1800,51.25,0.689650725,2
1800,51.75,0.688232742,2
1800,52.25,0.686826314,2
1800,52.75,0.685431448,2
1800,53.25,0.68404815,2
1800,53.75,0.682676426,2
1800,54.25,0.681316285,2
1800,54.75,0.679967734,2
1800,55.25,0.678630783,2
1800,55.75,0.677305441,2
1800,56.25,0.675991718,2
1800,56.75,0.674689626,2
1800,57.25,0.673399175,2
1800,57.75,0.672120379,2
1800,58.25,0.670853251,2
1800,58.75,0.669597804,2
1800,59.25,0.668354055,2
1800,59.75,0.667122019,2
1800,60.25,0.665901713,2
1800,60.75,0.664693155,2
1800,61.25,0.663496364,2
1800,61.75,0.662311362,2
1800,62.25,0.661138168,2
1800,62.75,0.659976806,2
1800,63.25,0.658827301,2
1800,63.75,0.657689677,2
1800,64.25,0.656563961,2
1800,64.75,0.655450182,2
1800,65.25,0.65434837,2
1800,65.75,0.653258557,2
1800,66.25,0.652180777,2
1800,66.75,0.651115065,2
1800,67.25,0.650061458,2
1800,67.75,0.649019997,2
1800,68.25,0.647990723,2
1800,68.75,0.646973681,2
1800,69.25,0.645968918,2
1800,69.75,0.644976483,2
1800,70.25,0.643996429,2
1800,70.75,0.643028812,2
1800,71.25,0.642073689,2
1800,71.75,0.641131124,2
1800,72.25,0.640201181,2
1800,72.75,0.639283931,2
1800,73.25,0.638379446,2
1800,73.75,0.637487806,2
1800,74.25,0.636609091,2
1800,74.75,0.63574339,2
1800,75.25,0.634890795,2
1800,75.75,0.634051404,2
1800,76.25,0.633225321,2
1800,76.75,0.632412656,2
1800,77.25,0.631613525,2
1800,77.75,0.630828052,2
1800,78.25,0.630056368,2
1800,78.75,0.629298612,2
1800,79.25,0.628554932,2
1800,79.75,0.627825485,2
1800,80.25,0.627110435,2
1800,80.75,0.62640996,2
1800,81.25,0.625724246,2
1800,81.75,0.625053491,2
1800,82.25,0.624397907,2
1800,82.75,0.623757717,2
1800,83.25,0.623133159,2
1800,83.75,0.622524485,2
1800,84.25,0.621931962,2
1800,84.75,0.621355875,2
1800,85.25,0.620796527,2
1800,85.75,0.620254238,2
1800,86.25,0.619729349,2
1800,86.75,0.619222222,2
1800,87.25,0.61873324,2
1800,87.75,0.618262814,2
1800,88.25,0.617811375,2
1800,88.75,0.617379384,2
1800,89.25,0.61696733,2
1800,89.75,0.616575731,2
1800,90.25,0.616205139,2
1800,90.75,0.615856137,2
1800,91.25,0.615529345,2
1800,91.75,0.615225421,2
1800,92.25,0.614945063,2
1800,92.75,0.614689009,2
1800,93.25,0.614458044,2
1800,93.75,0.614252997,2
1800,94.25,0.614074748,2
1800,94.75,0.613924228,2
1800,95.25,0.613802422,2
1800,95.75,0.613710373,2
1800,96.25,0.613649181,2
1800,96.75,0.61362001,2
1800,97.25,0.61362409,2
1800,97.75,0.613662718,2
1800,98.25,0.613737261,2
1800,98.75,0.61384916,2
1800,99.25,0.613999933,2
1800,99.75,0.614191176,2
