t_s,x_m,h_m,q_m2_per_s
1800,0,0.656001265,1.99987359
1800,0.5,0.653996093,2.00035518
1800,1,0.652486075,2.00117512
1800,1.5,0.650986511,2.00131653
1800,2,0.649330822,2.00127759
1800,2.5,0.647630587,2.00103014
1800,3,0.645696126,2.00046455
1800,3.5,0.643706714,1.99999228
1800,4,0.641703346,1.9992755
1800,4.5,0.639720033,1.99850517
1800,5,0.637740801,1.99807583
1800,5.5,0.635925715,1.99814314
1800,6,0.633991285,1.99830564
1800,6.5,0.632129541,1.99864229
1800,7,0.630409495,1.99889675
1800,7.5,0.628630552,1.99897485
1800,8,0.626626154,1.99868536
1800,8.5,0.624898025,1.99842828
1800,9,0.623244386,1.99809136
1800,9.5,0.621762686,1.99783516
1800,10,0.620167944,1.99838765
1800,10.5,0.618607634,1.99936815
1800,11,0.617025056,1.9997924
1800,11.5,0.615087782,1.99961838
1800,12,0.613273394,2.00023956
1800,12.5,0.611727136,2.00125891
1800,13,0.610279107,2.00158932
1800,13.5,0.608774282,2.00102546
1800,14,0.606947464,2.00036119
1800,14.5,0.604961817,1.99988809
1800,15,0.603175738,1.99947347
1800,15.5,0.601329705,1.99894608
1800,16,0.599583444,1.99873862
1800,16.5,0.598092044,1.99898627
1800,17,0.596588765,1.99878931
1800,17.5,0.594891269,1.9985708
1800,18,0.593417568,1.998589
1800,18.5,0.591926267,1.99904029
1800,19,0.59025073,1.9994713
1800,19.5,0.588544851,1.99934253
1800,20,0.586997659,1.99935272
1800,20.5,0.585599597,1.99898943
1800,21,0.584185881,1.99867005
1800,21.5,0.582793307,1.99859499
1800,22,0.581355288,1.99816207
1800,22.5,0.579814704,1.99776133
1800,23,0.578355064,1.99772078
1800,23.5,0.577024236,1.99786776
1800,24,0.575869689,1.99754886
1800,24.5,0.574570809,1.99707027
1800,25,0.573238132,1.99704889
1800,25.5,0.572069661,1.99699906
1800,26,0.570821477,1.99648506
1800,26.5,0.569618979,1.9960404
1800,27,0.568401032,1.99626654
1800,27.5,0.567545962,1.99673755
1800,28,0.566645079,1.99717605
1800,28.5,0.565781464,1.9977462
1800,29,0.564991655,1.99821757
1800,29.5,0.564280721,1.99889429
1800,30,0.563875979,1.99996866
1800,30.5,0.563581038,2.00153032
1800,31,0.563359067,2.00303775
1800,31.5,0.562814747,2.00369576
1800,32,0.562369729,2.00451879
1800,32.5,0.562277994,2.00575639
1800,33,0.562052,2.0065922
1800,33.5,0.561536652,2.00643955
1800,34,0.560702185,2.00544877
1800,34.5,0.55984092,2.00436899
1800,35,0.559252959,2.00346017
1800,35.5,0.558729188,2.00265311
1800,36,0.558243962,2.00187999
1800,36.5,0.557815981,2.0010116
1800,37,0.55725402,1.99989949
1800,37.5,0.556807508,1.99884154
1800,38,0.556593158,1.99836645
1800,38.5,0.556849773,1.99868365
1800,39,0.557347198,1.99926709
1800,39.5,0.557615689,1.99939363
1800,40,0.558015788,1.99964899
1800,40.5,0.558854581,2.00037598
1800,41,0.55936385,2.00061787
1800,41.5,0.559825592,2.00052359
1800,42,0.560365714,2.00041796
1800,42.5,0.56088406,2.00008342
1800,43,0.561289383,1.99957689
1800,43.5,0.561986377,1.99936203
1800,44,0.562663654,1.99895416
1800,44.5,0.562882851,1.99768057
1800,45,0.563183728,1.99635194
1800,45.5,0.563871329,1.99606122
1800,46,0.565409148,1.99736001
1800,46.5,0.567491155,1.99976296
1800,47,0.569720925,2.00236287
1800,47.5,0.571570988,2.00414916
1800,48,0.572972726,2.00470068
1800,48.5,0.574000787,2.00426741
1800,49,0.574796952,2.00317535
1800,49.5,0.575501443,2.00161492
1800,50,0.575847433,1.99919863
1800,50.5,0.575835462,1.99614344
1800,51,0.576191042,1.99367303
1800,51.5,0.577002336,1.99212244
1800,52,0.577927051,1.99096795
1800,52.5,0.579043319,1.99029186
1800,53,0.580582788,1.99045748
1800,53.5,0.582480959,1.99141331
1800,54,0.584561147,1.99274537
1800,54.5,0.586618957,1.99408716
1800,55,0.589005515,1.99627159
1800,55.5,0.592432903,2.00035207
1800,56,0.596050923,2.00477951
1800,56.5,0.598821474,2.00753491
1800,57,0.601115415,2.00907954
1800,57.5,0.603415528,2.01025417
1800,58,0.605426484,2.01072883
1800,58.5,0.607179615,2.01061154
1800,59,0.608967713,2.0103013
1800,59.5,0.610320412,2.00905527
1800,60,0.611017796,2.00645772
1800,60.5,0.611501633,2.00329705
1800,61,0.612109143,2.00033482
1800,61.5,0.613017642,1.99812933
1800,62,0.614423576,1.99707187
1800,62.5,0.616269463,1.99718365
1800,63,0.618567076,1.99840737
1800,63.5,0.621158629,2.0001736
1800,64,0.623349111,2.00114234
1800,64.5,0.624977644,2.00101471
1800,65,0.626713912,2.00097802
1800,65.5,0.628768131,2.00164596
1800,66,0.630987036,2.00273528
1800,66.5,0.633177582,2.00362265
1800,67,0.634856668,2.00327022
1800,67.5,0.635738268,2.00117445
1800,68,0.636196093,1.99809731
1800,68.5,0.63675179,1.99526135
1800,69,0.63779426,1.99366003
1800,69.5,0.639518271,1.99371964
1800,70,0.6417916,1.99516011
1800,70.5,0.644095835,1.99695409
1800,71,0.64647422,1.99906304
1800,71.5,0.649128188,2.00154695
1800,72,0.651382153,2.00322347
1800,72.5,0.653054526,2.00364684
1800,73,0.65445727,2.00341246
1800,73.5,0.655861798,2.00311085
1800,74,0.657171151,2.00251626
1800,74.5,0.658012878,2.0008531
1800,75,0.658267737,1.99783301
1800,75.5,0.658304666,1.99420103
1800,76,0.65847424,1.99075888
1800,76.5,0.658663862,1.98747031
1800,77,0.658755738,1.98429417
1800,77.5,0.659226863,1.98222002
