t_s,x_m,h_m,q_m2_per_s
1800,0,0.657208578,2.00001194
1800,0.5,0.655252624,2.00017329
1800,1,0.653440046,2.00034306
1800,1.5,0.651645031,2.00044754
1800,2,0.649642495,2.000632
1800,2.5,0.647927962,2.00068569
1800,3,0.646262882,2.00101623
1800,3.5,0.644678966,2.00120139
1800,4,0.642796559,2.00008619
1800,4.5,0.64077943,1.99934725
1800,5,0.639055214,1.99974459
1800,5.5,0.637264501,1.99975579
1800,6,0.635366546,1.99977137
1800,6.5,0.633817013,1.99959546
1800,7,0.632354091,1.99970479
1800,7.5,0.630648526,2.00053164
1800,8,0.628866739,2.00094258
1800,8.5,0.62707747,2.00093568
1800,9,0.625498532,2.00085689
1800,9.5,0.623591301,2.00084904
1800,10,0.621536467,2.00052962
1800,10.5,0.61960532,2.00026703
1800,11,0.61770211,1.99986515
1800,11.5,0.61581996,1.99931766
1800,12,0.614208959,1.99967555
1800,12.5,0.612421287,1.99959647
1800,13,0.610558826,1.99893569
1800,13.5,0.608993583,1.99868392
1800,14,0.607515989,1.99899073
1800,14.5,0.605726358,1.99970138
1800,15,0.603867184,1.99984243
1800,15.5,0.602330024,2.00003128
1800,16,0.600734314,2.00039174
1800,16.5,0.599230162,2.00016792
1800,17,0.597958806,2.00048013
1800,17.5,0.596459923,2.00135336
1800,18,0.594737112,2.00169386
1800,18.5,0.593127538,2.00148414
1800,19,0.591583676,2.00105619
1800,19.5,0.590106928,2.00140094
1800,20,0.58874737,2.00227152
1800,20.5,0.587475753,2.0030395
1800,21,0.586200993,2.00343365
1800,21.5,0.584674164,2.00323305
1800,22,0.58313258,2.00257761
1800,22.5,0.581764148,2.0020557
1800,23,0.580461326,2.00168905
1800,23.5,0.578996558,2.00131864
1800,24,0.577663138,2.00097776
1800,24.5,0.576259604,2.00065731
1800,25,0.575082692,2.00097904
1800,25.5,0.573994076,2.00127487
1800,26,0.57284199,2.00105528
1800,26.5,0.57174702,2.00050894
1800,27,0.570456092,2.00006887
1800,27.5,0.56937135,2.00024963
1800,28,0.56839558,2.0006704
1800,28.5,0.567393118,2.00065597
1800,29,0.566281861,2.00034063
1800,29.5,0.565456661,2.00063974
1800,30,0.564967828,2.00162044
1800,30.5,0.564124478,2.00186736
1800,31,0.56302774,2.00083673
1800,31.5,0.561898581,1.99964822
1800,32,0.560929709,1.99915222
1800,32.5,0.560492857,1.99961994
1800,33,0.560086283,2.00014723
1800,33.5,0.559571046,2.0001605
1800,34,0.559052791,1.9999942
1800,34.5,0.558525344,1.99958946
1800,35,0.558144981,1.99960841
1800,35.5,0.557930097,1.99980466
1800,36,0.557560786,1.99955087
1800,36.5,0.557201298,1.9991645
1800,37,0.557044994,1.99908872
1800,37.5,0.557070405,1.99924475
1800,38,0.5571539,1.99926048
1800,38.5,0.557267853,1.99929544
1800,39,0.557503647,1.99928394
1800,39.5,0.557651445,1.99896577
1800,40,0.557787467,1.99860441
1800,40.5,0.558243565,1.99863588
1800,41,0.558697273,1.99869715
1800,41.5,0.559228389,1.99876186
1800,42,0.559965432,1.99899034
1800,42.5,0.560424243,1.99880255
1800,43,0.561019195,1.99873785
1800,43.5,0.562084633,1.99938648
1800,44,0.563138856,1.99994944
1800,44.5,0.563945266,1.99993707
1800,45,0.564659876,1.99953969
1800,45.5,0.565293786,1.998756
1800,46,0.565651306,1.9974473
1800,46.5,0.566187918,1.99647607
1800,47,0.567414773,1.99666757
1800,47.5,0.568820868,1.99726618
1800,48,0.56996954,1.9973986
1800,48.5,0.571147267,1.99753853
1800,49,0.572752489,1.99839254
1800,49.5,0.574709153,1.99994335
1800,50,0.576735071,2.0015756
1800,50.5,0.578599795,2.0028173
1800,51,0.580374053,2.00368659
1800,51.5,0.582008376,2.00413235
1800,52,0.583460312,2.00407909
1800,52.5,0.584757467,2.00360542
1800,53,0.586014423,2.00298824
1800,53.5,0.587397595,2.00258127
1800,54,0.589000467,2.00263934
1800,54.5,0.590689718,2.00273898
1800,55,0.592148489,2.00243214
1800,55.5,0.593683721,2.0021614
1800,56,0.595344008,2.00211231
1800,56.5,0.597006197,2.0020046
1800,57,0.59857306,2.00166796
1800,57.5,0.600035248,2.00107807
1800,58,0.601457669,2.00035951
1800,58.5,0.602890839,1.99964197
1800,59,0.604390633,1.99905602
1800,59.5,0.605999652,1.99870689
1800,60,0.607738875,1.99863708
1800,60.5,0.609590988,1.99880163
1800,61,0.611472805,1.99902711
1800,61.5,0.613292602,1.99911792
1800,62,0.61503046,1.99903064
1800,62.5,0.616742041,1.99887172
1800,63,0.618458809,1.99872173
1800,63.5,0.620168547,1.99856682
1800,64,0.621854756,1.99837222
1800,64.5,0.623509821,1.99812007
1800,65,0.625138801,1.997836
1800,65.5,0.626794796,1.99764853
1800,66,0.628549535,1.99771421
1800,66.5,0.630400272,1.99804508
1800,67,0.632265184,1.9984558
1800,67.5,0.634014564,1.99867597
1800,68,0.635597708,1.99857595
1800,68.5,0.637090401,1.99828595
1800,69,0.638592747,1.99801425
1800,69.5,0.640131392,1.99782963
1800,70,0.641660537,1.99765746
1800,70.5,0.643137784,1.99741715
1800,71,0.644584094,1.99712791
1800,71.5,0.646058522,1.99689805
1800,72,0.647616943,1.996881
1800,72.5,0.649311855,1.99721061
1800,73,0.651154796,1.99795021
1800,73.5,0.653136909,1.9990857
1800,74,0.655222582,2.00051682
1800,74.5,0.657307593,2.00200994
1800,75,0.659268222,2.0032703
1800,75.5,0.661032531,2.00412291
1800,76,0.662609843,2.00457383
1800,76.5,0.664039153,2.00471284
1800,77,0.665343484,2.00461226
1800,77.5,0.666538577,2.00431642
1800,78,0.66763931,2.00385371
1800,78.5,0.668653052,2.00326788
1800,79,0.66965072,2.00275305
1800,79.5,0.670839087,2.00272241
1800,80,0.672020286,2.00270898
1800,80.5,0.673034871,2.0023165
1800,81,0.674162202,2.00222775
1800,81.5,0.675319989,2.00217522
1800,82,0.676275984,2.00170197
1800,82.5,0.677148476,2.00108446
1800,83,0.677990706,2.0004711
1800,83.5,0.678857397,1.99996843
1800,84,0.679805791,1.99967286
1800,84.5,0.68083738,1.99958482
1800,85,0.681899398,1.99961571
1800,85.5,0.682963224,1.99969658
1800,86,0.684015952,1.99979488
1800,86.5,0.685043021,1.99988062
1800,87,0.68605769,1.99992866
1800,87.5,0.687042709,1.99992834
1800,88,0.687958216,1.99985983
1800,88.5,0.688801244,1.99973378
1800,89,0.689625898,1.99963673
1800,89.5,0.690417188,1.9995204
1800,90,0.691198852,1.99932489
1800,90.5,0.691992929,1.99912966
1800,91,0.692742006,1.99887921
1800,91.5,0.693274113,1.99839269
1800,92,0.693599708,1.99766398
1800,92.5,0.693856393,1.99693621
