t_s,x_m,h_m,q_m2_per_s
1800,0,0.656006299,2.00012063
1800,0.5,0.653735896,2.00039574
1800,1,0.65214347,2.00086975
1800,1.5,0.650483249,2.00104119
1800,2,0.648658031,2.00117621
1800,2.5,0.647039634,2.00102149
1800,3,0.645331597,2.00110188
1800,3.5,0.643488826,2.00132701
1800,4,0.641617495,2.00149947
1800,4.5,0.639900168,2.00194756
1800,5,0.638222565,2.00157931
1800,5.5,0.636377466,2.00120428
1800,6,0.634629001,2.00170116
1800,6.5,0.632870791,2.00159189
1800,7,0.630860134,2.0007265
1800,7.5,0.629087297,1.99987799
1800,8,0.627139811,1.99910141
1800,8.5,0.625241507,1.99889094
1800,9,0.623340693,1.99840646
1800,9.5,0.621747549,1.99824154
1800,10,0.619818528,1.99848035
1800,10.5,0.617918562,1.99810932
1800,11,0.615979252,1.99771832
1800,11.5,0.61429483,1.99767384
1800,12,0.612524085,1.99810443
1800,12.5,0.610793069,1.99825037
1800,13,0.60923216,1.99833675
1800,13.5,0.607826561,1.99913972
1800,14,0.606434319,2.00034906
1800,14.5,0.605026518,2.00130742
1800,15,0.603541301,2.00208769
1800,15.5,0.601939201,2.00264269
1800,16,0.6003487,2.00245892
1800,16.5,0.598722308,2.00229247
1800,17,0.596984812,2.0017834
1800,17.5,0.595187886,2.00132359
1800,18,0.593719318,2.00149329
1800,18.5,0.592373298,2.00186992
1800,19,0.590946831,2.00200594
1800,19.5,0.589283751,2.00178947
1800,20,0.587907218,2.00182556
1800,20.5,0.586467192,2.0016701
1800,21,0.585141569,2.00125102
1800,21.5,0.583674536,2.00117617
1800,22,0.582403101,2.00174275
1800,22.5,0.581187793,2.00183404
1800,23,0.579620186,2.0011351
1800,23.5,0.578066827,2.00035878
1800,24,0.576576049,1.99975805
1800,24.5,0.575135259,1.99930878
1800,25,0.573897072,1.9990118
1800,25.5,0.572654314,1.99910485
1800,26,0.571564886,1.99951688
1800,26.5,0.570680334,1.99999053
1800,27,0.569830257,2.00065843
1800,27.5,0.568862666,2.00087834
1800,28,0.567903241,2.00043156
1800,28.5,0.566765326,1.99994169
1800,29,0.565723057,1.99936982
1800,29.5,0.564453531,1.99845208
1800,30,0.563324563,1.99752815
1800,30.5,0.562278159,1.99700134
1800,31,0.561500396,1.99682693
1800,31.5,0.560814206,1.99707861
1800,32,0.560360348,1.99795028
1800,32.5,0.560315496,1.99964883
1800,33,0.560497534,2.00137393
1800,33.5,0.560427014,2.00254477
1800,34,0.560081612,2.0028406
1800,34.5,0.55941521,2.00228838
1800,35,0.558774095,2.00169866
1800,35.5,0.558394545,2.00147765
1800,36,0.558207028,2.00154073
1800,36.5,0.55811209,2.00168967
1800,37,0.557959802,2.00144163
1800,37.5,0.557709285,2.00086214
1800,38,0.557480856,2.00007236
1800,38.5,0.557118097,1.99893446
1800,39,0.557004252,1.99817021
1800,39.5,0.557173678,1.99783412
1800,40,0.557271338,1.99727959
1800,40.5,0.557361426,1.99669705
1800,41,0.557987427,1.99703472
1800,41.5,0.558828629,1.99777373
1800,42,0.559520041,1.99821419
1800,42.5,0.560377687,1.99869192
1800,43,0.561188648,1.99912785
1800,43.5,0.56202265,1.99928547
1800,44,0.562692194,1.99908121
1800,44.5,0.563411089,1.99897667
1800,45,0.564438612,1.99920849
1800,45.5,0.565374024,1.99928033
1800,46,0.566435716,1.99972563
1800,46.5,0.568057438,2.00085077
1800,47,0.569424763,2.00169249
1800,47.5,0.570783385,2.00205285
1800,48,0.571714326,2.00140013
1800,48.5,0.571998537,1.99937881
1800,49,0.572225191,1.99706093
1800,49.5,0.572816465,1.99552417
1800,50,0.574041043,1.99539207
1800,50.5,0.576012097,1.996947
1800,51,0.578601909,1.99957556
1800,51.5,0.580925898,2.00160786
1800,52,0.582508625,2.00204205
1800,52.5,0.583812308,2.00175059
1800,53,0.585445037,2.00191547
1800,53.5,0.587143804,2.0019861
1800,54,0.588191609,2.00074812
1800,54.5,0.588839013,1.99861514
1800,55,0.58968953,1.99691775
1800,55.5,0.591241023,1.99664761
1800,56,0.593461529,1.99795143
1800,56.5,0.596234946,2.00047294
1800,57,0.599186773,2.00322641
1800,57.5,0.601542493,2.00472478
1800,58,0.603221415,2.00479765
1800,58.5,0.604914057,2.00469759
1800,59,0.606949606,2.00512203
1800,59.5,0.609038713,2.00561832
1800,60,0.610868808,2.0056934
1800,60.5,0.612615093,2.00547134
1800,61,0.614265392,2.00495199
1800,61.5,0.6156183,2.00375838
1800,62,0.616728479,2.00206358
1800,62.5,0.617924979,2.00049566
1800,63,0.619362513,1.99941123
1800,63.5,0.620841098,1.9983982
1800,64,0.622031169,1.99693213
1800,64.5,0.623226709,1.99562607
1800,65,0.624927311,1.99530477
1800,65.5,0.626753041,1.99527396
1800,66,0.628198549,1.99472388
1800,66.5,0.629864339,1.99472529
1800,67,0.632061107,1.99569442
1800,67.5,0.634085125,1.9964392
1800,68,0.635709229,1.99642268
1800,68.5,0.637219846,1.99620892
1800,69,0.638972723,1.9965694
1800,69.5,0.640991239,1.99759553
1800,70,0.643290234,1.99936643
1800,70.5,0.646188203,2.00236535
1800,71,0.649222927,2.00538484
1800,71.5,0.651170031,2.00609183
1800,72,0.651944136,2.00425312
1800,72.5,0.652399696,2.0015419
1800,73,0.653083207,1.99921539
1800,73.5,0.653977509,1.99748274
1800,74,0.655145093,1.99642967
1800,74.5,0.656542342,1.99609887
1800,75,0.658144213,1.99625869
1800,75.5,0.65994704,1.99710744
1800,76,0.662148715,1.99879987
1800,76.5,0.664223529,2.00040109
1800,77,0.665883084,2.00112325
1800,77.5,0.667050421,2.00063708
1800,78,0.667571822,1.99869771
1800,78.5,0.667753763,1.99606635
1800,79,0.66816479,1.99408597
1800,79.5,0.669435316,1.99399945
1800,80,0.671519679,1.99568867
1800,80.5,0.673267921,1.99699679
1800,81,0.67444684,1.99709465
1800,81.5,0.675732793,1.99745605
1800,82,0.677637415,1.99926656
1800,82.5,0.680062322,2.00233517
1800,83,0.682591273,2.00585704
1800,83.5,0.685200993,2.00961056
1800,84,0.687883794,2.01342385
1800,84.5,0.690129687,2.01615534
1800,85,0.691481324,2.01678728
1800,85.5,0.692075784,2.0156111
1800,86,0.692388344,2.01362345
1800,86.5,0.692688302,2.01146491
1800,87,0.693052286,2.00944744
1800,87.5,0.693622043,2.00799989
1800,88,0.694174992,2.00652831
1800,88.5,0.694321273,2.00422649
1800,89,0.694246968,2.00148781
1800,89.5,0.694279373,1.99910088
1800,90,0.694466569,1.99724841
1800,90.5,0.694721087,1.99557299
1800,91,0.694878101,1.99379869
1800,91.5,0.694989434,1.99196155
1800,92,0.695003652,1.98998241
1800,92.5,0.694789808,1.98766433
1800,93,0.694454268,1.98564198
1800,93.5,0.694550403,1.98500824
1800,94,0.695014422,1.98582361
1800,94.5,0.696063709,1.98789209
1800,95,0.697369758,1.99075587
1800,95.5,0.698322168,1.9931011
1800,96,0.698493652,1.99425546
1800,96.5,0.698052083,1.99449902
1800,97,0.697391068,1.99499835
1800,97.5,0.696915672,1.99694124
1800,98,0.696725312,2.00023716
1800,98.5,0.696286549,2.00352383
1800,99,0.695058923,2.00540554
1800,99.5,0.693007834,2.00591241
1800,100,0.688628754,2.00595663
