# macdonald-short-sup — MacDonald 100 m channel, supercritical throughout
# SWASHES 3.2.2 (supercritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 4001 stations (20x model resolution nx=200)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.6733340733,2
1800,0.025,0.6732658576,2
1800,0.05,0.6731976079,2
1800,0.075,0.6731293241,2
1800,0.1,0.6730610063,2
1800,0.125,0.6729926545,2
1800,0.15,0.6729242688,2
1800,0.175,0.6728558492,2
1800,0.2,0.6727873958,2
1800,0.225,0.6727189085,2
1800,0.25,0.6726503875,2
1800,0.275,0.6725818327,2
1800,0.3,0.6725132441,2
1800,0.325,0.6724446219,2
1800,0.35,0.6723759661,2
1800,0.375,0.6723072766,2
1800,0.4,0.6722385535,2
1800,0.425,0.6721697969,2
1800,0.45,0.6721010068,2
1800,0.475,0.6720321833,2
1800,0.5,0.6719633263,2
1800,0.525,0.6718944359,2
1800,0.55,0.6718255121,2
1800,0.575,0.671756555,2
1800,0.6,0.6716875646,2
1800,0.625,0.6716185409,2
1800,0.65,0.6715494841,2
1800,0.675,0.671480394,2
1800,0.7,0.6714112708,2
1800,0.725,0.6713421145,2
1800,0.75,0.6712729251,2
1800,0.775,0.6712037027,2
1800,0.8,0.6711344472,2
1800,0.825,0.6710651589,2
1800,0.85,0.6709958375,2
1800,0.875,0.6709264833,2
1800,0.9,0.6708570963,2
1800,0.925,0.6707876764,2
1800,0.95,0.6707182237,2
1800,0.975,0.6706487383,2
1800,1,0.6705792202,2
1800,1.025,0.6705096694,2
1800,1.05,0.670440086,2
1800,1.075,0.6703704701,2
1800,1.1,0.6703008215,2
1800,1.125,0.6702311404,2
1800,1.15,0.6701614269,2
1800,1.175,0.6700916809,2
1800,1.2,0.6700219025,2
1800,1.225,0.6699520918,2
1800,1.25,0.6698822487,2
1800,1.275,0.6698123733,2
1800,1.3,0.6697424657,2
1800,1.325,0.6696725259,2
1800,1.35,0.6696025539,2
1800,1.375,0.6695325498,2
1800,1.4,0.6694625136,2
1800,1.425,0.6693924453,2
1800,1.45,0.669322345,2
1800,1.475,0.6692522127,2
1800,1.5,0.6691820485,2
1800,1.525,0.6691118524,2
1800,1.55,0.6690416244,2
1800,1.575,0.6689713647,2
1800,1.6,0.6689010731,2
1800,1.625,0.6688307498,2
1800,1.65,0.6687603948,2
1800,1.675,0.6686900081,2
1800,1.7,0.6686195898,2
1800,1.725,0.6685491399,2
1800,1.75,0.6684786585,2
1800,1.775,0.6684081455,2
1800,1.8,0.6683376011,2
1800,1.825,0.6682670253,2
1800,1.85,0.6681964181,2
1800,1.875,0.6681257796,2
