# p2d-jump-long — Pseudo-2D transonic + jump at x = 120 m, B2 trapezoidal, 400 m
# SWASHES 3.5.6; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.9027772491,2.003873408
1800,0.05,0.9024701566,2.003889609
1800,0.1,0.902163464,2.003905872
1800,0.15,0.9018571708,2.003922197
1800,0.2,0.9015512766,2.003938584
1800,0.25,0.9012457809,2.003955034
1800,0.3,0.9009406833,2.003971546
1800,0.35,0.9006359833,2.003988121
1800,0.4,0.9003316803,2.004004759
1800,0.45,0.900027774,2.004021461
1800,0.5,0.8997242639,2.004038226
1800,0.55,0.8994211496,2.004055054
1800,0.6,0.8991184304,2.004071947
1800,0.65,0.8988161061,2.004088903
1800,0.7,0.8985141761,2.004105924
1800,0.75,0.89821264,2.00412301
1800,0.8,0.8979114973,2.00414016
1800,0.85,0.8976107475,2.004157375
1800,0.9,0.8973103903,2.004174655
1800,0.95,0.897010425,2.004192001
1800,1,0.8967108514,2.004209413
1800,1.05,0.8964116688,2.00422689
1800,1.1,0.896112877,2.004244433
1800,1.15,0.8958144753,2.004262043
1800,1.2,0.8955164634,2.004279719
1800,1.25,0.8952188407,2.004297462
1800,1.3,0.8949216069,2.004315272
1800,1.35,0.8946247615,2.004333149
1800,1.4,0.894328304,2.004351093
1800,1.45,0.894032234,2.004369105
1800,1.5,0.8937365511,2.004387185
1800,1.55,0.8934412547,2.004405333
1800,1.6,0.8931463444,2.00442355
1800,1.65,0.8928518198,2.004441834
1800,1.7,0.8925576805,2.004460188
1800,1.75,0.8922639259,2.004478611
1800,1.8,0.8919705556,2.004497103
1800,1.85,0.8916775692,2.004515664
1800,1.9,0.8913849663,2.004534295
1800,1.95,0.8910927464,2.004552996
1800,2,0.890800909,2.004571767
1800,2.05,0.8905094536,2.004590608
1800,2.1,0.89021838,2.00460952
1800,2.15,0.8899276875,2.004628503
1800,2.2,0.8896373759,2.004647557
1800,2.25,0.8893474445,2.004666682
1800,2.3,0.889057893,2.004685879
1800,2.35,0.888768721,2.004705148
1800,2.4,0.888479928,2.004724488
1800,2.45,0.8881915135,2.004743901
1800,2.5,0.8879034772,2.004763386
1800,2.55,0.8876158185,2.004782945
1800,2.6,0.8873285371,2.004802576
1800,2.65,0.8870416324,2.00482228
1800,2.7,0.8867551042,2.004842058
1800,2.75,0.8864689519,2.004861909
1800,2.8,0.8861831751,2.004881835
1800,2.85,0.8858977733,2.004901834
1800,2.9,0.8856127462,2.004921908
1800,2.95,0.8853280932,2.004942057
1800,3,0.885043814,2.00496228
1800,3.05,0.8847599082,2.004982579
1800,3.1,0.8844763752,2.005002953
1800,3.15,0.8841932147,2.005023403
1800,3.2,0.8839104263,2.005043929
1800,3.25,0.8836280094,2.00506453
1800,3.3,0.8833459637,2.005085209
1800,3.35,0.8830642887,2.005105963
1800,3.4,0.8827829841,2.005126795
1800,3.45,0.8825020493,2.005147704
1800,3.5,0.882221484,2.00516869
1800,3.55,0.8819412878,2.005189754
1800,3.6,0.8816614601,2.005210896
1800,3.65,0.8813820006,2.005232116
1800,3.7,0.8811029089,2.005253415
1800,3.75,0.8808241845,2.005274792
1800,3.8,0.880545827,2.005296248
1800,3.85,0.880267836,2.005317783
1800,3.9,0.8799902111,2.005339398
1800,3.95,0.8797129517,2.005361092
1800,4,0.8794360577,2.005382866
1800,4.05,0.8791595284,2.005404721
1800,4.1,0.8788833634,2.005426655
1800,4.15,0.8786075625,2.005448671
1800,4.2,0.878332125,2.005470768
1800,4.25,0.8780570507,2.005492946
1800,4.3,0.8777823391,2.005515205
1800,4.35,0.8775079898,2.005537546
1800,4.4,0.8772340023,2.005559969
1800,4.45,0.8769603763,2.005582475
1800,4.5,0.8766871114,2.005605063
1800,4.55,0.876414207,2.005627734
1800,4.6,0.8761416629,2.005650488
1800,4.65,0.8758694785,2.005673325
1800,4.7,0.8755976535,2.005696246
1800,4.75,0.8753261875,2.005719251
1800,4.8,0.8750550801,2.00574234
1800,4.85,0.8747843308,2.005765514
1800,4.9,0.8745139392,2.005788772
1800,4.95,0.8742439049,2.005812116
1800,5,0.8739742276,2.005835544
1800,5.05,0.8737049067,2.005859058
1800,5.1,0.873435942,2.005882658
1800,5.15,0.8731673329,2.005906344
1800,5.2,0.8728990791,2.005930116
1800,5.25,0.8726311802,2.005953975
1800,5.3,0.8723636358,2.005977921
1800,5.35,0.8720964454,2.006001954
1800,5.4,0.8718296086,2.006026075
1800,5.45,0.8715631252,2.006050283
1800,5.5,0.8712969945,2.006074579
1800,5.55,0.8710312163,2.006098964
1800,5.6,0.8707657902,2.006123437
1800,5.65,0.8705007157,2.006147999
1800,5.7,0.8702359924,2.00617265
1800,5.75,0.8699716199,2.006197391
1800,5.8,0.8697075979,2.006222221
1800,5.85,0.869443926,2.006247141
1800,5.9,0.8691806036,2.006272152
1800,5.95,0.8689176305,2.006297253
1800,6,0.8686550063,2.006322445
1800,6.05,0.8683927305,2.006347729
1800,6.1,0.8681308027,2.006373103
1800,6.15,0.8678692226,2.00639857
1800,6.2,0.8676079897,2.006424128
1800,6.25,0.8673471037,2.006449779
1800,6.3,0.8670865641,2.006475522
1800,6.35,0.8668263707,2.006501358
1800,6.4,0.8665665228,2.006527288
1800,6.45,0.8663070203,2.00655331
1800,6.5,0.8660478627,2.006579427
1800,6.55,0.8657890495,2.006605638
1800,6.6,0.8655305805,2.006631943
1800,6.65,0.8652724552,2.006658343
1800,6.7,0.8650146732,2.006684837
1800,6.75,0.8647572341,2.006711427
1800,6.8,0.8645001376,2.006738113
1800,6.85,0.8642433832,2.006764894
1800,6.9,0.8639869706,2.006791772
1800,6.95,0.8637308994,2.006818746
1800,7,0.8634751692,2.006845816
1800,7.05,0.8632197795,2.006872984
1800,7.1,0.8629647302,2.006900249
1800,7.15,0.8627100206,2.006927612
1800,7.2,0.8624556505,2.006955073
1800,7.25,0.8622016195,2.006982632
1800,7.3,0.8619479271,2.00701029
1800,7.35,0.861694573,2.007038046
1800,7.4,0.8614415569,2.007065902
1800,7.45,0.8611888783,2.007093858
1800,7.5,0.8609365369,2.007121913
1800,7.55,0.8606845322,2.007150068
1800,7.6,0.8604328639,2.007178324
1800,7.65,0.8601815317,2.00720668
1800,7.7,0.859930535,2.007235138
1800,7.75,0.8596798737,2.007263697
1800,7.8,0.8594295472,2.007292357
1800,7.85,0.8591795552,2.00732112
1800,7.9,0.8589298973,2.007349985
1800,7.95,0.8586805732,2.007378953
1800,8,0.8584315825,2.007408024
1800,8.05,0.8581829247,2.007437197
1800,8.1,0.8579345996,2.007466475
1800,8.15,0.8576866067,2.007495856
1800,8.2,0.8574389457,2.007525342
1800,8.25,0.8571916162,2.007554932
1800,8.3,0.8569446178,2.007584628
1800,8.35,0.8566979502,2.007614428
1800,8.4,0.856451613,2.007644334
1800,8.45,0.8562056058,2.007674346
1800,8.5,0.8559599282,2.007704464
1800,8.55,0.8557145799,2.007734688
1800,8.6,0.8554695605,2.00776502
1800,8.65,0.8552248696,2.007795458
1800,8.7,0.8549805069,2.007826004
1800,8.75,0.854736472,2.007856658
1800,8.8,0.8544927645,2.00788742
1800,8.85,0.8542493841,2.007918291
1800,8.9,0.8540063304,2.00794927
1800,8.95,0.853763603,2.007980359
1800,9,0.8535212016,2.008011557
1800,9.05,0.8532791258,2.008042865
1800,9.1,0.8530373753,2.008074283
1800,9.15,0.8527959496,2.008105812
1800,9.2,0.8525548484,2.008137451
1800,9.25,0.8523140714,2.008169202
1800,9.3,0.8520736182,2.008201064
1800,9.35,0.8518334884,2.008233038
1800,9.4,0.8515936816,2.008265124
1800,9.45,0.8513541976,2.008297323
1800,9.5,0.8511150359,2.008329634
1800,9.55,0.8508761962,2.008362059
1800,9.6,0.8506376781,2.008394598
1800,9.65,0.8503994813,2.00842725
1800,9.7,0.8501616055,2.008460017
1800,9.75,0.8499240501,2.008492898
1800,9.8,0.849686815,2.008525894
1800,9.85,0.8494498997,2.008559006
1800,9.9,0.849213304,2.008592233
1800,9.95,0.8489770273,2.008625576
1800,10,0.8487410694,2.008659036
1800,10.05,0.84850543,2.008692612
1800,10.1,0.8482701086,2.008726305
1800,10.15,0.8480351049,2.008760116
1800,10.2,0.8478004186,2.008794045
1800,10.25,0.8475660493,2.008828091
1800,10.3,0.8473319967,2.008862256
1800,10.35,0.8470982604,2.00889654
1800,10.4,0.8468648401,2.008930944
1800,10.45,0.8466317354,2.008965466
1800,10.5,0.8463989459,2.009000109
1800,10.55,0.8461664713,2.009034872
1800,10.6,0.8459343114,2.009069756
1800,10.65,0.8457024656,2.00910476
1800,10.7,0.8454709337,2.009139886
1800,10.75,0.8452397153,2.009175134
1800,10.8,0.8450088102,2.009210504
1800,10.85,0.8447782178,2.009245996
1800,10.9,0.8445479379,2.009281611
1800,10.95,0.8443179702,2.009317349
1800,11,0.8440883143,2.009353211
1800,11.05,0.8438589698,2.009389197
1800,11.1,0.8436299365,2.009425307
1800,11.15,0.8434012139,2.009461542
1800,11.2,0.8431728018,2.009497902
1800,11.25,0.8429446997,2.009534387
1800,11.3,0.8427169074,2.009570998
1800,11.35,0.8424894245,2.009607735
1800,11.4,0.8422622507,2.009644599
1800,11.45,0.8420353856,2.00968159
1800,11.5,0.8418088288,2.009718708
1800,11.55,0.8415825802,2.009755953
1800,11.6,0.8413566392,2.009793327
1800,11.65,0.8411310056,2.009830829
1800,11.7,0.8409056791,2.00986846
1800,11.75,0.8406806592,2.009906221
1800,11.8,0.8404559458,2.00994411
1800,11.85,0.8402315383,2.00998213
1800,11.9,0.8400074366,2.01002028
1800,11.95,0.8397836402,2.010058561
1800,12,0.8395601488,2.010096973
1800,12.05,0.8393369622,2.010135516
1800,12.1,0.8391140799,2.010174192
1800,12.15,0.8388915016,2.010212999
1800,12.2,0.838669227,2.01025194
1800,12.25,0.8384472558,2.010291013
1800,12.3,0.8382255876,2.01033022
1800,12.35,0.8380042222,2.010369561
1800,12.4,0.8377831591,2.010409036
1800,12.45,0.837562398,2.010448645
1800,12.5,0.8373419387,2.01048839
1800,12.55,0.8371217808,2.01052827
1800,12.6,0.8369019239,2.010568286
1800,12.65,0.8366823678,2.010608438
1800,12.7,0.836463112,2.010648727
1800,12.75,0.8362441564,2.010689153
1800,12.8,0.8360255005,2.010729716
1800,12.85,0.835807144,2.010770417
1800,12.9,0.8355890867,2.010811256
1800,12.95,0.8353713281,2.010852234
1800,13,0.835153868,2.010893351
1800,13.05,0.834936706,2.010934608
1800,13.1,0.8347198419,2.010976004
1800,13.15,0.8345032752,2.011017541
1800,13.2,0.8342870057,2.011059218
1800,13.25,0.834071033,2.011101036
1800,13.3,0.8338553569,2.011142996
1800,13.35,0.8336399769,2.011185098
1800,13.4,0.8334248929,2.011227342
1800,13.45,0.8332101044,2.011269729
1800,13.5,0.8329956112,2.011312259
1800,13.55,0.8327814129,2.011354932
1800,13.6,0.8325675092,2.01139775
1800,13.65,0.8323538998,2.011440712
1800,13.7,0.8321405844,2.011483818
1800,13.75,0.8319275627,2.01152707
1800,13.8,0.8317148343,2.011570468
1800,13.85,0.8315023989,2.011614011
1800,13.9,0.8312902562,2.011657702
1800,13.95,0.831078406,2.011701539
1800,14,0.8308668478,2.011745523
1800,14.05,0.8306555814,2.011789655
1800,14.1,0.8304446065,2.011833936
1800,14.15,0.8302339227,2.011878365
1800,14.2,0.8300235297,2.011922943
1800,14.25,0.8298134273,2.01196767
1800,14.3,0.8296036151,2.012012548
1800,14.35,0.8293940928,2.012057576
1800,14.4,0.8291848601,2.012102754
1800,14.45,0.8289759167,2.012148084
1800,14.5,0.8287672622,2.012193566
1800,14.55,0.8285588964,2.012239199
1800,14.6,0.828350819,2.012284985
1800,14.65,0.8281430296,2.012330924
1800,14.7,0.827935528,2.012377016
1800,14.75,0.8277283138,2.012423263
1800,14.8,0.8275213868,2.012469663
1800,14.85,0.8273147465,2.012516218
1800,14.9,0.8271083928,2.012562928
1800,14.95,0.8269023253,2.012609794
1800,15,0.8266965437,2.012656816
1800,15.05,0.8264910477,2.012703994
1800,15.1,0.8262858371,2.01275133
1800,15.15,0.8260809114,2.012798822
1800,15.2,0.8258762704,2.012846473
1800,15.25,0.8256719139,2.012894282
1800,15.3,0.8254678414,2.012942249
1800,15.35,0.8252640527,2.012990376
1800,15.4,0.8250605475,2.013038662
1800,15.45,0.8248573256,2.013087108
1800,15.5,0.8246543865,2.013135715
1800,15.55,0.82445173,2.013184483
1800,15.6,0.8242493558,2.013233412
1800,15.65,0.8240472636,2.013282503
1800,15.7,0.8238454531,2.013331757
1800,15.75,0.823643924,2.013381173
1800,15.8,0.8234426761,2.013430752
1800,15.85,0.8232417089,2.013480496
1800,15.9,0.8230410223,2.013530403
1800,15.95,0.8228406159,2.013580475
1800,16,0.8226404894,2.013630712
1800,16.05,0.8224406425,2.013681115
1800,16.1,0.822241075,2.013731684
1800,16.15,0.8220417865,2.013782419
1800,16.2,0.8218427768,2.013833322
1800,16.25,0.8216440456,2.013884391
1800,16.3,0.8214455925,2.013935629
1800,16.35,0.8212474173,2.013987035
1800,16.4,0.8210495197,2.01403861
1800,16.45,0.8208518994,2.014090354
1800,16.5,0.8206545561,2.014142268
1800,16.55,0.8204574895,2.014194353
1800,16.6,0.8202606994,2.014246608
1800,16.65,0.8200641854,2.014299034
1800,16.7,0.8198679472,2.014351632
1800,16.75,0.8196719846,2.014404403
1800,16.8,0.8194762973,2.014457346
1800,16.85,0.819280885,2.014510462
1800,16.9,0.8190857474,2.014563751
1800,16.95,0.8188908842,2.014617215
1800,17,0.8186962951,2.014670854
1800,17.05,0.8185019799,2.014724667
1800,17.1,0.8183079382,2.014778656
1800,17.15,0.8181141699,2.014832822
1800,17.2,0.8179206745,2.014887163
1800,17.25,0.8177274519,2.014941682
1800,17.3,0.8175345016,2.014996378
1800,17.35,0.8173418236,2.015051253
1800,17.4,0.8171494174,2.015106306
1800,17.45,0.8169572827,2.015161537
1800,17.5,0.8167654194,2.015216949
1800,17.55,0.8165738271,2.01527254
1800,17.6,0.8163825056,2.015328312
1800,17.65,0.8161914545,2.015384265
1800,17.7,0.8160006737,2.015440399
1800,17.75,0.8158101627,2.015496716
1800,17.8,0.8156199214,2.015553214
1800,17.85,0.8154299494,2.015609896
1800,17.9,0.8152402465,2.015666762
1800,17.95,0.8150508124,2.015723811
1800,18,0.8148616468,2.015781045
1800,18.05,0.8146727495,2.015838464
1800,18.1,0.8144841201,2.015896068
1800,18.15,0.8142957585,2.015953859
1800,18.2,0.8141076642,2.016011836
1800,18.25,0.8139198372,2.01607
1800,18.3,0.813732277,2.016128352
1800,18.35,0.8135449834,2.016186891
1800,18.4,0.8133579561,2.01624562
1800,18.45,0.8131711949,2.016304537
1800,18.5,0.8129846995,2.016363644
1800,18.55,0.8127984696,2.016422942
1800,18.6,0.812612505,2.01648243
1800,18.65,0.8124268053,2.016542109
1800,18.7,0.8122413704,2.016601979
1800,18.75,0.8120561999,2.016662042
1800,18.8,0.8118712935,2.016722298
1800,18.85,0.8116866511,2.016782747
1800,18.9,0.8115022723,2.01684339
1800,18.95,0.8113181568,2.016904227
1800,19,0.8111343045,2.016965259
1800,19.05,0.810950715,2.017026487
1800,19.1,0.8107673881,2.01708791
1800,19.15,0.8105843234,2.01714953
1800,19.2,0.8104015208,2.017211347
1800,19.25,0.81021898,2.017273361
1800,19.3,0.8100367007,2.017335573
1800,19.35,0.8098546826,2.017397984
1800,19.4,0.8096729255,2.017460594
1800,19.45,0.8094914291,2.017523404
1800,19.5,0.8093101932,2.017586414
1800,19.55,0.8091292174,2.017649624
1800,19.6,0.8089485016,2.017713036
1800,19.65,0.8087680455,2.01777665
1800,19.7,0.8085878487,2.017840466
1800,19.75,0.8084079112,2.017904485
1800,19.8,0.8082282325,2.017968707
1800,19.85,0.8080488124,2.018033134
1800,19.9,0.8078696507,2.018097764
1800,19.95,0.8076907471,2.0181626
1800,20,0.8075121014,2.018227642
1800,20.05,0.8073337133,2.01829289
1800,20.1,0.8071555825,2.018358344
1800,20.15,0.8069777088,2.018424006
1800,20.2,0.8068000919,2.018489876
1800,20.25,0.8066227316,2.018555954
1800,20.3,0.8064456275,2.018622241
1800,20.35,0.8062687796,2.018688738
