# p2d-sub-long — Pseudo-2D subcritical, B2 trapezoidal Z=2, 400 m
# SWASHES 3.5.5; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.9035231236,2.003873408
1800,0.05,0.9035348849,2.003889609
1800,0.1,0.9035466809,2.003905872
1800,0.15,0.9035585119,2.003922197
1800,0.2,0.9035703778,2.003938584
1800,0.25,0.9035822789,2.003955034
1800,0.3,0.9035942151,2.003971546
1800,0.35,0.9036061866,2.003988121
1800,0.4,0.9036181935,2.004004759
1800,0.45,0.9036302358,2.004021461
1800,0.5,0.9036423136,2.004038226
1800,0.55,0.903654427,2.004055054
1800,0.6,0.9036665761,2.004071947
1800,0.65,0.9036787611,2.004088903
1800,0.7,0.9036909819,2.004105924
1800,0.75,0.9037032387,2.00412301
1800,0.8,0.9037155315,2.00414016
1800,0.85,0.9037278605,2.004157375
1800,0.9,0.9037402257,2.004174655
1800,0.95,0.9037526272,2.004192001
1800,1,0.9037650652,2.004209413
1800,1.05,0.9037775396,2.00422689
1800,1.1,0.9037900507,2.004244433
1800,1.15,0.9038025984,2.004262043
1800,1.2,0.9038151829,2.004279719
1800,1.25,0.9038278043,2.004297462
1800,1.3,0.9038404626,2.004315272
1800,1.35,0.903853158,2.004333149
1800,1.4,0.9038658905,2.004351093
1800,1.45,0.9038786602,2.004369105
1800,1.5,0.9038914672,2.004387185
1800,1.55,0.9039043117,2.004405333
1800,1.6,0.9039171936,2.00442355
1800,1.65,0.9039301132,2.004441834
1800,1.7,0.9039430704,2.004460188
1800,1.75,0.9039560654,2.004478611
1800,1.8,0.9039690983,2.004497103
1800,1.85,0.9039821691,2.004515664
1800,1.9,0.903995278,2.004534295
1800,1.95,0.904008425,2.004552996
1800,2,0.9040216102,2.004571767
1800,2.05,0.9040348338,2.004590608
1800,2.1,0.9040480958,2.00460952
1800,2.15,0.9040613963,2.004628503
1800,2.2,0.9040747354,2.004647557
1800,2.25,0.9040881133,2.004666682
1800,2.3,0.9041015299,2.004685879
1800,2.35,0.9041149854,2.004705148
1800,2.4,0.9041284799,2.004724488
1800,2.45,0.9041420134,2.004743901
1800,2.5,0.9041555861,2.004763386
1800,2.55,0.9041691981,2.004782945
1800,2.6,0.9041828495,2.004802576
1800,2.65,0.9041965403,2.00482228
1800,2.7,0.9042102707,2.004842058
1800,2.75,0.9042240407,2.004861909
1800,2.8,0.9042378504,2.004881835
1800,2.85,0.9042517,2.004901834
1800,2.9,0.9042655895,2.004921908
1800,2.95,0.904279519,2.004942057
1800,3,0.9042934887,2.00496228
1800,3.05,0.9043074985,2.004982579
1800,3.1,0.9043215487,2.005002953
1800,3.15,0.9043356393,2.005023403
