# p2d-sub-short — Pseudo-2D subcritical, B1 rectangular, 200 m
# SWASHES 3.5.1; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.9020213841,2.085598161
1800,0.025,0.9020264432,2.0857098
1800,0.05,0.9020315138,2.085821562
1800,0.075,0.9020365957,2.085933449
1800,0.1,0.9020416891,2.086045459
1800,0.125,0.902046794,2.086157593
1800,0.15,0.9020519103,2.086269851
1800,0.175,0.9020570382,2.086382233
1800,0.2,0.9020621775,2.08649474
1800,0.225,0.9020673284,2.08660737
1800,0.25,0.9020724909,2.086720126
1800,0.275,0.902077665,2.086833006
1800,0.3,0.9020828507,2.08694601
1800,0.325,0.902088048,2.08705914
1800,0.35,0.902093257,2.087172394
1800,0.375,0.9020984777,2.087285774
1800,0.4,0.90210371,2.087399278
1800,0.425,0.9021089542,2.087512908
1800,0.45,0.90211421,2.087626663
1800,0.475,0.9021194776,2.087740544
1800,0.5,0.9021247571,2.08785455
1800,0.525,0.9021300483,2.087968682
1800,0.55,0.9021353514,2.088082939
1800,0.575,0.9021406664,2.088197323
1800,0.6,0.9021459932,2.088311833
1800,0.625,0.902151332,2.088426468
1800,0.65,0.9021566826,2.08854123
1800,0.675,0.9021620453,2.088656118
1800,0.7,0.9021674199,2.088771133
1800,0.725,0.9021728065,2.088886274
1800,0.75,0.9021782052,2.089001542
1800,0.775,0.9021836159,2.089116936
1800,0.8,0.9021890386,2.089232458
1800,0.825,0.9021944735,2.089348106
1800,0.85,0.9021999205,2.089463882
1800,0.875,0.9022053796,2.089579785
1800,0.9,0.9022108509,2.089695815
1800,0.925,0.9022163344,2.089811972
1800,0.95,0.9022218301,2.089928257
1800,0.975,0.902227338,2.09004467
1800,1,0.9022328582,2.09016121
1800,1.025,0.9022383907,2.090277879
1800,1.05,0.9022439355,2.090394675
1800,1.075,0.9022494926,2.090511599
1800,1.1,0.902255062,2.090628652
1800,1.125,0.9022606439,2.090745833
1800,1.15,0.9022662381,2.090863142
1800,1.175,0.9022718447,2.09098058
1800,1.2,0.9022774638,2.091098146
1800,1.225,0.9022830954,2.091215841
1800,1.25,0.9022887395,2.091333665
1800,1.275,0.9022943961,2.091451618
1800,1.3,0.9023000652,2.0915697
1800,1.325,0.9023057469,2.091687912
1800,1.35,0.9023114412,2.091806252
1800,1.375,0.9023171481,2.091924722
1800,1.4,0.9023228676,2.092043322
1800,1.425,0.9023285998,2.092162051
1800,1.45,0.9023343447,2.092280909
1800,1.475,0.9023401023,2.092399898
1800,1.5,0.9023458727,2.092519017
1800,1.525,0.9023516558,2.092638265
1800,1.55,0.9023574516,2.092757644
1800,1.575,0.9023632603,2.092877154
1800,1.6,0.9023690818,2.092996793
1800,1.625,0.9023749162,2.093116563
1800,1.65,0.9023807635,2.093236464
1800,1.675,0.9023866236,2.093356495
1800,1.7,0.9023924967,2.093476658
1800,1.725,0.9023983828,2.093596951
