# p2d-sup-short — Pseudo-2D supercritical, B1 rectangular, 200 m
# SWASHES 3.5.2; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.5033689735,2.085598161
1800,0.025,0.5033774054,2.0857098
1800,0.05,0.5033858563,2.085821562
1800,0.075,0.5033943262,2.085933449
1800,0.1,0.5034028152,2.086045459
1800,0.125,0.5034113233,2.086157593
1800,0.15,0.5034198505,2.086269851
1800,0.175,0.5034283969,2.086382233
1800,0.2,0.5034369625,2.08649474
1800,0.225,0.5034455474,2.08660737
1800,0.25,0.5034541515,2.086720126
1800,0.275,0.503462775,2.086833006
1800,0.3,0.5034714178,2.08694601
1800,0.325,0.50348008,2.08705914
1800,0.35,0.5034887617,2.087172394
1800,0.375,0.5034974628,2.087285774
1800,0.4,0.5035061834,2.087399278
1800,0.425,0.5035149236,2.087512908
1800,0.45,0.5035236833,2.087626663
1800,0.475,0.5035324627,2.087740544
1800,0.5,0.5035412618,2.08785455
1800,0.525,0.5035500805,2.087968682
1800,0.55,0.503558919,2.088082939
1800,0.575,0.5035677773,2.088197323
1800,0.6,0.5035766553,2.088311833
1800,0.625,0.5035855533,2.088426468
1800,0.65,0.5035944711,2.08854123
1800,0.675,0.5036034088,2.088656118
1800,0.7,0.5036123665,2.088771133
1800,0.725,0.5036213442,2.088886274
1800,0.75,0.503630342,2.089001542
1800,0.775,0.5036393598,2.089116936
1800,0.8,0.5036483977,2.089232458
1800,0.825,0.5036574559,2.089348106
1800,0.85,0.5036665342,2.089463882
1800,0.875,0.5036756327,2.089579785
1800,0.9,0.5036847515,2.089695815
1800,0.925,0.5036938907,2.089811972
1800,0.95,0.5037030502,2.089928257
1800,0.975,0.50371223,2.09004467
1800,1,0.5037214304,2.09016121
1800,1.025,0.5037306511,2.090277879
1800,1.05,0.5037398924,2.090394675
1800,1.075,0.5037491543,2.090511599
1800,1.1,0.5037584367,2.090628652
1800,1.125,0.5037677398,2.090745833
1800,1.15,0.5037770635,2.090863142
1800,1.175,0.5037864079,2.09098058
1800,1.2,0.5037957731,2.091098146
1800,1.225,0.503805159,2.091215841
1800,1.25,0.5038145658,2.091333665
1800,1.275,0.5038239935,2.091451618
1800,1.3,0.503833442,2.0915697
1800,1.325,0.5038429115,2.091687912
1800,1.35,0.503852402,2.091806252
1800,1.375,0.5038619135,2.091924722
1800,1.4,0.5038714461,2.092043322
1800,1.425,0.5038809997,2.092162051
1800,1.45,0.5038905746,2.092280909
1800,1.475,0.5039001706,2.092399898
1800,1.5,0.5039097878,2.092519017
1800,1.525,0.5039194263,2.092638265
1800,1.55,0.5039290861,2.092757644
1800,1.575,0.5039387672,2.092877154
1800,1.6,0.5039484697,2.092996793
1800,1.625,0.5039581937,2.093116563
1800,1.65,0.5039679391,2.093236464
1800,1.675,0.5039777061,2.093356495
1800,1.7,0.5039874945,2.093476658
1800,1.725,0.5039973046,2.093596951
1800,1.75,0.5040071363,2.093717375
1800,1.775,0.5040169897,2.093837931
1800,1.8,0.5040268648,2.093958618
1800,1.825,0.5040367616,2.094079436
1800,1.85,0.5040466802,2.094200386
1800,1.875,0.5040566207,2.094321467
1800,1.9,0.504066583,2.09444268
1800,1.925,0.5040765673,2.094564025
1800,1.95,0.5040865735,2.094685502
1800,1.975,0.5040966017,2.094807111
1800,2,0.504106652,2.094928853
1800,2.025,0.5041167243,2.095050726
1800,2.05,0.5041268188,2.095172732
1800,2.075,0.5041369355,2.095294871
1800,2.1,0.5041470743,2.095417142
1800,2.125,0.5041572354,2.095539546
1800,2.15,0.5041674188,2.095662082
1800,2.175,0.5041776245,2.095784752
1800,2.2,0.5041878526,2.095907555
1800,2.225,0.5041981031,2.096030491
1800,2.25,0.5042083761,2.09615356
1800,2.275,0.5042186716,2.096276763
1800,2.3,0.5042289896,2.0964001
1800,2.325,0.5042393302,2.09652357
1800,2.35,0.5042496934,2.096647173
1800,2.375,0.5042600793,2.096770911
1800,2.4,0.504270488,2.096894783
1800,2.425,0.5042809193,2.097018788
1800,2.45,0.5042913735,2.097142928
1800,2.475,0.5043018505,2.097267203
1800,2.5,0.5043123504,2.097391611
1800,2.525,0.5043228733,2.097516155
1800,2.55,0.504333419,2.097640833
1800,2.575,0.5043439879,2.097765645
1800,2.6,0.5043545797,2.097890593
1800,2.625,0.5043651947,2.098015676
1800,2.65,0.5043758328,2.098140894
1800,2.675,0.504386494,2.098266247
1800,2.7,0.5043971786,2.098391735
1800,2.725,0.5044078863,2.098517359
1800,2.75,0.5044186174,2.098643119
1800,2.775,0.5044293719,2.098769014
1800,2.8,0.5044401497,2.098895045
1800,2.825,0.504450951,2.099021212
