# p2d-trans-short — Pseudo-2D smooth sub-to-supercritical, B1, 200 m
# SWASHES 3.5.3; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,1.261018499,2.085598161
1800,0.025,1.260982034,2.0857098
1800,0.05,1.260945537,2.085821562
1800,0.075,1.260909009,2.085933449
1800,0.1,1.260872449,2.086045459
1800,0.125,1.260835857,2.086157593
1800,0.15,1.260799233,2.086269851
1800,0.175,1.260762578,2.086382233
1800,0.2,1.26072589,2.08649474
1800,0.225,1.260689171,2.08660737
1800,0.25,1.26065242,2.086720126
1800,0.275,1.260615637,2.086833006
1800,0.3,1.260578822,2.08694601
1800,0.325,1.260541975,2.08705914
1800,0.35,1.260505095,2.087172394
1800,0.375,1.260468184,2.087285774
1800,0.4,1.260431241,2.087399278
1800,0.425,1.260394266,2.087512908
1800,0.45,1.260357258,2.087626663
1800,0.475,1.260320219,2.087740544
1800,0.5,1.260283147,2.08785455
1800,0.525,1.260246043,2.087968682
1800,0.55,1.260208907,2.088082939
1800,0.575,1.260171739,2.088197323
1800,0.6,1.260134538,2.088311833
1800,0.625,1.260097305,2.088426468
1800,0.65,1.26006004,2.08854123
1800,0.675,1.260022743,2.088656118
1800,0.7,1.259985413,2.088771133
1800,0.725,1.259948051,2.088886274
1800,0.75,1.259910656,2.089001542
1800,0.775,1.259873229,2.089116936
1800,0.8,1.25983577,2.089232458
1800,0.825,1.259798278,2.089348106
1800,0.85,1.259760754,2.089463882
1800,0.875,1.259723197,2.089579785
1800,0.9,1.259685607,2.089695815
1800,0.925,1.259647985,2.089811972
1800,0.95,1.259610331,2.089928257
1800,0.975,1.259572644,2.09004467
1800,1,1.259534924,2.09016121
1800,1.025,1.259497172,2.090277879
1800,1.05,1.259459387,2.090394675
1800,1.075,1.259421569,2.090511599
1800,1.1,1.259383719,2.090628652
1800,1.125,1.259345835,2.090745833
1800,1.15,1.259307919,2.090863142
1800,1.175,1.259269971,2.09098058
1800,1.2,1.259231989,2.091098146
1800,1.225,1.259193975,2.091215841
1800,1.25,1.259155927,2.091333665
1800,1.275,1.259117847,2.091451618
1800,1.3,1.259079734,2.0915697
1800,1.325,1.259041588,2.091687912
1800,1.35,1.259003409,2.091806252
1800,1.375,1.258965198,2.091924722
1800,1.4,1.258926953,2.092043322
1800,1.425,1.258888675,2.092162051
1800,1.45,1.258850364,2.092280909
1800,1.475,1.25881202,2.092399898
1800,1.5,1.258773643,2.092519017
1800,1.525,1.258735232,2.092638265
1800,1.55,1.258696789,2.092757644
1800,1.575,1.258658313,2.092877154
1800,1.6,1.258619803,2.092996793
1800,1.625,1.25858126,2.093116563
1800,1.65,1.258542684,2.093236464
1800,1.675,1.258504074,2.093356495
1800,1.7,1.258465432,2.093476658
1800,1.725,1.258426756,2.093596951
1800,1.75,1.258388046,2.093717375
1800,1.775,1.258349303,2.093837931
1800,1.8,1.258310527,2.093958618
1800,1.825,1.258271718,2.094079436
1800,1.85,1.258232875,2.094200386
1800,1.875,1.258193999,2.094321467
1800,1.9,1.258155089,2.09444268
1800,1.925,1.258116145,2.094564025
1800,1.95,1.258077169,2.094685502
1800,1.975,1.258038158,2.094807111
1800,2,1.257999114,2.094928853
1800,2.025,1.257960037,2.095050726
1800,2.05,1.257920925,2.095172732
1800,2.075,1.257881781,2.095294871
1800,2.1,1.257842602,2.095417142
1800,2.125,1.25780339,2.095539546
1800,2.15,1.257764144,2.095662082
1800,2.175,1.257724865,2.095784752
1800,2.2,1.257685551,2.095907555
1800,2.225,1.257646204,2.096030491
1800,2.25,1.257606823,2.09615356
1800,2.275,1.257567408,2.096276763
1800,2.3,1.25752796,2.0964001
1800,2.325,1.257488477,2.09652357
1800,2.35,1.257448961,2.096647173
1800,2.375,1.25740941,2.096770911
1800,2.4,1.257369826,2.096894783
1800,2.425,1.257330208,2.097018788
1800,2.45,1.257290555,2.097142928
1800,2.475,1.257250869,2.097267203
1800,2.5,1.257211149,2.097391611
1800,2.525,1.257171394,2.097516155
1800,2.55,1.257131606,2.097640833
1800,2.575,1.257091783,2.097765645
1800,2.6,1.257051926,2.097890593
1800,2.625,1.257012036,2.098015676
1800,2.65,1.25697211,2.098140894
1800,2.675,1.256932151,2.098266247
1800,2.7,1.256892157,2.098391735
1800,2.725,1.25685213,2.098517359
1800,2.75,1.256812068,2.098643119
1800,2.775,1.256771971,2.098769014
1800,2.8,1.25673184,2.098895045
1800,2.825,1.256691675,2.099021212
1800,2.85,1.256651476,2.099147515
1800,2.875,1.256611242,2.099273954
1800,2.9,1.256570973,2.099400529
1800,2.925,1.256530671,2.099527241
1800,2.95,1.256490333,2.09965409
1800,2.975,1.256449962,2.099781075
1800,3,1.256409555,2.099908196
1800,3.025,1.256369115,2.100035455
1800,3.05,1.256328639,2.10016285
1800,3.075,1.256288129,2.100290383
1800,3.1,1.256247584,2.100418052
1800,3.125,1.256207005,2.100545859
1800,3.15,1.256166391,2.100673804
1800,3.175,1.256125743,2.100801886
1800,3.2,1.256085059,2.100930105
1800,3.225,1.256044341,2.101058463
1800,3.25,1.256003588,2.101186958
1800,3.275,1.255962801,2.101315591
