t_s,x_m,h_m,q_m2_per_s
2,0,0.00499999989,0
2,0.05,0.00499999989,0
2,0.1,0.00499999989,0
2,0.15,0.00499999989,0
2,0.2,0.00499999989,0
2,0.25,0.00499999989,0
2,0.3,0.00499999989,0
2,0.35,0.00499999989,0
2,0.4,0.00499999989,0
2,0.45,0.00499999989,0
2,0.5,0.00499999989,0
2,0.55,0.00499999989,0
2,0.6,0.00499999989,0
2,0.65,0.00499999989,0
2,0.7,0.00499999989,0
2,0.75,0.00499999989,0
2,0.8,0.00499999989,0
2,0.85,0.00499999989,0
2,0.9,0.00499999989,0
2,0.95,0.00499999989,0
2,1,0.00499999989,0
2,1.05,0.00499999989,0
2,1.1,0.00499999989,0
2,1.15,0.00499999989,0
2,1.2,0.00499999989,0
2,1.25,0.00499999989,0
2,1.3,0.00499999989,0
2,1.35,0.00499999989,0
2,1.4,0.00499999989,0
2,1.45,0.00499999989,0
2,1.5,0.00499999989,0
2,1.55,0.00499999989,0
2,1.6,0.00499999989,0
2,1.65,0.00499999989,0
2,1.7,0.00499999989,0
2,1.75,0.00499999989,0
2,1.8,0.00499999989,0
2,1.85,0.00499999989,0
2,1.9,0.00499999989,0
2,1.95,0.00499999989,0
2,2,0.00499999989,0
2,2.05,0.00499999989,0
2,2.1,0.00499999989,0
2,2.15,0.00499999989,0
2,2.2,0.00499999989,0
2,2.25,0.00499999989,0
2,2.3,0.00499999989,0
2,2.35,0.00499999989,0
2,2.4,0.00499999989,0
2,2.45,0.00499999989,0
2,2.5,0.00499999989,0
2,2.55,0.00499999989,0
2,2.6,0.00499999989,0
2,2.65,0.00499999989,0
2,2.7,0.00499999989,0
2,2.75,0.00499999989,0
2,2.8,0.00499999989,0
2,2.85,0.00499999989,0
2,2.9,0.00499999989,0
2,2.95,0.00499999989,0
2,3,0.00499999989,0
2,3.05,0.00499999989,0
2,3.1,0.00499999989,0
2,3.15,0.00499999989,0
2,3.2,0.00499999989,0
2,3.25,0.00499999989,0
2,3.3,0.00499999989,0
2,3.35,0.00499999989,0
2,3.4,0.00499999989,0
2,3.45,0.00499999989,0
2,3.5,0.00499999989,0
2,3.55,0.00499999989,0
2,3.6,0.00499999989,0
2,3.65,0.00499999989,0
2,3.7,0.00499999989,0
2,3.75,0.00499999989,0
2,3.8,0.00499999989,0
2,3.85,0.00499999989,2.59498251e-21
2,3.9,0.00499999989,1.51546976e-18
2,3.95,0.00499999989,3.84654249e-17
2,4,0.00499999989,8.10778875e-16
2,4.05,0.00499999989,1.52284673e-14
2,4.1,0.00499999989,2.55281612e-13
2,4.15,0.00499999989,3.79460664e-12
2,4.2,0.00499999989,4.95748867e-11
2,4.25,0.00499999849,5.63285672e-10
2,4.3,0.00499998545,5.49612633e-09
2,4.35,0.00499986904,4.53374582e-08
2,4.4,0.00499903457,3.100165e-07
2,4.45,0.00499419868,1.71429974e-06
2,4.5,0.00497244392,7.44724866e-06
2,4.55,0.0048996387,2.47507669e-05
2,4.6,0.00472495286,6.22374973e-05
2,4.65,0.00442764303,0.000120290752
2,4.7,0.00405530538,0.000186524478
2,4.75,0.003680608,0.000245844807
2,4.8,0.00335257081,0.00028942636
2,4.85,0.00317417132,0.000309650786
2,4.9,0.0028946579,0.000354761039
