t_s,x_m,h_m,q_m2_per_s
2,0.025,0.005,0
2,0.075,0.005,0
2,0.125,0.005,0
2,0.175,0.005,0
2,0.225,0.005,0
2,0.275,0.005,0
2,0.325,0.005,0
2,0.375,0.005,0
2,0.425,0.005,0
2,0.475,0.005,0
2,0.525,0.005,0
2,0.575,0.005,0
2,0.625,0.005,0
2,0.675,0.005,0
2,0.725,0.005,0
2,0.775,0.005,0
2,0.825,0.005,0
2,0.875,0.005,0
2,0.925,0.005,0
2,0.975,0.005,0
2,1.025,0.005,0
2,1.075,0.005,0
2,1.125,0.005,0
2,1.175,0.005,0
2,1.225,0.005,0
2,1.275,0.005,0
2,1.325,0.005,0
2,1.375,0.005,0
2,1.425,0.005,0
2,1.475,0.005,0
2,1.525,0.005,0
2,1.575,0.005,0
2,1.625,0.005,0
2,1.675,0.005,0
2,1.725,0.005,0
2,1.775,0.005,0
2,1.825,0.005,0
2,1.875,0.005,0
2,1.925,0.005,0
2,1.975,0.005,0
2,2.025,0.005,0
2,2.075,0.005,0
2,2.125,0.005,0
2,2.175,0.005,0
2,2.225,0.005,0
2,2.275,0.005,0
2,2.325,0.005,0
2,2.375,0.005,0
2,2.425,0.005,0
2,2.475,0.005,0
2,2.525,0.005,0
2,2.575,0.005,0
2,2.625,0.005,0
2,2.675,0.005,0
2,2.725,0.005,2.37529746e-130
2,2.775,0.005,9.03698128e-124
2,2.825,0.005,5.85367875e-118
2,2.875,0.005,1.43759096e-112
2,2.925,0.005,1.78716413e-107
2,2.975,0.005,1.33466344e-102
2,3.025,0.005,6.77452031e-98
2,3.075,0.005,2.54117786e-93
2,3.125,0.005,7.46534416e-89
2,3.175,0.005,2.01269798e-84
2,3.225,0.005,1.00467119e-79
2,3.275,0.005,7.56946558e-75
2,3.325,0.005,3.8648019e-70
2,3.375,0.005,1.25795126e-65
2,3.425,0.005,2.85350635e-61
2,3.475,0.005,4.78709318e-57
2,3.525,0.005,6.19042853e-53
2,3.575,0.005,6.37881938e-49
2,3.625,0.005,5.58546784e-45
2,3.675,0.005,4.71253812e-41
2,3.725,0.005,4.05353667e-37
2,3.775,0.005,3.16065614e-33
2,3.825,0.005,2.21263623e-29
2,3.875,0.005,1.36866598e-25
2,3.925,0.005,8.9774393e-22
2,3.975,0.005,3.28063762e-17
2,4.025,0.005,1.17058913e-13
2,4.075,0.00499999998,6.46202459e-12
2,4.125,0.00499999947,1.8577143e-10
2,4.175,0.00499998819,3.85512628e-09
2,4.225,0.0049998097,5.72455872e-08
2,4.275,0.00499790281,5.81183136e-07
2,4.325,0.00498432367,3.97950674e-06
2,4.375,0.00492503228,1.7518205e-05
2,4.425,0.0047669183,5.10508604e-05
