t_s,x_m,h_m,q_m2_per_s
2,0.025,0.005,0
2,0.075,0.005,0
2,0.125,0.005,0
2,0.175,0.005,0
2,0.225,0.005,0
2,0.275,0.005,0
2,0.325,0.005,0
2,0.375,0.005,0
2,0.425,0.005,0
2,0.475,0.005,0
2,0.525,0.005,0
2,0.575,0.005,0
2,0.625,0.005,0
2,0.675,0.005,0
2,0.725,0.005,0
2,0.775,0.005,0
2,0.825,0.005,0
2,0.875,0.005,0
2,0.925,0.005,0
2,0.975,0.005,0
2,1.025,0.005,0
2,1.075,0.005,0
2,1.125,0.005,0
2,1.175,0.005,0
2,1.225,0.005,0
2,1.275,0.005,0
2,1.325,0.005,0
2,1.375,0.005,0
2,1.425,0.005,0
2,1.475,0.005,0
2,1.525,0.005,0
2,1.575,0.005,0
2,1.625,0.005,0
2,1.675,0.005,0
2,1.725,0.005,0
2,1.775,0.005,0
2,1.825,0.005,0
2,1.875,0.005,0
2,1.925,0.005,0
2,1.975,0.005,0
2,2.025,0.005,0
2,2.075,0.005,0
2,2.125,0.005,0
2,2.175,0.005,0
2,2.225,0.005,0
2,2.275,0.005,0
2,2.325,0.005,0
2,2.375,0.005,0
2,2.425,0.005,0
2,2.475,0.005,0
2,2.525,0.005,0
2,2.575,0.005,0
2,2.625,0.005,0
2,2.675,0.005,2.6392194e-133
2,2.725,0.005,1.05266844e-126
2,2.775,0.005,7.14644733e-121
2,2.825,0.005,1.86229683e-115
2,2.875,0.005,2.52859855e-110
2,2.925,0.005,2.1133013e-105
2,2.975,0.005,1.19044076e-100
2,3.025,0.005,4.795008e-96
2,3.075,0.005,1.45265787e-91
2,3.125,0.005,3.70827711e-87
2,3.175,0.005,1.13746063e-82
2,3.225,0.005,5.21730885e-78
2,3.275,0.005,2.35517263e-73
2,3.325,0.005,8.12599093e-69
2,3.375,0.005,2.0305353e-64
2,3.425,0.005,3.58472772e-60
2,3.475,0.005,4.43251804e-56
2,3.525,0.005,4.02428053e-52
2,3.575,0.005,3.02862735e-48
2,3.625,0.005,2.30851042e-44
2,3.675,0.005,2.07352415e-40
2,3.725,0.005,1.90994756e-36
2,3.775,0.005,1.57491185e-32
2,3.825,0.005,1.35710405e-28
2,3.875,0.005,1.29911351e-24
2,3.925,0.005,9.17639888e-21
2,3.975,0.005,8.23236415e-17
2,4.025,0.005,1.93784081e-13
2,4.075,0.00499999998,9.82250545e-12
2,4.125,0.00499999924,2.78064789e-10
2,4.175,0.00499998313,5.69031121e-09
2,4.225,0.00499972671,8.47332067e-08
2,4.275,0.00499695328,8.65090443e-07
2,4.325,0.00497681223,6.03898249e-06
2,4.375,0.00488577347,2.7224142e-05
