t_s,x_m,h_m,q_m2_per_s
2,0.025,0.005,0
2,0.075,0.005,0
2,0.125,0.005,0
2,0.175,0.005,0
2,0.225,0.005,0
2,0.275,0.005,0
2,0.325,0.005,0
2,0.375,0.005,0
2,0.425,0.005,0
2,0.475,0.005,0
2,0.525,0.005,0
2,0.575,0.005,0
2,0.625,0.005,0
2,0.675,0.005,0
2,0.725,0.005,0
2,0.775,0.005,0
2,0.825,0.005,0
2,0.875,0.005,0
2,0.925,0.005,0
2,0.975,0.005,0
2,1.025,0.005,0
2,1.075,0.005,0
2,1.125,0.005,0
2,1.175,0.005,0
2,1.225,0.005,0
2,1.275,0.005,0
2,1.325,0.005,0
2,1.375,0.005,0
2,1.425,0.005,0
2,1.475,0.005,0
2,1.525,0.005,0
2,1.575,0.005,0
2,1.625,0.005,0
2,1.675,0.005,0
2,1.725,0.005,0
2,1.775,0.005,0
2,1.825,0.005,0
2,1.875,0.005,0
2,1.925,0.005,0
2,1.975,0.005,0
2,2.025,0.005,0
2,2.075,0.005,0
2,2.125,0.005,0
2,2.175,0.005,0
2,2.225,0.005,0
2,2.275,0.005,0
2,2.325,0.005,0
2,2.375,0.005,0
2,2.425,0.005,0
2,2.475,0.005,0
2,2.525,0.005,0
2,2.575,0.005,0
2,2.625,0.005,0
2,2.675,0.005,0
2,2.725,0.005,0
2,2.775,0.005,0
2,2.825,0.005,0
2,2.875,0.005,0
2,2.925,0.005,0
2,2.975,0.005,0
2,3.025,0.005,0
2,3.075,0.005,0
2,3.125,0.005,0
2,3.175,0.005,0
2,3.225,0.005,0
2,3.275,0.005,2.42844227e-96
2,3.325,0.005,6.85014253e-89
2,3.375,0.005,1.19314087e-82
2,3.425,0.005,9.52996097e-77
2,3.475,0.005,5.2678956e-71
2,3.525,0.005,1.88566052e-65
2,3.575,0.005,3.18318444e-60
2,3.625,0.005,5.63203946e-55
2,3.675,0.005,5.95688285e-50
2,3.725,0.005,6.49590326e-45
2,3.775,0.005,5.77874878e-40
2,3.825,0.005,3.91583175e-35
2,3.875,0.005,4.85396725e-30
2,3.925,0.005,2.86974706e-25
2,3.975,0.005,1.98201597e-20
2,4.025,0.005,1.95951148e-15
2,4.075,0.005,8.0274552e-13
2,4.125,0.0049999999,3.82713104e-11
2,4.175,0.00499999663,1.16149504e-09
2,4.225,0.00499992376,2.39019878e-08
2,4.275,0.00499886051,3.24314625e-07
2,4.325,0.00498917077,2.79400278e-06
2,4.375,0.0049371796,1.47661142e-05
2,4.425,0.00477985815,4.80627281e-05
2,4.475,0.0045033214,0.000103668265
2,4.525,0.00417870342,0.00016649349
2,4.575,0.0038694463,0.000222123254
2,4.625,0.00360438773,0.00026511575
