t_s,x_m,h_m,q_m2_per_s
2,0.025,0.005,0
2,0.075,0.005,0
2,0.125,0.005,0
2,0.175,0.005,0
2,0.225,0.005,0
2,0.275,0.005,0
2,0.325,0.005,0
2,0.375,0.005,0
2,0.425,0.005,0
2,0.475,0.005,0
2,0.525,0.005,0
2,0.575,0.005,0
2,0.625,0.005,0
2,0.675,0.005,0
2,0.725,0.005,0
2,0.775,0.005,0
2,0.825,0.005,0
2,0.875,0.005,0
2,0.925,0.005,0
2,0.975,0.005,0
2,1.025,0.005,0
2,1.075,0.005,0
2,1.125,0.005,0
2,1.175,0.005,0
2,1.225,0.005,0
2,1.275,0.005,0
2,1.325,0.005,0
2,1.375,0.005,0
2,1.425,0.005,0
2,1.475,0.005,0
2,1.525,0.005,0
2,1.575,0.005,0
2,1.625,0.005,0
2,1.675,0.005,0
2,1.725,0.005,0
2,1.775,0.005,0
2,1.825,0.005,0
2,1.875,0.005,0
2,1.925,0.005,0
2,1.975,0.005,0
2,2.025,0.005,0
2,2.075,0.005,0
2,2.125,0.005,0
2,2.175,0.005,0
2,2.225,0.005,0
2,2.275,0.005,0
2,2.325,0.005,0
2,2.375,0.005,0
2,2.425,0.005,0
2,2.475,0.005,0
2,2.525,0.005,0
2,2.575,0.005,0
2,2.625,0.005,0
2,2.675,0.005,0
2,2.725,0.005,0
2,2.775,0.005,0
2,2.825,0.005,0
2,2.875,0.005,0
2,2.925,0.005,0
2,2.975,0.005,0
2,3.025,0.005,0
2,3.075,0.005,0
2,3.125,0.005,0
2,3.175,0.005,0
2,3.225,0.005,0
2,3.275,0.005,2.36325583e-94
2,3.325,0.005,8.34122503e-88
2,3.375,0.005,7.44357983e-82
2,3.425,0.005,2.82255328e-76
2,3.475,0.005,9.97287692e-71
2,3.525,0.005,2.89249145e-65
2,3.575,0.005,4.46460513e-60
2,3.625,0.005,8.4224347e-55
2,3.675,0.005,1.06292567e-49
2,3.725,0.005,9.58455123e-45
2,3.775,0.005,7.18591964e-40
2,3.825,0.005,4.45129601e-35
2,3.875,0.005,4.91687789e-30
2,3.925,0.005,2.74680227e-25
2,3.975,0.005,9.01324894e-21
2,4.025,0.005,3.3388784e-16
2,4.075,0.005,9.77072727e-13
2,4.125,0.00499999987,4.71279405e-11
2,4.175,0.00499999558,1.44160471e-09
2,4.225,0.00499990043,3.01697459e-08
2,4.275,0.00499849772,4.20661836e-07
2,4.325,0.00498535727,3.7702424e-06
2,4.375,0.00491142509,2.09637165e-05
2,4.425,0.0046734101,7.19514856e-05
2,4.475,0.00423343838,0.000161209332
2,4.525,0.00373677988,0.000258535378
2,4.575,0.00342140252,0.000317711705
2,4.625,0.00347505117,0.000313737025
