t_s,x_m,h_m,q_m2_per_s
2,0,0,0
2,0.02,0,0
2,0.04,0,0
2,0.06,0,0
2,0.08,0,0
2,0.1,0,0
2,0.12,0,0
2,0.14,0,0
2,0.16,0,0
2,0.18,0,0
2,0.2,0,0
2,0.22,0,0
2,0.24,0,0
2,0.26,0,0
2,0.28,0,0
2,0.3,0,0
2,0.32,0,0
2,0.34,0,0
2,0.36,0,0
2,0.38,0,0
2,0.4,0,0
2,0.42,0,0
2,0.44,0,0
2,0.46,0,0
2,0.48,0,0
2,0.5,0,0
2,0.52,0,0
2,0.54,0,0
2,0.56,1.47373557e-05,0
2,0.58,1.97894242e-05,0
2,0.6,1.45715176e-05,0
2,0.62,1.70295862e-05,0
2,0.64,2.52593782e-05,0
2,0.66,2.72317047e-05,0
2,0.68,2.43921349e-05,0
2,0.7,2.75229231e-05,0
2,0.72,2.99146996e-05,0
2,0.74,0,0
2,0.76,1.54849587e-07,0
2,0.78,0,0
2,0.8,0,0
2,0.82,0.000405160885,-0.00103287399
2,0.84,0.0506883152,-0.026362231
2,0.86,0.100598074,-0.0419230312
2,0.88,0.115696043,-0.0533489455
2,0.9,0.13752453,-0.0660779532
2,0.92,0.179618716,-0.0694492627
2,0.94,0.178470299,-0.0887757577
2,0.96,0.211791232,-0.0896655582
2,0.98,0.24074778,-0.093684528
2,1,0.242402568,-0.11375685
2,1.02,0.269143015,-0.11371227
2,1.04,0.297490269,-0.109226387
2,1.06,0.30017966,-0.126888216
2,1.08,0.317809463,-0.13822405
2,1.1,0.349168032,-0.13047193
2,1.12,0.36114341,-0.139340192
2,1.14,0.366283268,-0.157912381
2,1.16,0.387798965,-0.155629791
2,1.18,0.41503498,-0.153383605
2,1.2,0.420853049,-0.170067854
2,1.22,0.42877239,-0.184818096
2,1.24,0.452601433,-0.179031625
2,1.26,0.471013606,-0.17662131
2,1.28,0.474725425,-0.195174068
2,1.3,0.484347969,-0.207213059
2,1.32,0.506781816,-0.20011349
2,1.34,0.521665275,-0.201084971
2,1.36,0.523247123,-0.218727291
2,1.38,0.531897187,-0.225471795
2,1.4,0.551058948,-0.217718728
2,1.42,0.565519094,-0.22436709
2,1.44,0.567292809,-0.243680865
2,1.46,0.574063957,-0.247089297
2,1.48,0.590498865,-0.237505853
2,1.5,0.5997926,-0.240501232
2,1.52,0.59933573,-0.256053485
2,1.54,0.606753111,-0.260739356
2,1.56,0.621571541,-0.25174199
2,1.58,0.625862718,-0.252048805
2,1.6,0.623268664,-0.263901964
2,1.62,0.628835022,-0.25827264
2,1.64,0.631283641,-0.22442884
2,1.66,0.615547359,-0.187543437
2,1.68,0.598452806,-0.164055713
2,1.7,0.599586129,-0.145762786
2,1.72,0.606828511,-0.132939897
2,1.74,0.600268245,-0.126668651
2,1.76,0.585988104,-0.105168413
2,1.78,0.575641811,-0.0592318084
2,1.8,0.562058508,-0.015997695
2,1.82,0.541877508,0.00982340687
2,1.84,0.528235197,0.0383513467
2,1.86,0.520781696,0.0736716706
2,1.88,0.505390525,0.0965915583
2,1.9,0.488346308,0.113855962
2,1.92,0.479791582,0.141146403
2,1.94,0.468430221,0.163376495
2,1.96,0.450618178,0.174447
2,1.98,0.440513313,0.192607448
2,2,0.431310028,0.211363412
2,2.02,0.414145797,0.219439231
2,2.04,0.403338283,0.231289834
2,2.06,0.394676983,0.242963932
2,2.08,0.378824055,0.245858133
2,2.1,0.370930105,0.253679916
2,2.12,0.360383481,0.258225441
2,2.14,0.34532699,0.259498149
2,2.16,0.338818401,0.262450933
2,2.18,0.326076329,0.26079531
2,2.2,0.316874444,0.259301499
2,2.22,0.305840582,0.257122442
2,2.24,0.297378123,0.252283551
2,2.26,0.293229878,0.239194669
2,2.28,0.291385233,0.226040915
2,2.3,0.281352162,0.220189393
2,2.32,0.276834965,0.205748014
2,2.34,0.271103382,0.194265172
2,2.36,0.256008148,0.188284807
2,2.38,0.258651882,0.173026256
2,2.4,0.234724969,0.170120895
2,2.42,0.225055292,0.157087348
2,2.44,0.222886667,0.144738846
2,2.46,0.173314393,0.151234463
2,2.48,0.203087345,0.132663414
2,2.5,0.153213307,0.125925966
2,2.52,0.167668462,0.107127931
2,2.54,0.105683193,0.0927290358
2,2.56,0.154558748,0.0905093849
2,2.58,0.0343868025,0.0364076212
2,2.6,0.000103052167,0.000364729727
2,2.62,1.90316587e-05,0
2,2.64,2.81953126e-05,-8.29784221e-06
2,2.66,0.000104207676,-4.5700961e-05
2,2.68,0.000359377475,-0.000194065546
2,2.7,0.00162831706,-0.00103553676
2,2.72,0.0105227865,-0.0125976048
2,2.74,0.0770528167,-0.0874532862
2,2.76,0.15904972,-0.143556587
2,2.78,0.00520852394,-0.0625033667
2,2.8,0.00736885983,0.00511013609
2,2.82,0.0018288081,-0.00050753032
2,2.84,0.00251993537,-0.000904083077
2,2.86,0.00591293955,-0.00618008472
2,2.88,0.044069849,-0.0383506995
2,2.9,0.077417396,-0.0327771124
2,2.92,0,-6.30782176e-20
2,2.94,0.00236938917,-0.000284359081
2,2.96,0.00305395387,-0.000888048351
2,2.98,0.00308642979,-0.00171503518
2,3,0.00645041652,-0.00430557155
2,3.02,0.0166226588,-0.0120903498
2,3.04,0.0287466049,-0.00889895616
2,3.06,0,-1.41600003e-06
2,3.08,2.57473512e-05,0
2,3.1,2.85770147e-05,0
2,3.12,2.65656799e-05,0
2,3.14,2.68385247e-05,0
2,3.16,5.29097724e-06,0
2,3.18,1.34355741e-06,0
2,3.2,2.57507253e-07,0
2,3.22,0,0
2,3.24,0,0
2,3.26,0,0
2,3.28,0,0
2,3.3,0,0
2,3.32,0,0
2,3.34,0,0
2,3.36,0,0
2,3.38,0,0
2,3.4,0,0
2,3.42,0,0
2,3.44,2.69005523e-05,0
2,3.46,0,0
2,3.48,0,0
2,3.5,0,0
2,3.52,0,0
2,3.54,0,0
2,3.56,0,0
2,3.58,0,0
2,3.6,0,0
2,3.62,0,0
2,3.64,0,0
2,3.66,0,0
2,3.68,0,0
2,3.7,0,0
2,3.72,0,0
2,3.74,0,0
2,3.76,0,0
2,3.78,0,0
2,3.8,0,0
2,3.82,0,0
2,3.84,0,0
2,3.86,0,0
2,3.88,0,0
2,3.9,0,0
2,3.92,0,0
2,3.94,0,0
2,3.96,0,0
2,3.98,0,0
2,4,0,-0
4,0,0,0
4,0.02,0,0
4,0.04,0,0
4,0.06,0,0
4,0.08,0,0
4,0.1,0,0
4,0.12,0,0
4,0.14,0,0
4,0.16,0,0
4,0.18,0,0
4,0.2,0,0
4,0.22,0,0
4,0.24,0,0
4,0.26,0,0
4,0.28,0,0
4,0.3,0,0
4,0.32,0,0
4,0.34,0,0
4,0.36,0,0
4,0.38,0,0
4,0.4,0,0
4,0.42,0,0
4,0.44,0,0
4,0.46,0,0
4,0.48,0,0
4,0.5,0,0
4,0.52,0,0
4,0.54,0,0
4,0.56,1.47373557e-05,0
4,0.58,1.97894242e-05,0
4,0.6,1.45715176e-05,0
4,0.62,1.70295862e-05,0
4,0.64,2.52593782e-05,0
4,0.66,2.72317047e-05,0
4,0.68,2.43921349e-05,0
4,0.7,0,0
4,0.72,0,0
4,0.74,0,0
4,0.76,0,0
4,0.78,0,0
4,0.8,0,0
4,0.82,0,0
4,0.84,3.45806693e-05,-8.82156819e-05
4,0.86,0.0287498012,-0.00702740007
4,0.88,0.0524898656,-0.0136848707
4,0.9,0.0836730152,-0.0151015711
4,0.92,0.0993861333,-0.0222209934
4,0.94,0.116894595,-0.0293329097
4,0.96,0.142760545,-0.0294877077
4,0.98,0.166713014,-0.0306492858
4,1,0.181638777,-0.0383857526
4,1.02,0.195818454,-0.0464004949
4,1.04,0.219884992,-0.0506048873
4,1.06,0.243551522,-0.0457323696
4,1.08,0.249957845,-0.041461857
4,1.1,0.275879115,-0.0678000897
4,1.12,0.299785852,-0.07906048
4,1.14,0.29253605,-0.0544623975
4,1.16,0.322212219,-0.0523227733
4,1.18,0.340388894,-0.069163058
4,1.2,0.361595243,-0.090033289
4,1.22,0.369391322,-0.0957033336
4,1.24,0.381872386,-0.0855746157
4,1.26,0.395181566,-0.0741017312
4,1.28,0.409197241,-0.0723486431
4,1.3,0.419957489,-0.0855825655
4,1.32,0.433522105,-0.10117032
4,1.34,0.44869709,-0.111216217
4,1.36,0.467020035,-0.110046975
4,1.38,0.478440255,-0.105503794
4,1.4,0.486074746,-0.105069019
4,1.42,0.488923877,-0.108760115
4,1.44,0.495073348,-0.109012958
4,1.46,0.50480336,-0.103466917
4,1.48,0.519776523,-0.0958656669
4,1.5,0.527503133,-0.0998462923
4,1.52,0.533041239,-0.112800952
4,1.54,0.540934443,-0.121209297
4,1.56,0.549860835,-0.124526907
4,1.58,0.560391784,-0.124858458
4,1.6,0.569907606,-0.12231718
4,1.62,0.575035214,-0.122897189
4,1.64,0.575246751,-0.130479574
4,1.66,0.576207578,-0.134303898
4,1.68,0.582417667,-0.125422463
4,1.7,0.591060221,-0.113976542
4,1.72,0.594005406,-0.115008857
4,1.74,0.591238379,-0.125571474
4,1.76,0.591503561,-0.131297112
4,1.78,0.599316418,-0.126885474
4,1.8,0.606452703,-0.123122968
4,1.82,0.607110023,-0.130301856
4,1.84,0.607100606,-0.141104847
4,1.86,0.609149277,-0.145588048
4,1.88,0.610486269,-0.146138355
4,1.9,0.611153185,-0.144549139
4,1.92,0.612426877,-0.138505057
4,1.94,0.609450758,-0.135903671
4,1.96,0.599066317,-0.137908854
4,1.98,0.591112435,-0.124120798
4,2,0.588420808,-0.0920168012
4,2.02,0.575391591,-0.0673659258
4,2.04,0.552552581,-0.0505366623
4,2.06,0.536155581,-0.020257462
4,2.08,0.522607744,0.0172540879
4,2.1,0.504663587,0.0475628451
4,2.12,0.485207856,0.0717521086
4,2.14,0.46416688,0.0925855413
4,2.16,0.444704145,0.115667857
4,2.18,0.431841105,0.143450871
4,2.2,0.416297823,0.161177814
4,2.22,0.393292576,0.165864676
4,2.24,0.379332632,0.181121625
4,2.26,0.368988067,0.194558755
4,2.28,0.344304234,0.194722004
4,2.3,0.337100148,0.203126587
4,2.32,0.323941022,0.209854789
4,2.34,0.308946311,0.2082785
4,2.36,0.296156228,0.208548345
4,2.38,0.283754021,0.207857803
4,2.4,0.267888248,0.20146282
4,2.42,0.261283278,0.186050728
4,2.44,0.262897223,0.168791085
4,2.46,0.246438503,0.161844529
4,2.48,0.234924674,0.154579706
4,2.5,0.222416446,0.145196281
4,2.52,0.211187333,0.132982139
4,2.54,0.201672122,0.123001311
4,2.56,0.17752327,0.119701672
4,2.58,0.170742661,0.107848924
4,2.6,0.156078234,0.100959379
4,2.62,0.1279708,0.084248174
4,2.64,0.129748046,0.0752546974
4,2.66,0.0748341158,0.0466887858
4,2.68,0.00175166584,0.00432001986
4,2.7,0,0
4,2.72,0,0
4,2.74,0,0
4,2.76,0,0
4,2.78,0,0
4,2.8,0,0
4,2.82,0,0
4,2.84,0,0
4,2.86,1.38465737e-07,0
4,2.88,1.37909365e-05,-4.94287133e-06
4,2.9,4.73450309e-05,-1.9545178e-05
4,2.92,0.000141563214,-7.76425059e-05
4,2.94,0.000469729683,-0.000257392086
4,2.96,0.000923531887,-0.000194351887
4,2.98,0,0
4,3,8.93684501e-06,0
4,3.02,0,0
4,3.04,2.78285042e-05,0
4,3.06,1.78335904e-05,0
4,3.08,6.1277201e-06,0
4,3.1,0,0
4,3.12,0,0
4,3.14,0,0
4,3.16,1.00470579e-05,0
4,3.18,0,0
4,3.2,0,0
4,3.22,1.14424699e-06,0
4,3.24,0,0
4,3.26,0,0
4,3.28,0,0
4,3.3,0,0
4,3.32,0,0
4,3.34,0,0
4,3.36,0,0
4,3.38,0,0
4,3.4,0,0
4,3.42,0,0
4,3.44,2.69005523e-05,0
4,3.46,0,0
4,3.48,0,0
4,3.5,0,0
4,3.52,0,0
4,3.54,0,0
4,3.56,0,0
4,3.58,0,0
4,3.6,0,0
4,3.62,0,0
4,3.64,0,0
4,3.66,0,0
4,3.68,0,0
4,3.7,0,0
4,3.72,0,0
4,3.74,0,0
4,3.76,0,0
4,3.78,0,0
4,3.8,0,0
4,3.82,0,0
4,3.84,0,0
4,3.86,0,0
4,3.88,0,0
4,3.9,0,0
4,3.92,0,0
4,3.94,0,0
4,3.96,0,0
4,3.98,0,0
4,4,0,-0
10,0,0,0
10,0.02,0,0
10,0.04,0,0
