t_s,x_m,h_m,q_m2_per_s
2,0,0.236271247,0.0332642272
2,0.02,0.0717543587,0.0184532803
2,0.04,0.0515315607,0.0158516289
2,0.06,0.0678714737,-0.0366569292
2,0.08,0.29229039,-2.21340569
2,0.1,1.35917175,-2.16271971
2,0.12,0.325915962,-0.282507942
2,0.14,0.490309924,-1.38828713
2,0.16,1.29503167,-1.10578202
2,0.18,0,-0.796442554
2,0.2,1.33061028,-3.33634716
2,0.22,1.62471604,-4.29817641
2,0.24,0.457430094,-1.83865827
2,0.26,1.04572737,-1.80609363
2,0.28,1.04967821,-1.41218424
2,0.3,0.508357882,-1.41954279
2,0.32,1.44436014,-4.00497234
2,0.34,1.07905531,-3.87547541
2,0.36,1.18632591,-3.39681506
2,0.38,1.36535513,-3.23494387
2,0.4,1.00771284,-1.84042475
2,0.42,1.3959552,-1.96476445
2,0.44,1.10458958,-2.6896826
2,0.46,1.24382043,-2.09548956
2,0.48,1.09202456,-1.22714132
2,0.5,0.842419624,-1.03372705
2,0.52,1.44607067,-1.87212873
2,0.54,0.774751127,-1.15159476
2,0.56,0.387048244,-0.255713258
2,0.58,0.810206115,-1.5489985
2,0.6,0.504527211,-1.82058251
2,0.62,0.735959113,-0.497841423
2,0.64,0.755897045,-0.590109592
2,0.66,0.806834579,-0.834094942
2,0.68,0.536870062,-0.676797807
2,0.7,0.671695709,-0.674037904
2,0.72,0.715975225,-0.471402615
2,0.74,0.742645562,-0.334902495
2,0.76,0.793612003,-0.173604283
2,0.78,0.841123998,0.0419216864
2,0.8,0.889257371,0.302281275
2,0.82,0.943466723,0.513078272
2,0.84,0.904190183,0.470571712
2,0.86,0.807989597,0.138461523
2,0.88,0.787745774,-0.300226234
2,0.9,0.904879212,-0.964723289
2,0.92,1.09784794,-1.96671683
2,0.94,1.24352348,-2.7464813
2,0.96,1.30829036,-2.80488431
2,0.98,1.30964649,-2.43005574
2,1,1.33603132,-2.09980059
2,1.02,1.39580727,-2.02389562
2,1.04,1.46772623,-2.31662774
2,1.06,1.52813768,-2.98626804
2,1.08,1.56872535,-3.79239249
2,1.1,1.60916162,-4.3358016
2,1.12,1.64246428,-4.41958332
2,1.14,1.65201592,-4.17245829
2,1.16,1.65772223,-3.84239936
2,1.18,1.68351352,-3.63537633
2,1.2,1.73972011,-3.66801
2,1.22,1.81746662,-3.94307613
2,1.24,1.87976706,-4.2878921
2,1.26,1.88450646,-4.37988591
2,1.28,1.82829237,-4.01445973
2,1.3,1.74214709,-3.37932575
2,1.32,1.68586874,-2.96819496
2,1.34,1.74047995,-3.36460388
2,1.36,1.96570802,-4.95587218
2,1.38,2.28893471,-7.23342466
2,1.4,2.50771689,-8.85170412
2,1.42,2.52647305,-9.18351984
2,1.44,2.44767022,-8.74940681
2,1.46,2.2953577,-7.67426777
2,1.48,1.90313578,-5.6711328
2,1.5,1.42758489,-3.55703366
2,1.52,1.28384066,-3.34430039
2,1.54,1.65720463,-5.78674912
2,1.56,1.92671061,-7.56512642
2,1.58,1.40487111,-5.30640638
2,1.6,0.780327141,-2.80314708
2,1.62,1.39576066,-5.74465597
2,1.64,1.95297372,-4.85482919
2,1.66,0.995399356,-2.66940415
2,1.68,2.13203192,-7.81037974
2,1.7,2.94502473,-12.4747858
2,1.72,2.23668599,-11.5373406
2,1.74,2.73894763,-5.28084171
2,1.76,1.25988054,0.0411126614
2,1.78,1.50545788,-3.6188792
2,1.8,1.67735553,-7.75417447
2,1.82,2.24113417,-7.28360248
2,1.84,1.80303729,-7.29315424
2,1.86,2.25039291,-6.68301582
2,1.88,2.21243906,-5.33375216
2,1.9,1.59126139,-3.11676216
2,1.92,1.40964735,-3.39506149
2,1.94,1.84963036,-5.0731945
2,1.96,2.09887242,-5.59698439
2,1.98,2.08793688,-6.65192389
2,2,1.92759252,-6.71509719
2,2.02,2.32009625,-5.50144434
2,2.04,1.16474628,-3.08633453
2,2.06,2.31014895,-10.0002382
2,2.08,1.5373075,-12.5444732
2,2.1,0.901175976,-5.58387303
2,2.12,2.73688245,-9.15881133
2,2.14,1.32387197,-10.0106096
2,2.16,2.03349257,-5.52740169
2,2.18,1.1062634,-3.57001579
2,2.2,1.06519485,-4.1131767
2,2.22,1.88755572,-2.98545164
2,2.24,0.619654357,-2.60163301
2,2.26,1.82611573,-2.34393472
2,2.28,0.903773129,-2.66661042
2,2.3,2.15851426,-7.06264186
2,2.32,1.80441654,-6.70658612
2,2.34,1.00768316,-3.83489716
2,2.36,1.2625829,-2.53131586
2,2.38,1.3562057,-2.35709935
2,2.4,1.35176182,-3.01712096
2,2.42,0.713719487,-2.83606434
2,2.44,1.21420681,-1.42098649
2,2.46,0.623784423,-0.105363995
2,2.48,1.150738,-0.809856728
2,2.5,0.707442641,-1.62179732
2,2.52,0.870871365,-1.03942031
2,2.54,0.767208338,-0.44547224
2,2.56,0.662827253,-0.16137011
2,2.58,0.649795413,-0.776371252
2,2.6,0.707087338,-0.98559466
2,2.62,0.289083093,-0.50473325
2,2.64,0.528852463,-0.494750723
2,2.66,0.554843783,-0.682735622
2,2.68,0.816243172,-1.20979759
2,2.7,0.79721421,-1.25425804
2,2.72,0.83532387,-1.28512061
2,2.74,0.588302374,-1.19386995
2,2.76,0.59175545,-0.802772462
2,2.78,0.821267366,-1.339598
2,2.8,0.38670519,-1.29963741
2,2.82,0.576390147,-0.819635898
2,2.84,0.530783892,-0.748698205
2,2.86,0.539600253,-0.48764278
2,2.88,0.531995356,-0.257293254
2,2.9,0.376741976,-0.146513745
2,2.92,0.376117587,-0.215189695
2,2.94,0.529421091,-0.463849187
2,2.96,0.612926781,-0.783432782
2,2.98,0.753486335,-1.24504924
2,3,0.823459029,-2.05874914
2,3.02,1.07760203,-1.74940643
2,3.04,0.0917416587,-0.843777537
2,3.06,0.35908097,-0.352230512
2,3.08,0.256973118,-0.519007675
2,3.1,0.583917677,-0.425150752
2,3.12,0.18034938,-0.599010468
2,3.14,0.675901175,-0.720150754
2,3.16,0.0766116157,-0.0937965144
2,3.18,0.346692353,0.0800214931
2,3.2,0.416978657,-0.521481007
2,3.22,0.209511012,-0.892215416
2,3.24,0.197124973,-0.356642962
2,3.26,0.203481063,-0.32530871
2,3.28,0.270064056,-0.354480937
2,3.3,0.258230567,-0.400196701
2,3.32,0.318992347,-0.591003299
2,3.34,0.083676815,-0.529952407
2,3.36,0.306038767,-0.333461076
2,3.38,0.312648743,-0.207079262
2,3.4,0.159943163,-0.144141942
2,3.42,0.230332628,-0.0530830547
2,3.44,0.298682541,-0.65569704
2,3.46,0.03174733,-0.798241124
2,3.48,0.157044858,-0.126321346
2,3.5,0.116012089,-0.0854986273
2,3.52,0.174362883,-0.101060148
2,3.54,0.226038262,-0.104364727
2,3.56,0.160063937,-0.151316833
2,3.58,0.223893553,-0.0576186627
2,3.6,0.155648887,0.0558630746
2,3.62,0.00320656062,-0.0570668098
2,3.64,0.155873075,-0.109028436
2,3.66,0.0190164745,-0.0534643757
2,3.68,0.0603052527,-0.083421659
2,3.7,0.127145618,-0.167247698
2,3.72,0.0386481509,-0.135372475
2,3.74,0.116932802,-0.0500465188
2,3.76,0.0161724724,-0.0135407917
2,3.78,0.0698390231,-0.0389293358
2,3.8,0.0499999896,-0.0404417319
2,3.82,0.0516225509,-0.024007923
2,3.84,0.0586450063,-0.0117604551
2,3.86,0.0881184489,0.0317486911
2,3.88,0.136151001,0.0715520717
2,3.9,0.0428165197,0.0372399385
2,3.92,4.79648588e-05,0.000240861904
2,3.94,0,0
2,3.96,0,0
2,3.98,0,0
2,4,0,-0
4,0,0.0250991378,0.00926291291
4,0.02,0.050489217,0.0205791411
4,0.04,0.0710747167,0.0449360311
4,0.06,0.0900066718,0.072525315
4,0.08,0.108178064,0.10298118
4,0.1,0.125941247,0.136035353
4,0.12,0.143479913,0.171499498
4,0.14,0.160899892,0.209226012
4,0.16,0.178266838,0.249086529
4,0.18,0.195631295,0.29098244
4,0.2,0.213037968,0.334835649
4,0.22,0.230534047,0.380578473
4,0.24,0.24808684,0.428153858
4,0.26,0.265766114,0.477530852
4,0.28,0.283576578,0.528598011
4,0.3,0.301455319,0.581290156
4,0.32,0.319536924,0.63558051
4,0.34,0.337714732,0.691467792
4,0.36,0.356130868,0.748927146
4,0.38,0.374652267,0.807919055
4,0.4,0.393414944,0.868501097
4,0.42,0.412394315,0.930643231
4,0.44,0.431562483,0.994177997
4,0.46,0.45084846,1.0587374
4,0.48,0.470165193,1.1242286
4,0.5,0.489753634,1.19088829
4,0.52,0.509526908,1.25960952
4,0.54,0.53019166,1.32996851
4,0.56,0.550335586,1.40270042
4,0.58,0.572358906,1.47475666
4,0.6,0.591111124,1.548361
4,0.62,0.615419626,1.62294769
4,0.64,0.633593142,1.6960839
4,0.66,0.657543302,1.77835035
4,0.68,0.683068454,1.8398838
4,0.7,0.687060118,1.93627858
4,0.72,0.754141867,1.99507332
4,0.74,0.694783688,2.10597956
4,0.76,0.855347216,2.20971155
4,0.78,0.692784309,2.27154827
4,0.8,0.954829037,2.44210505
4,0.82,0.704326332,2.34866202
4,0.84,1.14444256,2.26488352
4,0.86,1.22934151,2.41645181
4,0.88,1.26294494,2.4746083
4,0.9,1.27942908,2.44806182
4,0.92,1.30037606,2.41396725
4,0.94,1.3332088,2.40591133
4,0.96,1.3770901,2.41542745
4,0.98,1.42981637,2.43677878
4,1,1.48799813,2.4811008
4,1.02,1.54631627,2.55618668
4,1.04,1.59890592,2.64845836
4,1.06,1.64165819,2.73025727
4,1.08,1.67437303,2.78268194
4,1.1,1.70138741,2.81101513
4,1.12,1.72972524,2.84072959
4,1.14,1.76588607,2.900051
4,1.16,1.81317878,3.00296545
4,1.18,1.87027192,3.13984144
4,1.2,1.9305402,3.27386928
4,1.22,1.98250878,3.34314489
4,1.24,2.01298094,3.27661252
4,1.26,2.01322317,3.02960718
4,1.28,1.98486817,2.62104273
4,1.3,1.94005442,2.13497895
4,1.32,1.89449775,1.6746915
4,1.34,1.85914755,1.30824476
4,1.36,1.8371762,1.05076981
4,1.38,1.82655442,0.883105636
4,1.4,1.8237834,0.777101457
4,1.42,1.82598543,0.70947963
4,1.44,1.83138561,0.664870381
4,1.46,1.83907866,0.634070337
4,1.48,1.84868979,0.611466914
4,1.5,1.86013377,0.593027055
4,1.52,1.87350547,0.575016469
4,1.54,1.88903308,0.553310841
4,1.56,1.90706575,0.523081779
4,1.58,1.92806447,0.478863284
4,1.6,1.95247626,0.415309072
4,1.62,1.98049843,0.328692541
4,1.64,2.01175189,0.218989104
4,1.66,2.04504466,0.091348351
4,1.68,2.07850814,-0.0444923406
4,1.7,2.11017799,-0.177670151
4,1.72,2.13888812,-0.301656388
4,1.74,2.16501927,-0.419278756
4,1.76,2.19083142,-0.545588866
4,1.78,2.22037411,-0.708084226
4,1.8,2.25892186,-0.943539739
4,1.82,2.31147313,-1.28756243
4,1.84,2.37976885,-1.75267845
4,1.86,2.45892739,-2.30241656
4,1.88,2.53719497,-2.84760606
4,1.9,2.60113931,-3.28436482
4,1.92,2.64279413,-3.54972219
4,1.94,2.66255641,-3.64611435
4,1.96,2.66639519,-3.62045872
4,1.98,2.66122818,-3.52729654
4,2,2.65211105,-3.40610135
4,2.02,2.64179897,-3.27779055
4,2.04,2.63146544,-3.15059602
4,2.06,2.62150097,-3.02658319
4,2.08,2.61199045,-2.90564442
4,2.1,2.6029458,-2.78736281
4,2.12,2.5943718,-2.67163277
4,2.14,2.58627415,-2.55868351
4,2.16,2.57865858,-2.4490335
4,2.18,2.57153606,-2.34342158
4,2.2,2.56492543,-2.24276102
4,2.22,2.55886459,-2.14811373
4,2.24,2.55342054,-2.06067383
4,2.26,2.54868555,-1.98172057
4,2.28,2.54477859,-1.91254824
4,2.3,2.54183364,-1.85437095
4,2.32,2.53997755,-1.80816787
4,2.34,2.53930259,-1.77447265
4,2.36,2.53982854,-1.75312006
4,2.38,2.54146791,-1.74301893
4,2.4,2.54399776,-1.74200934
4,2.42,2.54705453,-1.74689734
4,2.44,2.55017066,-1.75381273
4,2.46,2.55284715,-1.75876021
4,2.48,2.55463338,-1.75824636
4,2.5,2.55520487,-1.74985182
4,2.52,2.55440593,-1.73250294
4,2.54,2.5522449,-1.70641035
4,2.56,2.54884052,-1.67263943
4,2.58,2.54439998,-1.63278604
4,2.6,2.5391562,-1.58865684
4,2.62,2.53329492,-1.54180354
4,2.64,2.52695632,-1.4933421
4,2.66,2.52023935,-1.44408566
4,2.68,2.51320434,-1.39466947
4,2.7,2.50589204,-1.34553534
4,2.72,2.49832845,-1.29699826
4,2.74,2.49052167,-1.24931037
4,2.76,2.48247695,-1.20271009
4,2.78,2.47421026,-1.1574046
4,2.8,2.46572185,-1.11353546
4,2.82,2.45699739,-1.07115048
4,2.84,2.44801545,-1.0301792
4,2.86,2.43874598,-0.990515649
4,2.88,2.42914748,-0.951973617
4,2.9,2.41916919,-0.914246053
4,2.92,2.40875196,-0.876984447
4,2.94,2.3978281,-0.839800149
4,2.96,2.38636351,-0.802242845
4,2.98,2.37430835,-0.763950139
4,3,2.36160636,-0.724631131
4,3.02,2.34821653,-0.683930606
4,3.04,2.33411908,-0.641524196
4,3.06,2.31931043,-0.597324282
4,3.08,2.3038106,-0.551279664
4,3.1,2.28761744,-0.503272206
4,3.12,2.27075672,-0.45340544
4,3.14,2.25326896,-0.401857778
4,3.16,2.23518825,-0.348738089
4,3.18,2.21655011,-0.294197395
4,3.2,2.19738317,-0.238454022
4,3.22,2.17770982,-0.181751683
4,3.24,2.15755653,-0.12432912
4,3.26,2.13694358,-0.0664339699
4,3.28,2.11587882,-0.00833754241
4,3.3,2.09436989,0.0496810414
4,3.32,2.07242012,0.107319929
4,3.34,2.05003452,0.164236821
4,3.36,2.02722478,0.220030449
4,3.38,2.00401425,0.274210542
4,3.4,1.9804529,0.32613042
4,3.42,1.95664215,0.374870405
4,3.44,1.93277454,0.418992788
4,3.46,1.90920198,0.456163242
4,3.48,1.88655984,0.482514083
4,3.5,1.86596048,0.491764158
4,3.52,1.84913743,0.474512339
4,3.54,1.83841789,0.418876663
4,3.56,1.83596098,0.315133855
4,3.58,1.84186685,0.165995378
4,3.6,1.85199976,-0.00332320854
4,3.62,1.85849464,-0.150242358
4,3.64,1.85439873,-0.239613518
4,3.66,1.83808696,-0.264847815
4,3.68,1.81264734,-0.24327597
4,3.7,1.78211617,-0.196713828
4,3.72,1.74908185,-0.139515184
4,3.74,1.71462548,-0.0784786791
4,3.76,1.67907572,-0.0168461604
4,3.78,1.64251602,0.0430403473
4,3.8,1.60493183,0.098911114
4,3.82,1.56622803,0.148445711
4,3.84,1.52626884,0.189216703
4,3.86,1.48489594,0.218747728
4,3.88,1.44202924,0.234543048
4,3.9,1.39767885,0.234387547
4,3.92,1.35214031,0.21688731
4,3.94,1.30602658,0.181964539
4,3.96,1.26030374,0.131362692
4,3.98,1.21614051,0.0688739643
4,4,1.17458832,0.0352620184
10,0,0.283575594,0.00760565232
10,0.02,0.323304504,0.0152576626
10,0.04,0.362612456,0.0306448406
10,0.06,0.401579112,0.0461757947
10,0.08,0.440259308,0.0618101768
10,0.1,0.478634179,0.0775334984
10,0.12,0.516698658,0.0933357105
10,0.14,0.554467499,0.109207992
10,0.16,0.591933429,0.125153925
10,0.18,0.629087031,0.141171336
10,0.2,0.665925384,0.157261252
10,0.22,0.702445924,0.173427455
10,0.24,0.738645375,0.189668573
10,0.26,0.774519682,0.205979429
10,0.28,0.810064852,0.222355507
10,0.3,0.845276237,0.238793053
10,0.32,0.880149066,0.255288057
10,0.34,0.914679646,0.27183339
10,0.36,0.948865712,0.288415939
10,0.38,0.982703507,0.305032954
10,0.4,1.01619148,0.321675509
10,0.42,1.04932559,0.338333234
10,0.44,1.08210659,0.35500665
10,0.46,1.11452699,0.371691212
10,0.48,1.14658821,0.388387486
10,0.5,1.17828667,0.405095562
10,0.52,1.20961976,0.421816424
10,0.54,1.24058461,0.438557968
10,0.56,1.27117932,0.455323383
10,0.58,1.30140018,0.472114623
10,0.6,1.33124435,0.488935292
10,0.62,1.36071146,0.505768925
10,0.64,1.38981247,0.522561997
10,0.66,1.41856289,0.539266527
10,0.68,1.44694245,0.555923283
10,0.7,1.47493315,0.572568774
10,0.72,1.50255632,0.589172184
10,0.74,1.52980626,0.60569492
10,0.76,1.55667841,0.622157127
10,0.78,1.583179,0.638603568
10,0.8,1.60930574,0.655001044
10,0.82,1.63503718,0.671293527
10,0.84,1.66037011,0.687440276
10,0.86,1.6853081,0.703418076
10,0.88,1.70985878,0.719224274
10,0.9,1.73402476,0.734852374
10,0.92,1.7578069,0.75029242
10,0.94,1.78120399,0.765541494
10,0.96,1.80421245,0.780603617
10,0.98,1.82682753,0.79548946
10,1,1.84904397,0.810211986
10,1.02,1.87085748,0.82477966
10,1.04,1.89226604,0.839189142
10,1.06,1.91326964,0.853428364
10,1.08,1.93386912,0.867490888
10,1.1,1.95406675,0.881380379
10,1.12,1.97385812,0.895078421
10,1.14,1.99325252,0.908564746
10,1.16,2.01224828,0.921830148
10,1.18,2.03084826,0.934860379
10,1.2,2.04905391,0.947654545
10,1.22,2.06686354,0.960223258
10,1.24,2.08427715,0.972579598
10,1.26,2.10129619,0.984730095
10,1.28,2.11792278,0.996670365
10,1.3,2.13416076,1.00839639
10,1.32,2.15001154,1.01991463
10,1.34,2.16547608,1.03124225
10,1.36,2.18055248,1.04240555
10,1.38,2.19524622,1.05340999
10,1.4,2.20956159,1.06423604
10,1.42,2.22350645,1.07493001
10,1.44,2.23705745,1.08556467
10,1.46,2.25023532,1.09616381
10,1.48,2.26303267,1.10670179
10,1.5,2.2754457,1.11713099
10,1.52,2.28748083,1.12744492
10,1.54,2.29914618,1.13765329
10,1.56,2.31044745,1.1477598
10,1.58,2.32138658,1.15777242
10,1.6,2.33196783,1.16772717
10,1.62,2.3421936,1.17767751
10,1.64,2.35205817,1.18764359
10,1.66,2.36155748,1.19759709
10,1.68,2.37069249,1.2075128
10,1.7,2.37946129,1.21741819
