t_s,x_m,h_m,q_m2_per_s
2,0.025,0,0
2,0.075,0,0
2,0.125,0,0
2,0.175,0,0
2,0.225,0,0
2,0.275,0,0
2,0.325,0,0
2,0.375,0,0
2,0.425,0,0
2,0.475,0,0
2,0.525,0,0
2,0.575,0,0
2,0.625,0,0
2,0.675,0,0
2,0.725,0,0
2,0.775,0,0
2,0.825,0,0
2,0.875,0,0
2,0.925,0,-6.50183765e-05
2,0.975,0,-0.000878732179
2,1.025,0.00091554423,-0.00208681513
2,1.075,0.0048542794,-0.00318022634
2,1.125,0.00854200088,-0.00412739769
2,1.175,0.0122671019,-0.00489394469
2,1.225,0.0156206589,-0.0057356154
2,1.275,0.0188176585,-0.00644353438
2,1.325,0.0216937966,-0.00703126092
2,1.375,0.024325493,-0.00748964418
2,1.425,0.0267915709,-0.00781244625
2,1.475,0.0289137533,-0.00807637411
2,1.525,0.0306705979,-0.00824475858
2,1.575,0.0323483428,-0.00839727474
2,1.625,0.0337794363,-0.00854927621
2,1.675,0.0344694962,-0.00851553038
2,1.725,0.0346845567,-0.00801473205
2,1.775,0.0339457378,-0.00719451004
2,1.825,0.0325356257,-0.00594299185
2,1.875,0.0306318271,-0.00408194977
2,1.925,0.0279029724,-0.00231351549
2,1.975,0.0246059394,-0.000444871113
2,2.025,0.0209377999,0.00118311992
2,2.075,0.0171291882,0.0024960831
2,2.125,0.0134633239,0.00310553959
2,2.175,0.0116048651,0.00278425051
2,2.225,0.0095779092,0.00213554681
2,2.275,0.00844668772,0.00177651335
2,2.325,0.00552800218,0.00143059834
2,2.375,0.00327565317,0.000956169168
2,2.425,0.0015301879,0.000251225026
2,2.475,0,-0.00033083241
2,2.525,0,-0.000555558149
2,2.575,0,-0.000842279386
2,2.625,0,-0.000744593509
2,2.675,0,-0.000493266539
2,2.725,0,-0.000346054634
2,2.775,0,-0.000266745604
2,2.825,0,-0.000199866428
2,2.875,0,-0.000146217024
2,2.925,0,-0.000103393983
2,2.975,0,-7.591191e-05
2,3.025,0,-5.37703665e-05
2,3.075,0,-3.59693624e-05
2,3.125,0,-2.3649508e-05
2,3.175,0,-1.439029e-05
2,3.225,0,-8.04139753e-06
2,3.275,0,-3.81588036e-06
2,3.325,0,-1.21398242e-06
2,3.375,0,-1.82997074e-07
2,3.425,0,0
2,3.475,0,0
2,3.525,0,0
2,3.575,0,0
2,3.625,0,0
2,3.675,0,0
2,3.725,0,0
2,3.775,0,0
2,3.825,0,0
2,3.875,0,0
2,3.925,0,0
2,3.975,0,0
4,0.025,0,0
4,0.075,0,0
4,0.125,0,0
4,0.175,0,0
4,0.225,0,0
4,0.275,0,0
4,0.325,0,0
4,0.375,0,0
4,0.425,0,0
4,0.475,0,0
4,0.525,0,0
4,0.575,0,0
4,0.625,0,0
4,0.675,0,0
4,0.725,0,0
4,0.775,0,4.08959952e-07
4,0.825,0,3.49758582e-06
4,0.875,0,1.19872866e-05
4,0.925,0,2.77190365e-05
4,0.975,0,5.46539467e-05
4,1.025,0,9.90918226e-05
4,1.075,0,0.000168842071
4,1.125,0,0.00024022719
4,1.175,0,0.000331400979
4,1.225,0,0.000461983236
4,1.275,0,0.000498148951
4,1.325,0,0.000716238681
4,1.375,0,0.00127393041
4,1.425,0.000859989755,0.00183296802
4,1.475,0.00431411824,0.0026120687
4,1.525,0.00901306476,0.00362275772
4,1.575,0.0126741952,0.00487928048
4,1.625,0.0166052809,0.00609579201
4,1.675,0.0204717468,0.00688443519
4,1.725,0.0226209134,0.00717827565
4,1.775,0.0244142158,0.00722156562
4,1.825,0.0255641176,0.00730943169
4,1.875,0.0270736941,0.00759111764
4,1.925,0.0286016166,0.00758645431
4,1.975,0.0304289662,0.00728696456
4,2.025,0.0309875021,0.00699491046
4,2.075,0.0296867362,0.00665618674
4,2.125,0.02982925,0.00639578088
4,2.175,0.0291062583,0.00623324735
4,2.225,0.0282890161,0.00599830244
4,2.275,0.0276862656,0.0057978702
4,2.325,0.025555207,0.00570793057
4,2.375,0.0245186049,0.00548486562
4,2.425,0.0223664499,0.00519813205
4,2.475,0.0202196344,0.00496803524
4,2.525,0.0184939957,0.00478120517
4,2.575,0.0163155006,0.00461398624
4,2.625,0.0140573968,0.00426470504
4,2.675,0.0114222209,0.00372891201
4,2.725,0.00856723765,0.0030458831
4,2.775,0.00592528696,0.00252779652
4,2.825,0.00318464069,0.00206100894
4,2.875,0.000419321568,0.0015455874
4,2.925,0,0.000859381416
4,2.975,0,0.000205723414
4,3.025,0,1.4816245e-07
4,3.075,0,-1.08278785e-06
4,3.125,0,-3.28723725e-07
4,3.175,0,-1.420064e-07
4,3.225,0,-2.29716092e-08
4,3.275,0,0
4,3.325,0,0
4,3.375,0,0
4,3.425,0,0
4,3.475,0,0
4,3.525,0,0
4,3.575,0,0
4,3.625,0,0
4,3.675,0,0
4,3.725,0,0
4,3.775,0,0
4,3.825,0,0
4,3.875,0,0
4,3.925,0,0
4,3.975,0,0
