t_s,x_m,h_m,q_m2_per_s
2,0.025,0,0
2,0.075,0,0
2,0.125,0,0
2,0.175,0,0
2,0.225,0,0
2,0.275,0,0
2,0.325,0,0
2,0.375,0,0
2,0.425,0,0
2,0.475,0,0
2,0.525,0,0
2,0.575,0,0
2,0.625,0,0
2,0.675,0,0
2,0.725,0,0
2,0.775,0,0
2,0.825,0,0
2,0.875,0,0
2,0.925,0,-0.000312397209
2,0.975,0,-0.00135434758
2,1.025,0.00164721126,-0.00245797174
2,1.075,0.00515937968,-0.00331697127
2,1.125,0.00839634809,-0.00409665052
2,1.175,0.011402931,-0.00487715735
2,1.225,0.0144268695,-0.00545483418
2,1.275,0.0173890024,-0.00592275246
2,1.325,0.0200365742,-0.00639567769
2,1.375,0.0225157612,-0.00679047104
2,1.425,0.0247718933,-0.00716744248
2,1.475,0.0267030151,-0.00748828552
2,1.525,0.0284297152,-0.00770607767
2,1.575,0.0298567734,-0.00781249039
2,1.625,0.0310273705,-0.00791356203
2,1.675,0.0318967911,-0.00788473789
2,1.725,0.0322904711,-0.00775038883
2,1.775,0.0321769499,-0.00749320192
2,1.825,0.0316007785,-0.00683366488
2,1.875,0.0302790669,-0.00573204615
2,1.925,0.0285993386,-0.00444024545
2,1.975,0.0259917316,-0.00281862169
2,2.025,0.0230106166,-0.00132286061
2,2.075,0.020173888,8.77189473e-05
2,2.125,0.0168572576,0.00141721119
2,2.175,0.0132467388,0.00231391124
2,2.225,0.00995518225,0.00277212452
2,2.275,0.00752390315,0.0029059091
2,2.325,0.00558166439,0.00258859186
2,2.375,0.00405368058,0.00208915295
2,2.425,0.00279840908,0.00156250563
2,2.475,0.0015582354,0.00105194382
2,2.525,0,0.000625738536
2,2.575,0,0.000329641883
2,2.625,0,3.52008083e-05
2,2.675,0,-0.000192317007
2,2.725,0,-0.000257747291
2,2.775,0,-0.000223377602
2,2.825,0,-0.000175359478
2,2.875,0,-0.000131541795
2,2.925,0,-9.64780459e-05
2,2.975,0,-7.26025778e-05
2,3.025,0,-5.38730404e-05
2,3.075,0,-3.7786771e-05
2,3.125,0,-2.52223778e-05
2,3.175,0,-1.58642813e-05
2,3.225,0,-9.14842382e-06
2,3.275,0,-4.4793645e-06
2,3.325,0,-1.61574617e-06
2,3.375,0,-2.7250614e-07
2,3.425,0,0
2,3.475,0,0
2,3.525,0,0
2,3.575,0,0
2,3.625,0,0
2,3.675,0,0
2,3.725,0,0
2,3.775,0,0
2,3.825,0,0
2,3.875,0,0
2,3.925,0,0
2,3.975,0,0
4,0.025,0,0
4,0.075,0,0
4,0.125,0,0
4,0.175,0,0
4,0.225,0,0
4,0.275,0,0
4,0.325,0,0
4,0.375,0,0
4,0.425,0,0
4,0.475,0,0
4,0.525,0,0
4,0.575,0,0
4,0.625,0,0
4,0.675,0,0
4,0.725,0,0
4,0.775,0,2.44736548e-07
4,0.825,0,2.0476753e-06
4,0.875,0,7.19566037e-06
4,0.925,0,1.74409123e-05
4,0.975,0,3.45459847e-05
4,1.025,0,5.74776423e-05
4,1.075,0,8.43469304e-05
4,1.125,0,0.000122125625
4,1.175,0,0.000182503193
4,1.225,0,0.000276707628
4,1.275,0,0.000355011939
4,1.325,0,0.000411925478
4,1.375,0,0.000588850829
4,1.425,0,0.0011835068
4,1.475,0.00457801096,0.00217974581
4,1.525,0.00895780277,0.00307733574
4,1.575,0.0125188407,0.00363618121
4,1.625,0.0155898966,0.0039995974
4,1.675,0.0183083635,0.00420806399
4,1.725,0.0206823376,0.00438460932
4,1.775,0.0227643528,0.0046199329
4,1.825,0.0245672526,0.00479851286
4,1.875,0.0261855112,0.0049391276
4,1.925,0.0274561982,0.00509921013
4,1.975,0.028408638,0.00523634831
4,2.025,0.0291327003,0.00542598886
4,2.075,0.0294258053,0.00550483839
4,2.125,0.029444575,0.00548690296
4,2.175,0.0291192234,0.00535277786
4,2.225,0.0285800205,0.00518711073
4,2.275,0.0276469565,0.0049645292
4,2.325,0.026486371,0.00478574599
4,2.375,0.0251124194,0.00460104362
4,2.425,0.0236307571,0.00435048446
4,2.475,0.0219028513,0.00405162219
4,2.525,0.0198859813,0.00376562161
4,2.575,0.0176719398,0.00349445769
4,2.625,0.0152620902,0.00317696825
4,2.675,0.0127802867,0.00282412176
4,2.725,0.0101627261,0.00243621125
4,2.775,0.00727450195,0.00197193689
4,2.825,0.00434242431,0.0015428704
4,2.875,0.0016671407,0.00119989457
4,2.925,0,0.000817837457
4,2.975,0,0.000435055888
4,3.025,0,0.000122227112
4,3.075,0,-7.84136622e-07
4,3.125,0,-3.78075374e-07
4,3.175,0,-5.43567151e-08
4,3.225,0,0
4,3.275,0,0
4,3.325,0,0
4,3.375,0,0
4,3.425,0,0
4,3.475,0,0
4,3.525,0,0
4,3.575,0,0
4,3.625,0,0
4,3.675,0,0
4,3.725,0,0
4,3.775,0,0
4,3.825,0,0
4,3.875,0,0
4,3.925,0,0
4,3.975,0,0
