t_s,x_m,h_m,q_m2_per_s
2,0.025,0,0
2,0.075,0,0
2,0.125,0,0
2,0.175,0,0
2,0.225,0,0
2,0.275,0,0
2,0.325,0,0
2,0.375,0,0
2,0.425,0,0
2,0.475,0,0
2,0.525,0,0
2,0.575,0,0
2,0.625,0,0
2,0.675,0,0
2,0.725,0,0
2,0.775,0,0
2,0.825,0,0
2,0.875,0,0
2,0.925,0,6.63412446e-07
2,0.975,0,6.76501517e-06
2,1.025,0,2.58220092e-05
2,1.075,0,6.1447741e-05
2,1.125,0,0.000129032647
2,1.175,0,0.000183711337
2,1.225,0,0.000386164643
2,1.275,0,0.00099068011
2,1.325,0.00396657325,0.00153396344
2,1.375,0.00743996518,0.00171769257
2,1.425,0.0110740563,0.00184927556
2,1.475,0.0143863621,0.00195251667
2,1.525,0.0170753404,0.00188658163
2,1.575,0.0196646126,0.00174522371
2,1.625,0.0219128553,0.00159837523
2,1.675,0.0239659552,0.00145175024
2,1.725,0.0256925681,0.00125022482
2,1.775,0.0272480437,0.00100289494
2,1.825,0.0283296204,0.000756054152
2,1.875,0.0291142357,0.000478223825
2,1.925,0.0297839312,0.000261723964
2,1.975,0.0301501029,8.52500395e-05
2,2.025,0.0301501029,-8.52500395e-05
2,2.075,0.0297839312,-0.000261723964
2,2.125,0.0291142357,-0.000478223825
2,2.175,0.0283296204,-0.000756054152
2,2.225,0.0272480437,-0.00100289494
2,2.275,0.0256925681,-0.00125022482
2,2.325,0.0239659552,-0.00145175024
2,2.375,0.0219128553,-0.00159837523
2,2.425,0.0196646126,-0.00174522371
2,2.475,0.0170753404,-0.00188658163
2,2.525,0.0143863621,-0.00195251667
2,2.575,0.0110740563,-0.00184927556
2,2.625,0.00743996518,-0.00171769257
2,2.675,0.00396657325,-0.00153396344
2,2.725,0,-0.00099068011
2,2.775,0,-0.000386164643
2,2.825,0,-0.000183711337
2,2.875,0,-0.000129032647
2,2.925,0,-6.1447741e-05
2,2.975,0,-2.58220092e-05
2,3.025,0,-6.76501517e-06
2,3.075,0,-6.63412446e-07
2,3.125,0,0
2,3.175,0,0
2,3.225,0,0
2,3.275,0,0
2,3.325,0,0
2,3.375,0,0
2,3.425,0,0
2,3.475,0,0
2,3.525,0,0
2,3.575,0,0
2,3.625,0,0
2,3.675,0,0
2,3.725,0,0
2,3.775,0,0
2,3.825,0,0
2,3.875,0,0
2,3.925,0,0
2,3.975,0,0
4,0.025,0,0
4,0.075,0,0
4,0.125,0,0
4,0.175,0,0
4,0.225,0,0
4,0.275,0,0
4,0.325,0,0
4,0.375,0,0
4,0.425,0,0
4,0.475,0,0
4,0.525,0,0
4,0.575,0,0
4,0.625,0,0
4,0.675,0,0
4,0.725,0,0
4,0.775,0,0
4,0.825,0,0
4,0.875,0,0
4,0.925,0,0
4,0.975,0,3.24198705e-05
4,1.025,0,0.000184152502
4,1.075,0,0.000478148074
4,1.125,0,0.000988263553
4,1.175,0,0.00168043918
4,1.225,0,0.00228087486
