t_s,x_front_m
0,0.0000
5,14.8462
10,29.6923
15,44.5385
20,59.3847
25,74.2309
30,89.0770
35,103.9232
40,118.7694
45,133.6155
50,148.4617
55,163.3079
60,178.1540
65,193.0002
70,207.8464
75,222.6926
80,237.5387
85,252.3849
90,267.2311
95,282.0772
100,296.9234
105,311.7696
110,326.6158
115,341.4619
120,356.3081
125,371.1543
130,386.0004
135,400.8466
140,415.6928
145,430.5390
150,445.3851
155,460.2313
160,475.0775
165,489.9236
170,500.0000
175,500.0000
180,500.0000
185,500.0000
190,500.0000
195,500.0000
200,500.0000
205,500.0000
210,500.0000
215,500.0000
220,500.0000
225,500.0000
230,500.0000
235,500.0000
240,500.0000
245,500.0000
250,500.0000
255,500.0000
260,500.0000
265,500.0000
270,500.0000
275,500.0000
280,500.0000
285,500.0000
290,500.0000
295,500.0000
300,500.0000
305,500.0000
310,500.0000
315,500.0000
320,500.0000
325,500.0000
330,500.0000
335,500.0000
340,500.0000
345,500.0000
350,500.0000
355,500.0000
360,500.0000
365,500.0000
370,500.0000
375,500.0000
380,500.0000
385,500.0000
390,500.0000
395,500.0000
400,500.0000
405,500.0000
410,500.0000
415,500.0000
420,500.0000
425,500.0000
430,500.0000
435,500.0000
440,500.0000
445,500.0000
450,500.0000
455,500.0000
460,500.0000
465,500.0000
470,500.0000
475,500.0000
480,500.0000
485,500.0000
490,500.0000
495,500.0000
500,500.0000
505,500.0000
510,500.0000
515,500.0000
520,500.0000
525,500.0000
530,500.0000
535,500.0000
540,500.0000
545,500.0000
550,500.0000
555,500.0000
560,500.0000
565,500.0000
570,500.0000
575,500.0000
580,500.0000
585,500.0000
590,500.0000
595,500.0000
600,500.0000

front_speed_ms,head_drop_0_400m
2.9692,1.6470
