node_x_m,head_pressurized_m
0,5.1751
5,5.1403
10,5.1055
15,5.0707
20,5.0359
25,5.0011
30,4.9663
35,4.9315
40,4.8967
45,4.8619
50,4.8272
55,4.7924
60,4.7576
65,4.7228
70,4.6880
75,4.6532
80,4.6184
85,4.5836
90,4.5488
95,4.5140
100,4.4792
105,4.4444
110,4.4096
115,4.3749
120,4.3401
125,4.3053
130,4.2705
135,4.2357
140,4.2009
145,4.1661
150,4.1313
155,4.0965
160,4.0617
165,4.0269
170,3.9921
175,3.9573
180,3.9226
185,3.8878
190,3.8530
195,3.8182
200,3.7834
205,3.7486
210,3.7138
215,3.6790
220,3.6442
225,3.6094
230,3.5746
235,3.5398
240,3.5050
245,3.4703
250,3.4355
255,3.4007
260,3.3659
265,3.3311
270,3.2963
275,3.2615
280,3.2267
285,3.1919
290,3.1571
295,3.1223
300,3.0875
305,3.0527
310,3.0180
315,2.9832
320,2.9484
325,2.9136
330,2.8788
335,2.8440
340,2.8092
345,2.7744
350,2.7396
355,2.7048
360,2.6700
365,2.6352
370,2.6004
375,2.5657
380,2.5309
385,2.4961
390,2.4613
395,2.4265
400,2.3917
405,2.3569
410,2.3221
415,2.2873
420,2.2525
425,2.2177
430,2.1829
435,2.1481
440,2.1134
445,2.0786
450,2.0438
455,2.0090
460,1.9742
465,1.9394
470,1.9046
475,1.8698
480,1.8350
485,1.8002
490,1.7654
495,1.7306
500,1.6958
505,1.6611
510,1.6263
515,1.5915
520,1.5567
525,1.5219
530,1.4871
535,1.4523
540,1.4175
545,1.3827
550,1.3479
555,1.3131
560,1.2783
565,1.2435
570,1.2088
575,1.1740
580,1.1392
585,1.1044
590,1.0696
595,1.0348
600,1.0000
